i    j    dx   dy   dz   Jij         χ⁰↑             χ⁰↓
1    2   -1   -1   -1   -0.283522    0.699866E-02    0.699799E-02
1    2   -1   -1    0   -0.283522    0.699866E-02    0.699799E-02
1    2   -1    0   -1   -0.283522    0.699866E-02    0.699799E-02
1    2   -1    0    0   -0.283522    0.699866E-02    0.699799E-02
1    2    0   -1   -1   -0.283522    0.699866E-02    0.699799E-02
1    2    0   -1    0   -0.283522    0.699866E-02    0.699799E-02
1    2    0    0   -1   -0.283522    0.699866E-02    0.699799E-02
1    2    0    0    0   -0.283522    0.699866E-02    0.699799E-02
1    1   -1    0    0    0.034534   -0.823785E-03    0.253760E-02
1    1    0   -1    0    0.034534   -0.823785E-03    0.253760E-02
1    1    0    0   -1    0.034534   -0.823785E-03    0.253760E-02
1    1    0    0    1    0.034534   -0.823785E-03    0.253760E-02
1    1    0    1    0    0.034534   -0.823785E-03    0.253760E-02
1    1    1    0    0    0.034534   -0.823785E-03    0.253760E-02
1    1   -1   -1    0   -0.011388   -0.824916E-03   -0.683451E-03
1    1   -1    0   -1   -0.011388   -0.824916E-03   -0.683451E-03
1    1   -1    0    1   -0.011388   -0.824916E-03   -0.683451E-03
1    1   -1    1    0   -0.011388   -0.824916E-03   -0.683451E-03
1    1    0   -1   -1   -0.011388   -0.824916E-03   -0.683451E-03
1    1    0   -1    1   -0.011388   -0.824916E-03   -0.683451E-03
1    1    0    1   -1   -0.011388   -0.824916E-03   -0.683451E-03
1    1    0    1    1   -0.011388   -0.824916E-03   -0.683451E-03
1    1    1   -1    0   -0.011388   -0.824916E-03   -0.683451E-03
1    1    1    0   -1   -0.011388   -0.824916E-03   -0.683451E-03
1    1    1    0    1   -0.011388   -0.824916E-03   -0.683451E-03
1    1    1    1    0   -0.011388   -0.824916E-03   -0.683451E-03
1    2   -2   -1   -1   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -2   -1    0   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -2    0   -1   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -2    0    0   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -1   -2   -1   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -1   -2    0   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -1    1   -1   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -1    1    0   -0.014831   -0.248296E-02   -0.248332E-02
1    2    0   -2   -1   -0.014831   -0.248296E-02   -0.248332E-02
1    2    0   -2    0   -0.014831   -0.248296E-02   -0.248332E-02
1    2    0    1   -1   -0.014831   -0.248296E-02   -0.248332E-02
1    2    0    1    0   -0.014831   -0.248296E-02   -0.248332E-02
1    2    1   -1   -1   -0.014831   -0.248296E-02   -0.248332E-02
1    2    1   -1    0   -0.014831   -0.248296E-02   -0.248332E-02
1    2    1    0   -1   -0.014831   -0.248296E-02   -0.248332E-02
1    2    1    0    0   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -1   -1   -2   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -1   -1    1   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -1    0   -2   -0.014831   -0.248296E-02   -0.248332E-02
1    2   -1    0    1   -0.014831   -0.248296E-02   -0.248332E-02
1    2    0   -1   -2   -0.014831   -0.248296E-02   -0.248332E-02
1    2    0   -1    1   -0.014831   -0.248296E-02   -0.248332E-02
1    2    0    0   -2   -0.014831   -0.248296E-02   -0.248332E-02
1    2    0    0    1   -0.014831   -0.248296E-02   -0.248332E-02
1    1   -1   -1   -1    0.023302    0.317880E-02   -0.817402E-03
1    1   -1   -1    1    0.023302    0.317880E-02   -0.817402E-03
1    1   -1    1   -1    0.023302    0.317880E-02   -0.817402E-03
1    1   -1    1    1    0.023302    0.317880E-02   -0.817402E-03
1    1    1   -1   -1    0.023302    0.317880E-02   -0.817402E-03
1    1    1   -1    1    0.023302    0.317880E-02   -0.817402E-03
1    1    1    1   -1    0.023302    0.317880E-02   -0.817402E-03
1    1    1    1    1    0.023302    0.317880E-02   -0.817402E-03
1    1   -2    0    0    0.005528    0.411796E-02    0.123392E-02
1    1    0   -2    0    0.005528    0.411796E-02    0.123392E-02
1    1    0    0   -2    0.005528    0.411796E-02    0.123392E-02
1    1    0    0    2    0.005528    0.411796E-02    0.123392E-02
1    1    0    2    0    0.005528    0.411796E-02    0.123392E-02
1    1    2    0    0    0.005528    0.411796E-02    0.123392E-02
1    2   -2   -2   -1    0.000948   -0.106051E-03   -0.105983E-03
1    2   -2   -2    0    0.000948   -0.106051E-03   -0.105983E-03
1    2   -2   -1   -2    0.000948   -0.106051E-03   -0.105983E-03
1    2   -2   -1    1    0.000948   -0.106051E-03   -0.105983E-03
1    2   -2    0   -2    0.000948   -0.106051E-03   -0.105983E-03
1    2   -2    0    1    0.000948   -0.106051E-03   -0.105983E-03
1    2   -2    1   -1    0.000948   -0.106051E-03   -0.105983E-03
1    2   -2    1    0    0.000948   -0.106051E-03   -0.105983E-03
1    2   -1   -2   -2    0.000948   -0.106051E-03   -0.105983E-03
1    2   -1   -2    1    0.000948   -0.106051E-03   -0.105983E-03
1    2   -1    1   -2    0.000948   -0.106051E-03   -0.105983E-03
1    2   -1    1    1    0.000948   -0.106051E-03   -0.105983E-03
1    2    0   -2   -2    0.000948   -0.106051E-03   -0.105983E-03
1    2    0   -2    1    0.000948   -0.106051E-03   -0.105983E-03
1    2    0    1   -2    0.000948   -0.106051E-03   -0.105983E-03
1    2    0    1    1    0.000948   -0.106051E-03   -0.105983E-03
1    2    1   -2   -1    0.000948   -0.106051E-03   -0.105983E-03
1    2    1   -2    0    0.000948   -0.106051E-03   -0.105983E-03
1    2    1   -1   -2    0.000948   -0.106051E-03   -0.105983E-03
1    2    1   -1    1    0.000948   -0.106051E-03   -0.105983E-03
1    2    1    0   -2    0.000948   -0.106051E-03   -0.105983E-03
1    2    1    0    1    0.000948   -0.106051E-03   -0.105983E-03
