i    j    dx   dy   dz        Jij             χ⁰↑             χ⁰↓
2    1    0    0    0   -0.283522    0.699866E-02    0.699799E-02
2    1    0    0    1   -0.283522    0.699866E-02    0.699799E-02
2    1    0    1    0   -0.283522    0.699866E-02    0.699799E-02
2    1    0    1    1   -0.283522    0.699866E-02    0.699799E-02
2    1    1    0    0   -0.283522    0.699866E-02    0.699799E-02
2    1    1    0    1   -0.283522    0.699866E-02    0.699799E-02
2    1    1    1    0   -0.283522    0.699866E-02    0.699799E-02
2    1    1    1    1   -0.283522    0.699866E-02    0.699799E-02
2    2   -1    0    0    0.034536    0.253937E-02   -0.823013E-03
2    2    0   -1    0    0.034536    0.253937E-02   -0.823013E-03
2    2    0    0    1    0.034536    0.253937E-02   -0.823013E-03
2    2    0    0   -1    0.034536    0.253937E-02   -0.823013E-03
2    2    0    1    0    0.034536    0.253937E-02   -0.823013E-03
2    2    1    0    0    0.034536    0.253937E-02   -0.823013E-03
2    2   -1   -1    0   -0.011388   -0.683284E-03   -0.824953E-03
2    2   -1    0    1   -0.011388   -0.683284E-03   -0.824953E-03
2    2    0   -1    1   -0.011388   -0.683284E-03   -0.824953E-03
2    2   -1    0   -1   -0.011388   -0.683284E-03   -0.824953E-03
2    2   -1    1    0   -0.011388   -0.683284E-03   -0.824953E-03
2    2    0   -1   -1   -0.011388   -0.683284E-03   -0.824953E-03
2    2    0    1    1   -0.011388   -0.683284E-03   -0.824953E-03
2    2    1   -1    0   -0.011388   -0.683284E-03   -0.824953E-03
2    2    1    0    1   -0.011388   -0.683284E-03   -0.824953E-03
2    2    0    1   -1   -0.011388   -0.683284E-03   -0.824953E-03
2    2    1    0   -1   -0.011388   -0.683284E-03   -0.824953E-03
2    2    1    1    0   -0.011388   -0.683284E-03   -0.824953E-03
2    1   -1    0    0   -0.014831   -0.248296E-02   -0.248332E-02
2    1   -1    0    1   -0.014831   -0.248296E-02   -0.248332E-02
2    1   -1    1    0   -0.014831   -0.248296E-02   -0.248332E-02
2    1   -1    1    1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    0   -1    0   -0.014831   -0.248296E-02   -0.248332E-02
2    1    0   -1    1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    0    2    0   -0.014831   -0.248296E-02   -0.248332E-02
2    1    0    2    1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    1   -1    0   -0.014831   -0.248296E-02   -0.248332E-02
2    1    1   -1    1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    1    2    0   -0.014831   -0.248296E-02   -0.248332E-02
2    1    1    2    1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    2    0    0   -0.014831   -0.248296E-02   -0.248332E-02
2    1    2    0    1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    2    1    0   -0.014831   -0.248296E-02   -0.248332E-02
2    1    2    1    1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    0    0   -1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    0    0    2   -0.014831   -0.248296E-02   -0.248332E-02
2    1    0    1   -1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    0    1    2   -0.014831   -0.248296E-02   -0.248332E-02
2    1    1    0   -1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    1    0    2   -0.014831   -0.248296E-02   -0.248332E-02
2    1    1    1   -1   -0.014831   -0.248296E-02   -0.248332E-02
2    1    1    1    2   -0.014831   -0.248296E-02   -0.248332E-02
2    2   -1   -1   -1    0.023303   -0.818042E-03    0.317981E-02
2    2   -1   -1    1    0.023303   -0.818042E-03    0.317981E-02
2    2   -1    1    1    0.023303   -0.818042E-03    0.317981E-02
2    2    1   -1    1    0.023303   -0.818042E-03    0.317981E-02
2    2   -1    1   -1    0.023303   -0.818042E-03    0.317981E-02
2    2    1   -1   -1    0.023303   -0.818042E-03    0.317981E-02
2    2    1    1   -1    0.023303   -0.818042E-03    0.317981E-02
2    2    1    1    1    0.023303   -0.818042E-03    0.317981E-02
2    2   -2    0    0    0.005528    0.123424E-02    0.411952E-02
2    2    0   -2    0    0.005528    0.123424E-02    0.411952E-02
2    2    0    0   -2    0.005528    0.123424E-02    0.411952E-02
2    2    0    0    2    0.005528    0.123424E-02    0.411952E-02
2    2    0    2    0    0.005528    0.123424E-02    0.411952E-02
2    2    2    0    0    0.005528    0.123424E-02    0.411952E-02
2    1   -1   -1    0    0.000948   -0.106051E-03   -0.105983E-03
2    1   -1   -1    1    0.000948   -0.106051E-03   -0.105983E-03
2    1   -1    0   -1    0.000948   -0.106051E-03   -0.105983E-03
2    1   -1    0    2    0.000948   -0.106051E-03   -0.105983E-03
