i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
1;2;-1.5;-1.5;-1.5;-0.283522;0.00699866;0.00699799
1;2;-1.5;-1.5;-0.5;-0.283522;0.00699866;0.00699799
1;2;-1.5;-0.5;-1.5;-0.283522;0.00699866;0.00699799
1;2;-1.5;-0.5;-0.5;-0.283522;0.00699866;0.00699799
1;2;-0.5;-1.5;-1.5;-0.283522;0.00699866;0.00699799
1;2;-0.5;-1.5;-0.5;-0.283522;0.00699866;0.00699799
1;2;-0.5;-0.5;-1.5;-0.283522;0.00699866;0.00699799
1;2;-0.5;-0.5;-0.5;-0.283522;0.00699866;0.00699799
1;1;-1.0;0.0;0.0;0.034534;-0.000823785;0.0025376
1;1;0.0;-1.0;0.0;0.034534;-0.000823785;0.0025376
1;1;0.0;0.0;-1.0;0.034534;-0.000823785;0.0025376
1;1;0.0;0.0;1.0;0.034534;-0.000823785;0.0025376
1;1;0.0;1.0;0.0;0.034534;-0.000823785;0.0025376
1;1;1.0;0.0;0.0;0.034534;-0.000823785;0.0025376
1;1;-1.0;-1.0;0.0;-0.011388;-0.000824916;-0.000683451
1;1;-1.0;0.0;-1.0;-0.011388;-0.000824916;-0.000683451
1;1;-1.0;0.0;1.0;-0.011388;-0.000824916;-0.000683451
1;1;-1.0;1.0;0.0;-0.011388;-0.000824916;-0.000683451
1;1;0.0;-1.0;-1.0;-0.011388;-0.000824916;-0.000683451
1;1;0.0;-1.0;1.0;-0.011388;-0.000824916;-0.000683451
1;1;0.0;1.0;-1.0;-0.011388;-0.000824916;-0.000683451
1;1;0.0;1.0;1.0;-0.011388;-0.000824916;-0.000683451
1;1;1.0;-1.0;0.0;-0.011388;-0.000824916;-0.000683451
1;1;1.0;0.0;-1.0;-0.011388;-0.000824916;-0.000683451
1;1;1.0;0.0;1.0;-0.011388;-0.000824916;-0.000683451
1;1;1.0;1.0;0.0;-0.011388;-0.000824916;-0.000683451
1;2;-2.5;-1.5;-1.5;-0.014831;-0.00248296;-0.00248332
1;2;-2.5;-1.5;-0.5;-0.014831;-0.00248296;-0.00248332
1;2;-2.5;-0.5;-1.5;-0.014831;-0.00248296;-0.00248332
1;2;-2.5;-0.5;-0.5;-0.014831;-0.00248296;-0.00248332
1;2;-1.5;-2.5;-1.5;-0.014831;-0.00248296;-0.00248332
1;2;-1.5;-2.5;-0.5;-0.014831;-0.00248296;-0.00248332
1;2;-1.5;0.5;-1.5;-0.014831;-0.00248296;-0.00248332
1;2;-1.5;0.5;-0.5;-0.014831;-0.00248296;-0.00248332
1;2;-0.5;-2.5;-1.5;-0.014831;-0.00248296;-0.00248332
1;2;-0.5;-2.5;-0.5;-0.014831;-0.00248296;-0.00248332
1;2;-0.5;0.5;-1.5;-0.014831;-0.00248296;-0.00248332
1;2;-0.5;0.5;-0.5;-0.014831;-0.00248296;-0.00248332
1;2;0.5;-1.5;-1.5;-0.014831;-0.00248296;-0.00248332
1;2;0.5;-1.5;-0.5;-0.014831;-0.00248296;-0.00248332
1;2;0.5;-0.5;-1.5;-0.014831;-0.00248296;-0.00248332
1;2;0.5;-0.5;-0.5;-0.014831;-0.00248296;-0.00248332
1;2;-1.5;-1.5;-2.5;-0.014831;-0.00248296;-0.00248332
1;2;-1.5;-1.5;0.5;-0.014831;-0.00248296;-0.00248332
1;2;-1.5;-0.5;-2.5;-0.014831;-0.00248296;-0.00248332
1;2;-1.5;-0.5;0.5;-0.014831;-0.00248296;-0.00248332
1;2;-0.5;-1.5;-2.5;-0.014831;-0.00248296;-0.00248332
1;2;-0.5;-1.5;0.5;-0.014831;-0.00248296;-0.00248332
1;2;-0.5;-0.5;-2.5;-0.014831;-0.00248296;-0.00248332
1;2;-0.5;-0.5;0.5;-0.014831;-0.00248296;-0.00248332
1;1;-1.0;-1.0;-1.0;0.023302;0.0031788;-0.000817402
