j-coordinate,Xzz
"(-5.0, -2.0, -2.0)",-1.8516768180000571e-06
"(-5.0, -2.0, -1.0)",2.928599945586379e-05
"(-5.0, -2.0, 0.0)",2.9169213388739348e-05
"(-5.0, -2.0, 1.0)",-1.8410838279743144e-06
"(-5.0, -1.0, -2.0)",2.9285993060179283e-05
"(-5.0, -1.0, -1.0)",7.855845165315347e-06
"(-5.0, -1.0, 0.0)",7.841240982895084e-06
"(-5.0, -1.0, 1.0)",2.927550557313477e-05
"(-5.0, 0.0, -2.0)",2.916920426894354e-05
"(-5.0, 0.0, -1.0)",7.841240982895084e-06
"(-5.0, 0.0, 0.0)",-3.626872841789347e-05
"(-5.0, 0.0, 1.0)",2.9610902398865037e-05
"(-5.0, 1.0, -2.0)",-1.8410836205120347e-06
"(-5.0, 1.0, -1.0)",2.927550557313477e-05
"(-5.0, 1.0, 0.0)",2.9610902398865037e-05
"(-5.0, 1.0, 1.0)",-1.851530546797849e-06
"(-4.0, -4.0, -1.0)",2.5636128812894243e-05
"(-4.0, -4.0, 0.0)",2.539181387126382e-05
"(-4.0, -3.0, -3.0)",-8.767195395451584e-05
"(-4.0, -3.0, -2.0)",2.5912851112983668e-05
"(-4.0, -3.0, -1.0)",-1.0629195851272848e-05
"(-4.0, -3.0, 0.0)",-2.5265383865623142e-06
"(-4.0, -3.0, 1.0)",2.5782765733221424e-05
"(-4.0, -3.0, 2.0)",-8.6401480201832e-05
"(-4.0, -2.0, -3.0)",2.5912851112983668e-05
"(-4.0, -2.0, -2.0)",-8.502820641986665e-05
"(-4.0, -2.0, -1.0)",2.3860741420478707e-05
"(-4.0, -2.0, 0.0)",-5.089095663644737e-05
"(-4.0, -2.0, 1.0)",2.478869394897155e-05
"(-4.0, -2.0, 2.0)",-8.792937838805048e-05
"(-4.0, -1.0, -4.0)",2.5636134750163203e-05
"(-4.0, -1.0, -3.0)",-1.0629193547474827e-05
"(-4.0, -1.0, -2.0)",2.3860741420478707e-05
"(-4.0, -1.0, -1.0)",3.3129021011533985e-06
"(-4.0, -1.0, 0.0)",2.6552575671405137e-05
"(-4.0, -1.0, 1.0)",2.7271377875704994e-05
"(-4.0, -1.0, 2.0)",3.578006332941057e-06
"(-4.0, -1.0, 3.0)",2.5482286413617552e-05
"(-4.0, 0.0, -4.0)",2.5391807845774025e-05
"(-4.0, 0.0, -3.0)",-2.7474218202763688e-06
"(-4.0, 0.0, -2.0)",-5.089095663644737e-05
"(-4.0, 0.0, -1.0)",2.6552575671405137e-05
"(-4.0, 0.0, 0.0)",5.187241749877515e-06
"(-4.0, 0.0, 1.0)",5.17930002660696e-06
"(-4.0, 0.0, 2.0)",2.8347717100456908e-05
"(-4.0, 0.0, 3.0)",-2.6587273408472254e-06
"(-4.0, 1.0, -3.0)",2.5793597255973236e-05
"(-4.0, 1.0, -2.0)",2.479376369896281e-05
"(-4.0, 1.0, -1.0)",2.727137787570499e-05
"(-4.0, 1.0, 0.0)",5.17930002660696e-06
"(-4.0, 1.0, 1.0)",5.33457864458421e-06
"(-4.0, 1.0, 2.0)",2.89875760136927e-05
"(-4.0, 2.0, -3.0)",-8.643792953707162e-05
"(-4.0, 2.0, -2.0)",-8.806051770365796e-05
"(-4.0, 2.0, -1.0)",3.5837854854461162e-06
"(-4.0, 2.0, 0.0)",2.8347717100456908e-05
"(-4.0, 2.0, 1.0)",2.8991072561396854e-05
"(-4.0, 2.0, 2.0)",3.829325535863787e-06
"(-4.0, 3.0, -1.0)",2.5493087881841234e-05
"(-4.0, 3.0, 0.0)",-2.8988119226871253e-06
"(-3.0, -4.0, -3.0)",-8.767195395451584e-05
"(-3.0, -4.0, -2.0)",2.5912851112983668e-05
"(-3.0, -4.0, -1.0)",-1.0629195851272848e-05
"(-3.0, -4.0, 0.0)",-2.5265383865623142e-06
"(-3.0, -4.0, 1.0)",2.5782765733221424e-05
"(-3.0, -4.0, 2.0)",-8.6401480201832e-05
"(-3.0, -3.0, -4.0)",-8.767195395451584e-05
"(-3.0, -3.0, -3.0)",-4.751182280099952e-05
"(-3.0, -3.0, -2.0)",4.8947515708600895e-06
"(-3.0, -3.0, -1.0)",5.815482763096991e-05
"(-3.0, -3.0, 0.0)",9.498635416284918e-05
"(-3.0, -3.0, 1.0)",9.322571283719186e-05
"(-3.0, -3.0, 2.0)",5.068188011129523e-06
"(-3.0, -3.0, 3.0)",-8.727041953316667e-05
"(-3.0, -2.0, -4.0)",2.5912851112983668e-05
