i   j        dx     dy     dz         Jij            χ⁰↑            χ⁰↓            Xzz
1   2    -1.500 -1.500 -1.500   -0.283522   6.998660E-03   6.997990E-03  -5.688174E-05
1   2    -1.500 -1.500 -0.500   -0.283522   6.998660E-03   6.997990E-03  -8.783264E-06
1   2    -1.500 -0.500 -1.500   -0.283522   6.998660E-03   6.997990E-03  -8.783567E-06
1   2    -1.500 -0.500 -0.500   -0.283522   6.998660E-03   6.997990E-03  -1.034170E-04
1   2    -0.500 -1.500 -1.500   -0.283522   6.998660E-03   6.997990E-03  -8.783567E-06
1   2    -0.500 -1.500 -0.500   -0.283522   6.998660E-03   6.997990E-03  -1.034170E-04
1   2    -0.500 -0.500 -1.500   -0.283522   6.998660E-03   6.997990E-03  -1.034205E-04
1   2    -0.500 -0.500 -0.500   -0.283522   6.998660E-03   6.997990E-03   2.015897E-04
1   1    -1.000  0.000  0.000    0.034534  -8.237850E-04   2.537600E-03   5.182068E-04
1   1     0.000 -1.000  0.000    0.034534  -8.237850E-04   2.537600E-03   5.182068E-04
1   1     0.000  0.000 -1.000    0.034534  -8.237850E-04   2.537600E-03   5.181753E-04
1   1     0.000  0.000  1.000    0.034534  -8.237850E-04   2.537600E-03   5.157926E-04
1   1     0.000  1.000  0.000    0.034534  -8.237850E-04   2.537600E-03   5.157614E-04
1   1     1.000  0.000  0.000    0.034534  -8.237850E-04   2.537600E-03   5.157614E-04
1   1    -1.000 -1.000  0.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.225078E-04
1   1    -1.000  0.000 -1.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.225187E-04
1   1    -1.000  0.000  1.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.218086E-04
1   1    -1.000  1.000  0.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.218195E-04
1   1     0.000 -1.000 -1.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.225187E-04
1   1     0.000 -1.000  1.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.218086E-04
1   1     0.000  1.000 -1.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.218304E-04
1   1     0.000  1.000  1.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.184769E-04
1   1     1.000 -1.000  0.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.218195E-04
1   1     1.000  0.000 -1.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.218304E-04
1   1     1.000  0.000  1.000   -0.011388  -8.249160E-04  -6.834510E-04  -4.184769E-04
