i;j;j-coordinate;N_k;Xzz
1;2;(-1.5, -1.5, -1.5);661;0.0038925462223600984
1;2;(-1.5, -1.5, -0.5);718;0.003895649677044781
1;2;(-1.5, -0.5, -1.5);718;0.003895649677044781
1;2;(-1.5, -0.5, -0.5);780;0.003918120524777654
1;2;(-0.5, -1.5, -1.5);718;0.003895649677044781
1;2;(-0.5, -1.5, -0.5);780;0.003918120524777654
1;2;(-0.5, -0.5, -1.5);780;0.003918120524777654
1;2;(-0.5, -0.5, -0.5);876;0.0039318030245039095
1;1;(-1.0, 0.0, 0.0);824;0.0005186436163671547
1;1;(0.0, -1.0, 0.0);824;0.0005186436163671547
1;1;(0.0, 0.0, -1.0);824;0.0005186436163671547
1;1;(0.0, 0.0, 1.0);786;0.000521390504478476
1;1;(0.0, 1.0, 0.0);786;0.000521390504478476
1;1;(1.0, 0.0, 0.0);786;0.000521390504478476
1;1;(-1.0, -1.0, 0.0);796;-0.00042134044180475654
1;1;(-1.0, 0.0, -1.0);796;-0.00042134044180475654
1;1;(-1.0, 0.0, 1.0);751;-0.0004240549570176725
1;1;(-1.0, 1.0, 0.0);751;-0.0004240549570176725
1;1;(0.0, -1.0, -1.0);796;-0.00042134044180475654
1;1;(0.0, -1.0, 1.0);751;-0.0004240549570176725
1;1;(0.0, 1.0, -1.0);751;-0.0004240549570176725
1;1;(0.0, 1.0, 1.0);719;-0.00042511631189748854
1;1;(1.0, -1.0, 0.0);751;-0.0004240549570176725
1;1;(1.0, 0.0, -1.0);751;-0.0004240549570176725
1;1;(1.0, 0.0, 1.0);719;-0.00042511631189748854
1;1;(1.0, 1.0, 0.0);719;-0.00042511631189748854
1;2;(-2.5, -1.5, -1.5);561;-0.0013662051262767483
1;2;(-2.5, -1.5, -0.5);602;-0.0013805166554737114
1;2;(-2.5, -0.5, -1.5);602;-0.0013805166554737114
1;2;(-2.5, -0.5, -0.5);649;-0.001397100300503756
1;2;(-1.5, -2.5, -1.5);561;-0.0013662051262767483
1;2;(-1.5, -2.5, -0.5);602;-0.0013805166554737114
1;2;(-1.5, 0.5, -1.5);694;-0.001391173921011615
1;2;(-1.5, 0.5, -0.5);750;-0.0013960695571551404
1;2;(-0.5, -2.5, -1.5);602;-0.0013805166554737114
1;2;(-0.5, -2.5, -0.5);649;-0.001397100300503756
1;2;(-0.5, 0.5, -1.5);750;-0.0013960695571551404
1;2;(-0.5, 0.5, -0.5);843;-0.0013991465778507447
