i;j;j-coordinate;N_k;Xzz
1;1;(-1.0, -1.0, -1.0);927;0.00233056625
1;1;(-1.0, 0.0, 0.0);927;0.00233056625
1;1;(0.0, -1.0, 0.0);927;0.00233056625
1;1;(0.0, 0.0, -1.0);927;0.00233056625
1;1;(0.0, 0.0, 1.0);927;0.00233056625
1;1;(0.0, 1.0, 0.0);927;0.00233056625
1;1;(1.0, 0.0, 0.0);927;0.00233056625
1;1;(1.0, 1.0, 1.0);927;0.00233056625
1;1;(-1.0, -1.0, 0.0);905;0.017169774999999998
1;1;(-1.0, 0.0, -1.0);905;0.017169774999999998
1;1;(0.0, -1.0, -1.0);905;0.017169774999999998
1;1;(0.0, 1.0, 1.0);905;0.017169774999999998
1;1;(1.0, 0.0, 1.0);905;0.017169774999999998
1;1;(1.0, 1.0, 0.0);905;0.017169774999999998
1;1;(-2.0, -1.0, -1.0);839;-0.0012134350000000001
1;1;(-1.0, -2.0, -1.0);839;-0.0012134350000000001
1;1;(1.0, 2.0, 1.0);839;-0.0012134350000000001
1;1;(2.0, 1.0, 1.0);839;-0.0012134350000000001
1;1;(-1.0, -1.0, -2.0);839;-0.0012134350000000001
1;1;(-1.0, 0.0, 1.0);839;-0.0012134350000000001
1;1;(-1.0, 1.0, 0.0);839;-0.0012134350000000001
1;1;(0.0, -1.0, 1.0);839;-0.0012134350000000001
1;1;(0.0, 1.0, -1.0);839;-0.0012134350000000001
1;1;(1.0, -1.0, 0.0);839;-0.0012134350000000001
1;1;(1.0, 0.0, -1.0);839;-0.0012134350000000001
1;1;(1.0, 1.0, 2.0);839;-0.0012134350000000001
1;1;(-2.0, -2.0, -1.0);801;0.0014102125
1;1;(-2.0, -1.0, -2.0);801;0.0014102125
1;1;(-2.0, -1.0, 0.0);801;0.0014102125
1;1;(-2.0, 0.0, -1.0);801;0.0014102125
1;1;(-1.0, -2.0, -2.0);801;0.0014102125
1;1;(-1.0, -2.0, 0.0);801;0.0014102125
1;1;(-1.0, -1.0, 1.0);801;0.0014102125
1;1;(-1.0, 0.0, -2.0);801;0.0014102125
1;1;(-1.0, 1.0, -1.0);801;0.0014102125
1;1;(-1.0, 1.0, 1.0);801;0.0014102125
1;1;(0.0, -2.0, -1.0);801;0.0014102125
1;1;(0.0, -1.0, -2.0);801;0.0014102125
1;1;(0.0, 1.0, 2.0);801;0.0014102125
1;1;(0.0, 2.0, 1.0);801;0.0014102125
1;1;(1.0, -1.0, -1.0);801;0.0014102125
1;1;(1.0, -1.0, 1.0);801;0.0014102125
1;1;(1.0, 0.0, 2.0);801;0.0014102125
1;1;(1.0, 1.0, -1.0);801;0.0014102125
1;1;(1.0, 2.0, 0.0);801;0.0014102125
1;1;(1.0, 2.0, 2.0);801;0.0014102125
1;1;(2.0, 0.0, 1.0);801;0.0014102125
1;1;(2.0, 1.0, 0.0);801;0.0014102125
1;1;(2.0, 1.0, 2.0);801;0.0014102125
1;1;(2.0, 2.0, 1.0);801;0.0014102125
1;1;(-2.0, -2.0, -2.0);788;0.0006512506499999999
1;1;(-2.0, 0.0, 0.0);788;0.0006512506499999999
1;1;(0.0, -2.0, 0.0);788;0.0006512506499999999
1;1;(0.0, 0.0, -2.0);788;0.0006512506499999999
1;1;(0.0, 0.0, 2.0);788;0.0006512506499999999
1;1;(0.0, 2.0, 0.0);788;0.0006512506499999999
1;1;(2.0, 0.0, 0.0);788;0.0006512506499999999
1;1;(2.0, 2.0, 2.0);788;0.0006512506499999999
1;1;(-2.0, -2.0, 0.0);756;0.0043047
1;1;(-2.0, 0.0, -2.0);756;0.0043047
1;1;(0.0, -2.0, -2.0);756;0.0043047
1;1;(0.0, 2.0, 2.0);756;0.0043047
1;1;(2.0, 0.0, 2.0);756;0.0043047
1;1;(2.0, 2.0, 0.0);756;0.0043047
1;1;(-3.0, -2.0, -2.0);725;-0.0003942245
1;1;(-3.0, -1.0, -1.0);725;-0.0003942245
1;1;(-2.0, -2.0, -3.0);725;-0.0003942245
1;1;(-2.0, 0.0, 1.0);725;-0.0003942245
1;1;(-2.0, 1.0, 0.0);725;-0.0003942245
1;1;(-1.0, -3.0, -1.0);725;-0.0003942245
1;1;(-1.0, -1.0, -3.0);725;-0.0003942245
1;1;(-1.0, 0.0, 2.0);725;-0.0003942245
1;1;(-1.0, 2.0, 0.0);725;-0.0003942245
1;1;(0.0, -2.0, 1.0);725;-0.0003942245
1;1;(0.0, -1.0, 2.0);725;-0.0003942245
1;1;(0.0, 1.0, -2.0);725;-0.0003942245
1;1;(0.0, 2.0, -1.0);725;-0.0003942245
1;1;(1.0, -2.0, 0.0);725;-0.0003942245
1;1;(1.0, 0.0, -2.0);725;-0.0003942245
1;1;(1.0, 1.0, 3.0);725;-0.0003942245
1;1;(1.0, 3.0, 1.0);725;-0.0003942245
1;1;(2.0, -1.0, 0.0);725;-0.0003942245
1;1;(2.0, 0.0, -1.0);725;-0.0003942245
1;1;(2.0, 2.0, 3.0);725;-0.0003942245
1;1;(3.0, 1.0, 1.0);725;-0.0003942245
1;1;(3.0, 2.0, 2.0);725;-0.0003942245
1;1;(-2.0, -3.0, -2.0);725;-0.0003942245
1;1;(2.0, 3.0, 2.0);725;-0.0003942245
1;1;(-3.0, -2.0, -1.0);717;0.000204252325
1;1;(-3.0, -1.0, -2.0);717;0.000204252325
1;1;(-2.0, -3.0, -1.0);717;0.000204252325
1;1;(-2.0, -1.0, -3.0);717;0.000204252325
1;1;(-2.0, -1.0, 1.0);717;0.000204252325
1;1;(-2.0, 1.0, -1.0);717;0.000204252325
1;1;(-1.0, -3.0, -2.0);717;0.000204252325
1;1;(-1.0, -2.0, -3.0);717;0.000204252325
1;1;(-1.0, -2.0, 1.0);717;0.000204252325
1;1;(-1.0, 1.0, -2.0);717;0.000204252325
1;1;(-1.0, 1.0, 2.0);717;0.000204252325
1;1;(-1.0, 2.0, 1.0);717;0.000204252325
1;1;(1.0, -2.0, -1.0);717;0.000204252325
1;1;(1.0, -1.0, -2.0);717;0.000204252325
1;1;(1.0, -1.0, 2.0);717;0.000204252325
1;1;(1.0, 2.0, -1.0);717;0.000204252325
1;1;(1.0, 2.0, 3.0);717;0.000204252325
1;1;(1.0, 3.0, 2.0);717;0.000204252325
1;1;(2.0, -1.0, 1.0);717;0.000204252325
1;1;(2.0, 1.0, -1.0);717;0.000204252325
1;1;(2.0, 1.0, 3.0);717;0.000204252325
1;1;(2.0, 3.0, 1.0);717;0.000204252325
1;1;(3.0, 1.0, 2.0);717;0.000204252325
1;1;(3.0, 2.0, 1.0);717;0.000204252325
1;1;(-3.0, -3.0, -2.0);683;0.00024329849999999998
1;1;(-3.0, -1.0, 0.0);683;0.00024329849999999998
1;1;(-3.0, 0.0, -1.0);683;0.00024329849999999998
1;1;(-2.0, 1.0, 1.0);683;0.00024329849999999998
1;1;(-1.0, 2.0, -1.0);683;0.00024329849999999998
1;1;(0.0, -3.0, -1.0);683;0.00024329849999999998
1;1;(0.0, 3.0, 1.0);683;0.00024329849999999998
1;1;(1.0, -2.0, 1.0);683;0.00024329849999999998
1;1;(2.0, -1.0, -1.0);683;0.00024329849999999998
1;1;(3.0, 0.0, 1.0);683;0.00024329849999999998
1;1;(3.0, 1.0, 0.0);683;0.00024329849999999998
1;1;(3.0, 3.0, 2.0);683;0.00024329849999999998
1;1;(-3.0, -2.0, -3.0);683;0.00024329849999999998
1;1;(-1.0, -3.0, 0.0);683;0.00024329849999999998
1;1;(-1.0, -1.0, 2.0);683;0.00024329849999999998
1;1;(-1.0, 0.0, -3.0);683;0.00024329849999999998
1;1;(0.0, -1.0, -3.0);683;0.00024329849999999998
1;1;(0.0, 1.0, 3.0);683;0.00024329849999999998
1;1;(1.0, 0.0, 3.0);683;0.00024329849999999998
1;1;(1.0, 1.0, -2.0);683;0.00024329849999999998
1;1;(1.0, 3.0, 0.0);683;0.00024329849999999998
1;1;(3.0, 2.0, 3.0);683;0.00024329849999999998
1;1;(-2.0, -3.0, -3.0);683;0.00024329849999999998
1;1;(2.0, 3.0, 3.0);683;0.00024329849999999998
1;1;(-3.0, -3.0, -1.0);663;-9.225974999999998e-05
1;1;(3.0, 3.0, 1.0);663;-9.225974999999998e-05
1;1;(-3.0, -3.0, -3.0);661;-0.00079462675
1;1;(-3.0, -2.0, 0.0);663;-9.225974999999998e-05
1;1;(-3.0, -1.0, -3.0);663;-9.225974999999998e-05
1;1;(-3.0, 0.0, -2.0);663;-9.225974999999998e-05
1;1;(-3.0, 0.0, 0.0);661;-0.00079462675
1;1;(-2.0, 1.0, -2.0);663;-9.225974999999998e-05
1;1;(-1.0, 2.0, 2.0);663;-9.225974999999998e-05
1;1;(0.0, -3.0, -2.0);663;-9.225974999999998e-05
1;1;(0.0, -3.0, 0.0);661;-0.00079462675
1;1;(0.0, 0.0, -3.0);661;-0.00079462675
1;1;(0.0, 0.0, 3.0);661;-0.00079462675
1;1;(0.0, 3.0, 0.0);661;-0.00079462675
1;1;(0.0, 3.0, 2.0);663;-9.225974999999998e-05
1;1;(1.0, -2.0, -2.0);663;-9.225974999999998e-05
1;1;(2.0, -1.0, 2.0);663;-9.225974999999998e-05
1;1;(3.0, 0.0, 0.0);661;-0.00079462675
1;1;(3.0, 0.0, 2.0);663;-9.225974999999998e-05
1;1;(3.0, 1.0, 3.0);663;-9.225974999999998e-05
1;1;(3.0, 2.0, 0.0);663;-9.225974999999998e-05
1;1;(3.0, 3.0, 3.0);661;-0.00079462675
1;1;(-2.0, -3.0, 0.0);663;-9.225974999999998e-05
1;1;(-2.0, -2.0, 1.0);663;-9.225974999999998e-05
1;1;(-2.0, 0.0, -3.0);663;-9.225974999999998e-05
1;1;(-1.0, -3.0, -3.0);663;-9.225974999999998e-05
1;1;(0.0, -2.0, -3.0);663;-9.225974999999998e-05
1;1;(0.0, 2.0, 3.0);663;-9.225974999999998e-05
1;1;(1.0, 3.0, 3.0);663;-9.225974999999998e-05
1;1;(2.0, 0.0, 3.0);663;-9.225974999999998e-05
1;1;(2.0, 2.0, -1.0);663;-9.225974999999998e-05
1;1;(2.0, 3.0, 0.0);663;-9.225974999999998e-05
1;1;(-4.0, -2.0, -2.0);630;-0.00047448224999999995
1;1;(-2.0, -4.0, -2.0);630;-0.00047448224999999995
1;1;(2.0, 4.0, 2.0);630;-0.00047448224999999995
1;1;(4.0, 2.0, 2.0);630;-0.00047448224999999995
1;1;(-2.0, -2.0, -4.0);630;-0.00047448224999999995
1;1;(-2.0, 0.0, 2.0);630;-0.00047448224999999995
1;1;(-2.0, 2.0, 0.0);630;-0.00047448224999999995
1;1;(0.0, -2.0, 2.0);630;-0.00047448224999999995
1;1;(0.0, 2.0, -2.0);630;-0.00047448224999999995
1;1;(2.0, -2.0, 0.0);630;-0.00047448224999999995
1;1;(2.0, 0.0, -2.0);630;-0.00047448224999999995
1;1;(2.0, 2.0, 4.0);630;-0.00047448224999999995
1;1;(-4.0, -3.0, -2.0);607;-3.781799999999998e-05
1;1;(-4.0, -2.0, -1.0);607;-3.781799999999998e-05
1;1;(-3.0, -2.0, -4.0);607;-3.781799999999998e-05
1;1;(-2.0, -4.0, -1.0);607;-3.781799999999998e-05
1;1;(-2.0, -1.0, 2.0);607;-3.781799999999998e-05
1;1;(-2.0, 1.0, 2.0);607;-3.781799999999998e-05
1;1;(-1.0, -2.0, 2.0);607;-3.781799999999998e-05
1;1;(-1.0, 2.0, -2.0);607;-3.781799999999998e-05
1;1;(1.0, -2.0, 2.0);607;-3.781799999999998e-05
1;1;(1.0, 2.0, -2.0);607;-3.781799999999998e-05
1;1;(2.0, -1.0, -2.0);607;-3.781799999999998e-05
1;1;(2.0, 1.0, -2.0);607;-3.781799999999998e-05
1;1;(2.0, 4.0, 1.0);607;-3.781799999999998e-05
1;1;(3.0, 2.0, 4.0);607;-3.781799999999998e-05
1;1;(4.0, 2.0, 1.0);607;-3.781799999999998e-05
1;1;(4.0, 3.0, 2.0);607;-3.781799999999998e-05
1;1;(-4.0, -2.0, -3.0);607;-3.781799999999998e-05
1;1;(-4.0, -1.0, -2.0);607;-3.781799999999998e-05
1;1;(-3.0, -4.0, -2.0);607;-3.781799999999998e-05
1;1;(-3.0, -1.0, 1.0);607;-3.781799999999998e-05
1;1;(-3.0, 1.0, -1.0);607;-3.781799999999998e-05
1;1;(-2.0, -4.0, -3.0);607;-3.781799999999998e-05
1;1;(-2.0, -3.0, -4.0);607;-3.781799999999998e-05
1;1;(-2.0, -1.0, -4.0);607;-3.781799999999998e-05
1;1;(-2.0, 2.0, -1.0);607;-3.781799999999998e-05
1;1;(-2.0, 2.0, 1.0);607;-3.781799999999998e-05
1;1;(-1.0, -4.0, -2.0);607;-3.781799999999998e-05
1;1;(-1.0, -3.0, 1.0);607;-3.781799999999998e-05
1;1;(-1.0, -2.0, -4.0);607;-3.781799999999998e-05
1;1;(-1.0, 1.0, -3.0);607;-3.781799999999998e-05
1;1;(-1.0, 1.0, 3.0);607;-3.781799999999998e-05
1;1;(-1.0, 3.0, 1.0);607;-3.781799999999998e-05
1;1;(1.0, -3.0, -1.0);607;-3.781799999999998e-05
1;1;(1.0, -1.0, -3.0);607;-3.781799999999998e-05
1;1;(1.0, -1.0, 3.0);607;-3.781799999999998e-05
1;1;(1.0, 2.0, 4.0);607;-3.781799999999998e-05
1;1;(1.0, 3.0, -1.0);607;-3.781799999999998e-05
1;1;(1.0, 4.0, 2.0);607;-3.781799999999998e-05
1;1;(2.0, -2.0, -1.0);607;-3.781799999999998e-05
1;1;(2.0, -2.0, 1.0);607;-3.781799999999998e-05
1;1;(2.0, 1.0, 4.0);607;-3.781799999999998e-05
1;1;(2.0, 3.0, 4.0);607;-3.781799999999998e-05
1;1;(2.0, 4.0, 3.0);607;-3.781799999999998e-05
1;1;(3.0, -1.0, 1.0);607;-3.781799999999998e-05
1;1;(3.0, 1.0, -1.0);607;-3.781799999999998e-05
1;1;(3.0, 4.0, 2.0);607;-3.781799999999998e-05
1;1;(4.0, 1.0, 2.0);607;-3.781799999999998e-05
1;1;(4.0, 2.0, 3.0);607;-3.781799999999998e-05
1;1;(-4.0, -1.0, -1.0);603;9.290625e-05
1;1;(-3.0, -4.0, -3.0);603;9.290625e-05
1;1;(-3.0, -3.0, -4.0);603;9.290625e-05
1;1;(-3.0, -3.0, 0.0);611;-0.0005014570000000001
1;1;(-3.0, 0.0, -3.0);611;-0.0005014570000000001
1;1;(-3.0, 0.0, 1.0);603;9.290625e-05
1;1;(-3.0, 1.0, 0.0);603;9.290625e-05
1;1;(-1.0, -4.0, -1.0);603;9.290625e-05
1;1;(0.0, -3.0, -3.0);611;-0.0005014570000000001
1;1;(0.0, -3.0, 1.0);603;9.290625e-05
1;1;(0.0, 3.0, -1.0);603;9.290625e-05
1;1;(0.0, 3.0, 3.0);611;-0.0005014570000000001
1;1;(1.0, 4.0, 1.0);603;9.290625e-05
1;1;(3.0, -1.0, 0.0);603;9.290625e-05
1;1;(3.0, 0.0, -1.0);603;9.290625e-05
1;1;(3.0, 0.0, 3.0);611;-0.0005014570000000001
1;1;(3.0, 3.0, 0.0);611;-0.0005014570000000001
1;1;(3.0, 3.0, 4.0);603;9.290625e-05
1;1;(3.0, 4.0, 3.0);603;9.290625e-05
1;1;(4.0, 1.0, 1.0);603;9.290625e-05
1;1;(-4.0, -3.0, -3.0);603;9.290625e-05
1;1;(-1.0, -1.0, -4.0);603;9.290625e-05
1;1;(-1.0, 0.0, 3.0);603;9.290625e-05
1;1;(-1.0, 3.0, 0.0);603;9.290625e-05
1;1;(0.0, -1.0, 3.0);603;9.290625e-05
1;1;(0.0, 1.0, -3.0);603;9.290625e-05
1;1;(1.0, -3.0, 0.0);603;9.290625e-05
1;1;(1.0, 0.0, -3.0);603;9.290625e-05
1;1;(1.0, 1.0, 4.0);603;9.290625e-05
1;1;(4.0, 3.0, 3.0);603;9.290625e-05
1;1;(-4.0, -3.0, -1.0);579;3.83218e-05
1;1;(-4.0, -1.0, -3.0);579;3.83218e-05
1;1;(-3.0, -4.0, -1.0);579;3.83218e-05
1;1;(-3.0, -2.0, 1.0);579;3.83218e-05
1;1;(-3.0, -1.0, -4.0);579;3.83218e-05
1;1;(-3.0, 1.0, -2.0);579;3.83218e-05
1;1;(-2.0, 1.0, -3.0);579;3.83218e-05
1;1;(-1.0, -4.0, -3.0);579;3.83218e-05
1;1;(-1.0, -3.0, -4.0);579;3.83218e-05
1;1;(-1.0, 2.0, 3.0);579;3.83218e-05
1;1;(-1.0, 3.0, 2.0);579;3.83218e-05
1;1;(1.0, -3.0, -2.0);579;3.83218e-05
1;1;(1.0, -2.0, -3.0);579;3.83218e-05
1;1;(1.0, 3.0, 4.0);579;3.83218e-05
1;1;(1.0, 4.0, 3.0);579;3.83218e-05
1;1;(2.0, -1.0, 3.0);579;3.83218e-05
1;1;(3.0, -1.0, 2.0);579;3.83218e-05
1;1;(3.0, 1.0, 4.0);579;3.83218e-05
1;1;(3.0, 2.0, -1.0);579;3.83218e-05
1;1;(3.0, 4.0, 1.0);579;3.83218e-05
1;1;(4.0, 1.0, 3.0);579;3.83218e-05
1;1;(4.0, 3.0, 1.0);579;3.83218e-05
1;1;(-2.0, -3.0, 1.0);579;3.83218e-05
1;1;(2.0, 3.0, -1.0);579;3.83218e-05
1;1;(-4.0, -4.0, -3.0);561;-0.00037398775
1;1;(-4.0, -3.0, -4.0);561;-0.00037398775
1;1;(-4.0, -1.0, 0.0);561;-0.00037398775
1;1;(-4.0, 0.0, -1.0);561;-0.00037398775
1;1;(-3.0, -4.0, -4.0);561;-0.00037398775
1;1;(-3.0, 1.0, 1.0);561;-0.00037398775
1;1;(-1.0, -4.0, 0.0);561;-0.00037398775
1;1;(-1.0, -1.0, 3.0);561;-0.00037398775
1;1;(-1.0, 0.0, -4.0);561;-0.00037398775
1;1;(-1.0, 3.0, -1.0);561;-0.00037398775
