i   j        dx     dy     dz         Jij            χ⁰↑            χ⁰↓            Xzz
1   1    -1.000 -1.000 -1.000    0.803823   8.701750E-03   6.205150E-04   6.295264E-03
1   1    -1.000  0.000  0.000    0.803823   8.701750E-03   6.205150E-04   6.295264E-03
1   1     0.000 -1.000  0.000    0.803823   8.701750E-03   6.205150E-04   6.295264E-03
1   1     0.000  0.000 -1.000    0.803823   8.701750E-03   6.205150E-04   6.295264E-03
1   1     0.000  0.000  1.000    0.803823   8.701750E-03   6.205150E-04   6.295264E-03
1   1     0.000  1.000  0.000    0.803823   8.701750E-03   6.205150E-04   6.295264E-03
1   1     1.000  0.000  0.000    0.803823   8.701750E-03   6.205150E-04   6.295264E-03
1   1     1.000  1.000  1.000    0.803823   8.701750E-03   6.205150E-04   6.295264E-03
1   1    -1.000 -1.000  0.000    0.575587   5.377750E-02   1.490160E-02   4.330100E-02
1   1    -1.000  0.000 -1.000    0.575587   5.377750E-02   1.490160E-02   4.330100E-02
1   1     0.000 -1.000 -1.000    0.575587   5.377750E-02   1.490160E-02   4.330100E-02
1   1     0.000  1.000  1.000    0.575587   5.377750E-02   1.490160E-02   4.330100E-02
1   1     1.000  0.000  1.000    0.575587   5.377750E-02   1.490160E-02   4.330100E-02
1   1     1.000  1.000  0.000    0.575587   5.377750E-02   1.490160E-02   4.330100E-02
1   1    -2.000 -1.000 -1.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1    -1.000 -2.000 -1.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1     1.000  2.000  1.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1     2.000  1.000  1.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1    -1.000 -1.000 -2.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1    -1.000  0.000  1.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1    -1.000  1.000  0.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1     0.000 -1.000  1.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1     0.000  1.000 -1.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1     1.000 -1.000  0.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1     1.000  0.000 -1.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1     1.000  1.000  2.000   -0.015219  -4.162550E-03  -6.911900E-04  -3.293871E-03
1   1    -2.000 -2.000 -1.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -2.000 -1.000 -2.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -2.000 -1.000  0.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -2.000  0.000 -1.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -1.000 -2.000 -2.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -1.000 -2.000  0.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -1.000 -1.000  1.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -1.000  0.000 -2.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -1.000  1.000 -1.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1    -1.000  1.000  1.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1     0.000 -2.000 -1.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
1   1     0.000 -1.000 -2.000   -0.105579   4.633300E-03   1.007550E-03   3.813051E-03
