i    j    dx   dy   dz        Jij             χ⁰↑             χ⁰↓
3    4   -1    0    0         NaN             NaN   -0.370884E+00
3    4   -1    1    0         NaN             NaN   -0.370884E+00
3    4    0    0    0         NaN             NaN   -0.370884E+00
3    4    0    1    0         NaN             NaN   -0.370884E+00
3    3   -1    0    0         NaN             NaN   -0.191568E-01
3    3    0   -1    0         NaN             NaN   -0.917419E-01
3    3    1    0    0         NaN             NaN   -0.191568E-01
3    3    0    1    0         NaN             NaN   -0.917419E-01
3    3   -1   -1    0         NaN             NaN    0.277829E+00
3    3   -1    1    0         NaN             NaN    0.277829E+00
3    3    1   -1    0         NaN             NaN    0.277829E+00
3    3    1    1    0         NaN             NaN    0.277829E+00
3    4   -2    0    0         NaN             NaN    0.987102E-01
3    4   -2    1    0         NaN             NaN    0.987102E-01
3    4   -1   -1    0         NaN             NaN    0.987102E-01
3    4   -1    2    0         NaN             NaN    0.987102E-01
3    4    0   -1    0         NaN             NaN    0.987102E-01
3    4    0    2    0         NaN             NaN    0.987102E-01
3    4    1    0    0         NaN             NaN    0.987102E-01
3    4    1    1    0         NaN             NaN    0.987102E-01
3    5    0    0    1         NaN             NaN   -0.399798E-01
3    5    0    0    0         NaN             NaN   -0.404831E-01
3    6   -1    0    1         NaN             NaN    0.137875E-01
3    6   -1    1    1         NaN             NaN    0.137875E-01
3    6    0    0    1         NaN             NaN    0.137875E-01
3    6    0    1    1         NaN             NaN    0.137875E-01
3    6   -1    0    0         NaN             NaN    0.243144E-03
3    6   -1    1    0         NaN             NaN    0.243144E-03
3    6    0    0    0         NaN             NaN    0.243144E-03
3    6    0    1    0         NaN             NaN    0.243144E-03
3    5   -1    0    1         NaN             NaN    0.414470E-02
3    5    0   -1    1         NaN             NaN    0.148046E-01
3    5    0    1    1         NaN             NaN    0.148046E-01
3    5    1    0    1         NaN             NaN    0.414470E-02
3    5   -1    0    0         NaN             NaN    0.192047E-02
3    5    0   -1    0         NaN             NaN    0.544564E-03
3    5    0    1    0         NaN             NaN    0.544564E-03
3    5    1    0    0         NaN             NaN    0.192047E-02
3    3   -2    0    0         NaN             NaN    0.519881E-01
3    3    0   -2    0         NaN             NaN    0.983322E-01
3    3    2    0    0         NaN             NaN    0.519881E-01
3    3    0    2    0         NaN             NaN    0.983322E-01
3    4   -2   -1    0         NaN             NaN   -0.659318E-02
3    4   -2    2    0         NaN             NaN   -0.659318E-02
3    4    1   -1    0         NaN             NaN   -0.659318E-02
3    4    1    2    0         NaN             NaN   -0.659318E-02
3    5   -1   -1    1         NaN             NaN    0.221983E-02
3    5   -1    1    1         NaN             NaN    0.221983E-02
3    5    1   -1    1         NaN             NaN    0.221983E-02
3    5    1    1    1         NaN             NaN    0.221983E-02
3    5   -1   -1    0         NaN             NaN    0.202813E-02
3    5   -1    1    0         NaN             NaN    0.202813E-02
3    5    1   -1    0         NaN             NaN    0.202813E-02
3    5    1    1    0         NaN             NaN    0.202813E-02
3    3   -2   -1    0         NaN             NaN   -0.193579E-01
3    3   -2    1    0         NaN             NaN   -0.193579E-01
3    3   -1   -2    0         NaN             NaN   -0.331500E-02
