i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
3;4;-1.0;0.0;0.5;0.0;-0.370884;-0.370884
3;4;-1.0;1.0;0.5;0.0;-0.370884;-0.370884
3;4;0.0;0.0;0.5;0.0;-0.370884;-0.370884
3;4;0.0;1.0;0.5;0.0;-0.370884;-0.370884
3;3;-1.0;0.0;0.0;0.0;-0.0191568;-0.0191568
3;3;0.0;-1.0;0.0;0.0;-0.0917419;-0.0917419
3;3;1.0;0.0;0.0;0.0;-0.0191568;-0.0191568
3;3;0.0;1.0;0.0;0.0;-0.0917419;-0.0917419
3;3;-1.0;-1.0;0.0;0.0;0.277829;0.277829
3;3;-1.0;1.0;0.0;0.0;0.277829;0.277829
3;3;1.0;-1.0;0.0;0.0;0.277829;0.277829
3;3;1.0;1.0;0.0;0.0;0.277829;0.277829
3;4;-2.0;0.0;0.5;0.0;0.0987102;0.0987102
3;4;-2.0;1.0;0.5;0.0;0.0987102;0.0987102
3;4;-1.0;-1.0;0.5;0.0;0.0987102;0.0987102
3;4;-1.0;2.0;0.5;0.0;0.0987102;0.0987102
3;4;0.0;-1.0;0.5;0.0;0.0987102;0.0987102
3;4;0.0;2.0;0.5;0.0;0.0987102;0.0987102
3;4;1.0;0.0;0.5;0.0;0.0987102;0.0987102
3;4;1.0;1.0;0.5;0.0;0.0987102;0.0987102
3;5;0.5;0.5;1.0;0.0;-0.0399798;-0.0399798
3;5;0.5;0.5;0.0;0.0;-0.0404831;-0.0404831
3;6;-0.5;0.5;1.5;0.0;0.0137875;0.0137875
3;6;-0.5;1.5;1.5;0.0;0.0137875;0.0137875
3;6;0.5;0.5;1.5;0.0;0.0137875;0.0137875
3;6;0.5;1.5;1.5;0.0;0.0137875;0.0137875
3;6;-0.5;0.5;0.5;0.0;0.000243144;0.000243144
3;6;-0.5;1.5;0.5;0.0;0.000243144;0.000243144
3;6;0.5;0.5;0.5;0.0;0.000243144;0.000243144
3;6;0.5;1.5;0.5;0.0;0.000243144;0.000243144
3;5;-0.5;0.5;1.0;0.0;0.0041447;0.0041447
3;5;0.5;-0.5;1.0;0.0;0.0148046;0.0148046
3;5;0.5;1.5;1.0;0.0;0.0148046;0.0148046
3;5;1.5;0.5;1.0;0.0;0.0041447;0.0041447
3;5;-0.5;0.5;0.0;0.0;0.00192047;0.00192047
3;5;0.5;-0.5;0.0;0.0;0.000544564;0.000544564
3;5;0.5;1.5;0.0;0.0;0.000544564;0.000544564
3;5;1.5;0.5;0.0;0.0;0.00192047;0.00192047
3;3;-2.0;0.0;0.0;0.0;0.0519881;0.0519881
3;3;0.0;-2.0;0.0;0.0;0.0983322;0.0983322
3;3;2.0;0.0;0.0;0.0;0.0519881;0.0519881
3;3;0.0;2.0;0.0;0.0;0.0983322;0.0983322
3;4;-2.0;-1.0;0.5;0.0;-0.00659318;-0.00659318
3;4;-2.0;2.0;0.5;0.0;-0.00659318;-0.00659318
3;4;1.0;-1.0;0.5;0.0;-0.00659318;-0.00659318
3;4;1.0;2.0;0.5;0.0;-0.00659318;-0.00659318
3;5;-0.5;-0.5;1.0;0.0;0.00221983;0.00221983
3;5;-0.5;1.5;1.0;0.0;0.00221983;0.00221983
3;5;1.5;-0.5;1.0;0.0;0.00221983;0.00221983
3;5;1.5;1.5;1.0;0.0;0.00221983;0.00221983
3;5;-0.5;-0.5;0.0;0.0;0.00202813;0.00202813
3;5;-0.5;1.5;0.0;0.0;0.00202813;0.00202813
3;5;1.5;-0.5;0.0;0.0;0.00202813;0.00202813
3;5;1.5;1.5;0.0;0.0;0.00202813;0.00202813
3;3;-2.0;-1.0;0.0;0.0;-0.0193579;-0.0193579
3;3;-2.0;1.0;0.0;0.0;-0.0193579;-0.0193579
3;3;-1.0;-2.0;0.0;0.0;-0.003315;-0.003315
3;3;1.0;-2.0;0.0;0.0;-0.003315;-0.003315
3;3;2.0;-1.0;0.0;0.0;-0.0193579;-0.0193579
3;3;2.0;1.0;0.0;0.0;-0.0193579;-0.0193579
3;3;-1.0;2.0;0.0;0.0;-0.003315;-0.003315
3;3;1.0;2.0;0.0;0.0;-0.003315;-0.003315
3;6;-1.5;0.5;1.5;0.0;0.000348358;0.000348358
3;6;-1.5;1.5;1.5;0.0;0.000348358;0.000348358
3;6;-0.5;-0.5;1.5;0.0;0.000348358;0.000348358
3;6;-0.5;2.5;1.5;0.0;0.000348358;0.000348358
3;6;0.5;-0.5;1.5;0.0;0.000348358;0.000348358
3;6;0.5;2.5;1.5;0.0;0.000348358;0.000348358
3;6;1.5;0.5;1.5;0.0;0.000348358;0.000348358
3;6;1.5;1.5;1.5;0.0;0.000348358;0.000348358
3;6;-1.5;0.5;0.5;0.0;-0.000268827;-0.000268827
3;6;-1.5;1.5;0.5;0.0;-0.000268827;-0.000268827
3;6;-0.5;-0.5;0.5;0.0;-0.000268827;-0.000268827
3;6;-0.5;2.5;0.5;0.0;-0.000268827;-0.000268827
3;6;0.5;-0.5;0.5;0.0;-0.000268827;-0.000268827
3;6;0.5;2.5;0.5;0.0;-0.000268827;-0.000268827
3;6;1.5;0.5;0.5;0.0;-0.000268827;-0.000268827
3;6;1.5;1.5;0.5;0.0;-0.000268827;-0.000268827
3;4;-3.0;0.0;0.5;0.0;-0.000306753;-0.000306753
3;4;-3.0;1.0;0.5;0.0;-0.000306753;-0.000306753
3;4;-1.0;-2.0;0.5;0.0;-0.000306756;-0.000306756
3;4;-1.0;3.0;0.5;0.0;-0.000306756;-0.000306756
3;4;0.0;-2.0;0.5;0.0;-0.000306756;-0.000306756
3;4;0.0;3.0;0.5;0.0;-0.000306756;-0.000306756
3;4;2.0;0.0;0.5;0.0;-0.000306753;-0.000306753
3;4;2.0;1.0;0.5;0.0;-0.000306753;-0.000306753
3;5;-1.5;0.5;1.0;0.0;0.000361883;0.000361883
3;5;0.5;-1.5;1.0;0.0;-0.000308834;-0.000308834
3;5;0.5;2.5;1.0;0.0;-0.000308834;-0.000308834
3;5;2.5;0.5;1.0;0.0;0.000361883;0.000361883
3;5;-1.5;0.5;0.0;0.0;0.00144739;0.00144739
3;5;0.5;-1.5;0.0;0.0;0.00201359;0.00201359
3;5;2.5;0.5;0.0;0.0;0.00144739;0.00144739
3;5;0.5;2.5;0.0;0.0;0.00201359;0.00201359
3;6;-1.5;-0.5;1.5;0.0;0.00231321;0.00231321
3;6;-1.5;2.5;1.5;0.0;0.00231321;0.00231321
3;6;1.5;-0.5;1.5;0.0;0.00231321;0.00231321
3;6;1.5;2.5;1.5;0.0;0.00231321;0.00231321
3;6;-1.5;-0.5;0.5;0.0;0.000696287;0.000696287
3;6;-1.5;2.5;0.5;0.0;0.000696287;0.000696287
3;6;1.5;-0.5;0.5;0.0;0.000696287;0.000696287
3;6;1.5;2.5;0.5;0.0;0.000696287;0.000696287
3;5;-1.5;-0.5;1.0;0.0;-0.00134615;-0.00134615
