i   j        dx     dy     dz         Jij            χ⁰↑            χ⁰↓            Xzz
3   4    -1.000  0.000  0.500    0.000000  -3.708840E-01  -3.708840E-01  -1.433373E-06
3   4    -1.000  1.000  0.500    0.000000  -3.708840E-01  -3.708840E-01   1.925353E-04
3   4     0.000  0.000  0.500    0.000000  -3.708840E-01  -3.708840E-01  -1.341730E-04
3   4     0.000  1.000  0.500    0.000000  -3.708840E-01  -3.708840E-01   1.120721E-04
3   3    -1.000  0.000  0.000    0.000000  -1.915680E-02  -1.915680E-02  -6.864513E-02
3   3     0.000 -1.000  0.000    0.000000  -9.174190E-02  -9.174190E-02  -1.525550E-02
3   3     1.000  0.000  0.000    0.000000  -1.915680E-02  -1.915680E-02  -7.485696E-02
3   3     0.000  1.000  0.000    0.000000  -9.174190E-02  -9.174190E-02  -1.396931E-02
3   3    -1.000 -1.000  0.000    0.000000   2.778290E-01   2.778290E-01   2.855995E-01
3   3    -1.000  1.000  0.000    0.000000   2.778290E-01   2.778290E-01   2.344248E-01
3   3     1.000 -1.000  0.000    0.000000   2.778290E-01   2.778290E-01   2.643139E-01
3   3     1.000  1.000  0.000    0.000000   2.778290E-01   2.778290E-01   2.871708E-01
3   4    -2.000  0.000  0.500    0.000000   9.871020E-02   9.871020E-02   4.413484E-05
3   4    -2.000  1.000  0.500    0.000000   9.871020E-02   9.871020E-02  -4.049813E-05
3   4    -1.000 -1.000  0.500    0.000000   9.871020E-02   9.871020E-02  -1.459567E-06
3   4    -1.000  2.000  0.500    0.000000   9.871020E-02   9.871020E-02  -8.215374E-06
3   4     0.000 -1.000  0.500    0.000000   9.871020E-02   9.871020E-02  -1.683926E-04
3   4     0.000  2.000  0.500    0.000000   9.871020E-02   9.871020E-02   6.337030E-05
3   4     1.000  0.000  0.500    0.000000   9.871020E-02   9.871020E-02  -1.763184E-04
3   4     1.000  1.000  0.500    0.000000   9.871020E-02   9.871020E-02   1.184427E-04
3   5     0.500  0.500  1.000    0.000000  -3.997980E-02  -3.997980E-02  -2.149420E-03
3   5     0.500  0.500  0.000    0.000000  -4.048310E-02  -4.048310E-02  -2.722324E-04
3   6    -0.500  0.500  1.500    0.000000   1.378750E-02   1.378750E-02   1.854737E-03
3   6    -0.500  1.500  1.500    0.000000   1.378750E-02   1.378750E-02  -1.799175E-03
3   6     0.500  0.500  1.500    0.000000   1.378750E-02   1.378750E-02   3.370084E-03
3   6     0.500  1.500  1.500    0.000000   1.378750E-02   1.378750E-02   4.977137E-04
3   6    -0.500  0.500  0.500    0.000000   2.431440E-04   2.431440E-04  -3.539223E-04
3   6    -0.500  1.500  0.500    0.000000   2.431440E-04   2.431440E-04   1.155000E-03
3   6     0.500  0.500  0.500    0.000000   2.431440E-04   2.431440E-04   2.071302E-03
3   6     0.500  1.500  0.500    0.000000   2.431440E-04   2.431440E-04   1.955183E-03
3   5    -0.500  0.500  1.000    0.000000   4.144700E-03   4.144700E-03  -6.658169E-05
3   5     0.500 -0.500  1.000    0.000000   1.480460E-02   1.480460E-02   3.810350E-03
3   5     0.500  1.500  1.000    0.000000   1.480460E-02   1.480460E-02  -1.624306E-04
3   5     1.500  0.500  1.000    0.000000   4.144700E-03   4.144700E-03  -2.282811E-04
3   5    -0.500  0.500  0.000    0.000000   1.920470E-03   1.920470E-03   5.570546E-04
3   5     0.500 -0.500  0.000    0.000000   5.445640E-04   5.445640E-04   7.590813E-04
3   5     0.500  1.500  0.000    0.000000   5.445640E-04   5.445640E-04   5.387819E-04
3   5     1.500  0.500  0.000    0.000000   1.920470E-03   1.920470E-03   4.163098E-04
3   3    -2.000  0.000  0.000    0.000000   5.198810E-02   5.198810E-02   9.535590E-02
3   3     0.000 -2.000  0.000    0.000000   9.833220E-02   9.833220E-02   4.929243E-02
3   3     2.000  0.000  0.000    0.000000   5.198810E-02   5.198810E-02   9.939835E-02
3   3     0.000  2.000  0.000    0.000000   9.833220E-02   9.833220E-02   4.878991E-02
3   4    -2.000 -1.000  0.500    0.000000  -6.593180E-03  -6.593180E-03   4.467621E-05
3   4    -2.000  2.000  0.500    0.000000  -6.593180E-03  -6.593180E-03  -5.612703E-05
3   4     1.000 -1.000  0.500    0.000000  -6.593180E-03  -6.593180E-03  -1.761249E-04
3   4     1.000  2.000  0.500    0.000000  -6.593180E-03  -6.593180E-03   6.646776E-05
3   5    -0.500 -0.500  1.000    0.000000   2.219830E-03   2.219830E-03  -4.716011E-04
3   5    -0.500  1.500  1.000    0.000000   2.219830E-03   2.219830E-03  -6.110642E-05
3   5     1.500 -0.500  1.000    0.000000   2.219830E-03   2.219830E-03  -1.802873E-01
3   5     1.500  1.500  1.000    0.000000   2.219830E-03   2.219830E-03  -2.329549E-04
3   5    -0.500 -0.500  0.000    0.000000   2.028130E-03   2.028130E-03  -2.817329E-04
3   5    -0.500  1.500  0.000    0.000000   2.028130E-03   2.028130E-03   2.478615E-03
3   5     1.500 -0.500  0.000    0.000000   2.028130E-03   2.028130E-03  -1.415651E-03
3   5     1.500  1.500  0.000    0.000000   2.028130E-03   2.028130E-03  -1.313376E-03
3   3    -2.000 -1.000  0.000    0.000000  -1.935790E-02  -1.935790E-02  -3.403258E-03
3   3    -2.000  1.000  0.000    0.000000  -1.935790E-02  -1.935790E-02  -3.522539E-03
3   3    -1.000 -2.000  0.000    0.000000  -3.315000E-03  -3.315000E-03  -1.852136E-02
3   3     1.000 -2.000  0.000    0.000000  -3.315000E-03  -3.315000E-03  -1.889085E-02
3   3     2.000 -1.000  0.000    0.000000  -1.935790E-02  -1.935790E-02  -3.462422E-03
3   3     2.000  1.000  0.000    0.000000  -1.935790E-02  -1.935790E-02  -3.419460E-03
3   3    -1.000  2.000  0.000    0.000000  -3.315000E-03  -3.315000E-03  -1.966343E-02
3   3     1.000  2.000  0.000    0.000000  -3.315000E-03  -3.315000E-03  -1.894628E-02
3   6    -1.500  0.500  1.500    0.000000   3.483580E-04   3.483580E-04   3.230867E-03
3   6    -1.500  1.500  1.500    0.000000   3.483580E-04   3.483580E-04   3.598497E-03
3   6    -0.500 -0.500  1.500    0.000000   3.483580E-04   3.483580E-04   1.228023E-02
3   6    -0.500  2.500  1.500    0.000000   3.483580E-04   3.483580E-04   1.353005E-03
3   6     0.500 -0.500  1.500    0.000000   3.483580E-04   3.483580E-04  -3.376775E-02
3   6     0.500  2.500  1.500    0.000000   3.483580E-04   3.483580E-04  -3.884054E-05
3   6     1.500  0.500  1.500    0.000000   3.483580E-04   3.483580E-04   2.983180E-03
3   6     1.500  1.500  1.500    0.000000   3.483580E-04   3.483580E-04  -1.631801E-03
3   6    -1.500  0.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   3.451538E-04
3   6    -1.500  1.500  0.500    0.000000  -2.688270E-04  -2.688270E-04  -3.991773E-04
3   6    -0.500 -0.500  0.500    0.000000  -2.688270E-04  -2.688270E-04  -4.889235E-05
3   6    -0.500  2.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   3.307437E-04
3   6     0.500 -0.500  0.500    0.000000  -2.688270E-04  -2.688270E-04  -4.920781E-05
3   6     0.500  2.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   9.898378E-05
3   6     1.500  0.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   2.774461E-03
3   6     1.500  1.500  0.500    0.000000  -2.688270E-04  -2.688270E-04   1.252670E-03
3   4    -3.000  0.000  0.500    0.000000  -3.067530E-04  -3.067530E-04   6.947905E-05
3   4    -3.000  1.000  0.500    0.000000  -3.067530E-04  -3.067530E-04  -3.111926E-04
3   4    -1.000 -2.000  0.500    0.000000  -3.067560E-04  -3.067560E-04   2.059002E-04
3   4    -1.000  3.000  0.500    0.000000  -3.067560E-04  -3.067560E-04  -2.407940E-04
3   4     0.000 -2.000  0.500    0.000000  -3.067560E-04  -3.067560E-04   1.134765E-04
3   4     0.000  3.000  0.500    0.000000  -3.067560E-04  -3.067560E-04   2.982838E-05
3   4     2.000  0.000  0.500    0.000000  -3.067530E-04  -3.067530E-04  -1.532144E-06
3   4     2.000  1.000  0.500    0.000000  -3.067530E-04  -3.067530E-04   2.139794E-04
3   5    -1.500  0.500  1.000    0.000000   3.618830E-04   3.618830E-04  -6.840462E-05
3   5     0.500 -1.500  1.000    0.000000  -3.088340E-04  -3.088340E-04  -7.978264E-02
3   5     0.500  2.500  1.000    0.000000  -3.088340E-04  -3.088340E-04  -7.180299E-04
3   5     2.500  0.500  1.000    0.000000   3.618830E-04   3.618830E-04  -1.768361E-03
3   5    -1.500  0.500  0.000    0.000000   1.447390E-03   1.447390E-03   2.484712E-03
3   5     0.500 -1.500  0.000    0.000000   2.013590E-03   2.013590E-03  -1.486978E-03
