i;j;j-coordinate;N_k;Xzz
3;4;(-1.0, 0.0, 0.5);376;-0.3948244292380958
3;4;(-1.0, 1.0, 0.5);362;-0.4181740900355351
3;4;(0.0, 0.0, 0.5);394;-0.30249831839223795
3;4;(0.0, 1.0, 0.5);386;-0.4084361984802724
3;3;(-1.0, 0.0, 0.0);403;-0.015357366550214448
3;3;(0.0, -1.0, 0.0);394;-0.07786000837360661
3;3;(1.0, 0.0, 0.0);404;-0.017166279434019507
3;3;(0.0, 1.0, 0.0);415;-0.08235030139512148
3;3;(-1.0, -1.0, 0.0);369;0.293447287157185
3;3;(-1.0, 1.0, 0.0);382;0.28423901370727367
3;3;(1.0, -1.0, 0.0);368;0.28506026202360246
3;3;(1.0, 1.0, 0.0);385;0.3272259323464326
3;4;(-2.0, 0.0, 0.5);323;0.11043057487071482
3;4;(-2.0, 1.0, 0.5);313;0.12598262111472544
3;4;(-1.0, -1.0, 0.5);345;0.11407968139580704
3;4;(-1.0, 2.0, 0.5);319;0.1337647510927597
3;4;(0.0, -1.0, 0.5);367;0.11168515400411252
3;4;(0.0, 2.0, 0.5);336;0.12858783498741963
3;4;(1.0, 0.0, 0.5);377;0.10984619404152612
3;4;(1.0, 1.0, 0.5);362;0.11755466655042635
3;5;(0.5, 0.5, 1.0);305;-0.06826875504354357
3;5;(0.5, 0.5, 0.0);425;-0.034531486377315866
3;6;(-0.5, 0.5, 1.5);187;0.0034362924560258183
3;6;(-0.5, 1.5, 1.5);174;0.003906420520568169
3;6;(0.5, 0.5, 1.5);187;0.0033148786532834025
3;6;(0.5, 1.5, 1.5);174;0.003924808891890855
3;6;(-0.5, 0.5, 0.5);396;0.0002432474800856419
3;6;(-0.5, 1.5, 0.5);358;0.00029153999800676653
3;6;(0.5, 0.5, 0.5);394;0.0002399427459613711
3;6;(0.5, 1.5, 0.5);357;0.0003034348467939185
3;5;(-0.5, 0.5, 1.0);306;0.006523259812324256
3;5;(0.5, -0.5, 1.0);299;0.02713848958513352
3;5;(0.5, 1.5, 1.0);290;0.023838926202328553
3;5;(1.5, 0.5, 1.0);284;0.007343969728209464
3;5;(-0.5, 0.5, 0.0);423;0.0016189367983696357
3;5;(0.5, -0.5, 0.0);414;0.00045937918902452796
3;5;(0.5, 1.5, 0.0);379;0.0005643785836611942
3;5;(1.5, 0.5, 0.0);371;0.0018895125675657193
3;3;(-2.0, 0.0, 0.0);341;0.0532003217700233
3;3;(0.0, -2.0, 0.0);328;0.10022162552531215
3;3;(2.0, 0.0, 0.0);339;0.05322158251788488
3;3;(0.0, 2.0, 0.0);352;0.10701847107775854
3;4;(-2.0, -1.0, 0.5);301;-0.009186244843965869
3;4;(-2.0, 2.0, 0.5);282;-0.011803196000926134
3;4;(1.0, -1.0, 0.5);344;-0.008518685584614058
3;4;(1.0, 2.0, 0.5);317;-0.010546761672596982
3;5;(-0.5, -0.5, 1.0);298;0.0037096417756463792
3;5;(-0.5, 1.5, 1.0);289;0.0033121992811833032
3;5;(1.5, -0.5, 1.0);280;0.004381605744679576
3;5;(1.5, 1.5, 1.0);263;0.0020894646892795944
3;5;(-0.5, -0.5, 0.0);414;0.0016143206965797672
3;5;(-0.5, 1.5, 0.0);378;0.001960324308614917
3;5;(1.5, -0.5, 0.0);361;0.0020338311941947686
3;5;(1.5, 1.5, 0.0);334;0.002309724289617917
3;3;(-2.0, -1.0, 0.0);318;-0.019462520429802073
3;3;(-2.0, 1.0, 0.0);329;-0.020418267100471562
3;3;(-1.0, -2.0, 0.0);312;-0.00335498076277997
3;3;(1.0, -2.0, 0.0);312;-0.00377091736290313
3;3;(2.0, -1.0, 0.0);317;-0.021006344092449208
3;3;(2.0, 1.0, 0.0);328;-0.020506353628336815
3;3;(-1.0, 2.0, 0.0);335;-0.003851322762780437
3;3;(1.0, 2.0, 0.0);335;-0.0037323229845468587
3;6;(-1.5, 0.5, 1.5);172;9.961506397870803e-05
3;6;(-1.5, 1.5, 1.5);159;9.763849545561153e-05
3;6;(-0.5, -0.5, 1.5);183;8.759888536786146e-05
3;6;(-0.5, 2.5, 1.5);146;8.05258153569791e-05
3;6;(0.5, -0.5, 1.5);183;8.784001780057869e-05
3;6;(0.5, 2.5, 1.5);146;7.357636317433456e-05
3;6;(1.5, 0.5, 1.5);171;0.00010075954038773222
3;6;(1.5, 1.5, 1.5);159;8.747774213969021e-05
3;6;(-1.5, 0.5, 0.5);351;-0.0003081586606466684
3;6;(-1.5, 1.5, 0.5);325;-0.00035444128793310525
3;6;(-0.5, -0.5, 0.5);380;-0.00026495393389580846
3;6;(-0.5, 2.5, 0.5);304;-0.00036710845098546934
3;6;(0.5, -0.5, 0.5);381;-0.0002724501889511181
3;6;(0.5, 2.5, 0.5);306;-0.0003645108813685489
3;6;(1.5, 0.5, 0.5);348;-0.0003735029446033668
3;6;(1.5, 1.5, 0.5);325;-0.0003936519949810087
3;4;(-3.0, 0.0, 0.5);265;-0.0003533863893862281
3;4;(-3.0, 1.0, 0.5);257;-0.00036165478474553206
3;4;(-1.0, -2.0, 0.5);295;-0.0004134477048273892
3;4;(-1.0, 3.0, 0.5);265;-0.0002893948298647188
3;4;(0.0, -2.0, 0.5);310;-0.00038963623993822706
3;4;(0.0, 3.0, 0.5);277;-0.00027651767435895214
3;4;(2.0, 0.0, 0.5);321;-0.0003708198633604982
3;4;(2.0, 1.0, 0.5);311;-0.00042699128769033005
3;5;(-1.5, 0.5, 1.0);280;0.0005831786487620851
3;5;(0.5, -1.5, 1.0);273;-0.0005146728040612692
3;5;(0.5, 2.5, 1.0);246;-0.0001596099170663899
3;5;(2.5, 0.5, 1.0);240;0.00020854074297247952
3;5;(-1.5, 0.5, 0.0);372;0.0013578145850125078
3;5;(0.5, -1.5, 0.0);356;0.0020330103799588877
3;5;(2.5, 0.5, 0.0);305;0.0016510261720899288
3;5;(0.5, 2.5, 0.0);316;0.0023117521827259522
3;6;(-1.5, -0.5, 1.5);170;0.000663317257743649
3;6;(-1.5, 2.5, 1.5);134;0.0004548430687485204
3;6;(1.5, -0.5, 1.5);168;0.0005932816906733886
3;6;(1.5, 2.5, 1.5);134;0.00037213751445982286
3;6;(-1.5, -0.5, 0.5);341;0.0008215893855621297
3;6;(-1.5, 2.5, 0.5);281;0.0007054177938662081
3;6;(1.5, -0.5, 0.5);342;0.0009010965676530538
3;6;(1.5, 2.5, 0.5);281;0.0007248955581535766
3;5;(-1.5, -0.5, 1.0);276;-0.0024442066691242373
3;5;(-1.5, 1.5, 1.0);260;-0.0011975272106469583
3;5;(-0.5, -1.5, 1.0);272;0.0038267163423741477
3;5;(-0.5, 2.5, 1.0);245;0.0012636381427440784
3;5;(1.5, -1.5, 1.0);252;0.0023188009512718666
3;5;(1.5, 2.5, 1.0);229;0.0014562219593410581
3;5;(2.5, -0.5, 1.0);237;-0.0006268324570415101
3;5;(2.5, 1.5, 1.0);226;-0.0005504629291798578
3;5;(-1.5, -0.5, 0.0);363;0.0013341837435409264
3;5;(-1.5, 1.5, 0.0);335;0.0015149937931309577
3;5;(-0.5, -1.5, 0.0);356;0.00039756937922171026
3;5;(-0.5, 2.5, 0.0);316;0.0004579845684749345
3;5;(1.5, -1.5, 0.0);318;0.0004504691554604595
3;5;(1.5, 2.5, 0.0);290;0.0005266510028230788
3;5;(2.5, -0.5, 0.0);300;0.0010420145005576604
3;5;(2.5, 1.5, 0.0);285;0.0012424023894152588
3;3;(-2.0, -2.0, 0.0);274;0.012090532719683297
3;3;(-2.0, 2.0, 0.0);292;0.01338344614735351
3;3;(2.0, -2.0, 0.0);273;0.006760983911788051
3;3;(2.0, 2.0, 0.0);291;0.014659765261309436
3;4;(-3.0, -1.0, 0.5);248;0.008246994388089037
3;4;(-3.0, 2.0, 0.5);233;0.003186199265160054
3;4;(-2.0, -2.0, 0.5);262;0.01205914909462689
3;4;(-2.0, 3.0, 0.5);237;0.003205501027129677
3;4;(1.0, -2.0, 0.5);295;0.010548117472974372
3;4;(1.0, 3.0, 0.5);264;0.0072909002055287254
3;4;(2.0, -1.0, 0.5);301;0.010615285199778317
3;4;(2.0, 2.0, 0.5);281;0.013770366741633577
3;3;(-3.0, 0.0, 0.0);279;-0.0009002334520326993
3;3;(0.0, -3.0, 0.0);265;-0.005401488125492242
3;3;(0.0, 3.0, 0.0);290;-0.0102839279619572
3;3;(3.0, 0.0, 0.0);276;-0.0005599481085968183
3;6;(-2.5, 0.5, 1.5);144;0.0001114580138734903
3;6;(-2.5, 1.5, 1.5);133;9.802236388078572e-05
3;6;(-0.5, -1.5, 1.5);166;0.00014294967306312383
3;6;(-0.5, 3.5, 1.5);116;7.945606184034848e-05
3;6;(0.5, -1.5, 1.5);165;0.0001276612231087696
3;6;(0.5, 3.5, 1.5);116;0.00011121334419657984
3;6;(2.5, 0.5, 1.5);143;8.306959299590864e-05
3;6;(2.5, 1.5, 1.5);133;0.00011430854941312756
3;6;(-2.5, 0.5, 0.5);296;0.00047067128495831723
3;6;(-2.5, 1.5, 0.5);277;0.0004189167853063094
3;6;(-0.5, -1.5, 0.5);334;0.00045884804010222713
3;6;(-0.5, 3.5, 0.5);245;0.00016242682061176319
3;6;(0.5, -1.5, 0.5);337;0.0004420480568206418
3;6;(0.5, 3.5, 0.5);245;0.00016961954181058663
3;6;(2.5, 0.5, 0.5);295;0.0004153338494717417
3;6;(2.5, 1.5, 0.5);275;0.0004642911351174715
3;3;(-3.0, -1.0, 0.0);261;-0.00350234474810202
3;3;(-3.0, 1.0, 0.0);270;-0.002966346639567587
3;3;(-1.0, -3.0, 0.0);250;-0.0028118497961049293
3;3;(-1.0, 3.0, 0.0);277;-0.004213015266479871
3;3;(1.0, -3.0, 0.0);252;-0.002206833858703055
3;3;(1.0, 3.0, 0.0);277;-0.0045393387310178005
3;3;(3.0, -1.0, 0.0);261;-0.0015716977727404707
3;3;(3.0, 1.0, 0.0);268;-0.0019402015700052426
3;5;(-1.5, -1.5, 1.0);248;0.002669242120854515
3;5;(-1.5, 2.5, 1.0);226;0.0017082003363952216
3;5;(2.5, -1.5, 1.0);216;0.0009340964018768968
3;5;(2.5, 2.5, 1.0);197;0.0005926437662400278
3;5;(-1.5, -1.5, 0.0);317;-0.0009665303242448951
3;5;(-1.5, 2.5, 0.0);288;-0.0011306075642326312
3;5;(2.5, -1.5, 0.0);271;-0.0004646480886936816
3;5;(2.5, 2.5, 0.0);248;-0.0003606121934625144
3;3;(0.0, 0.0, -1.0);187;-0.0014520982983706392
3;3;(0.0, 0.0, 1.0);310;0.002252680085899459
3;6;(-2.5, -0.5, 1.5);142;-0.00018024948076900718
3;6;(-2.5, 2.5, 1.5);115;-0.00014454883115631024
3;6;(-1.5, -1.5, 1.5);153;-0.00022311506437782877
3;6;(-1.5, 3.5, 1.5);108;-0.00020190008307259338
3;6;(1.5, -1.5, 1.5);151;-0.00017468243129440495
3;6;(1.5, 3.5, 1.5);108;-0.0002710540097025667
3;6;(2.5, -0.5, 1.5);140;-0.00021174246859186093
3;6;(2.5, 2.5, 1.5);115;-0.0002789892452199378
3;6;(-2.5, -0.5, 0.5);291;-0.001307156031868083
3;6;(-2.5, 2.5, 0.5);243;-0.00048133766295149684
3;6;(-1.5, -1.5, 0.5);309;-0.0014307955106424828
3;6;(-1.5, 3.5, 0.5);225;-0.0005277461370937868
3;6;(1.5, -1.5, 0.5);309;-0.0014763881862607316
3;6;(1.5, 3.5, 0.5);225;-0.00044762466120069905
3;6;(2.5, -0.5, 0.5);289;-0.0014582491442619442
3;6;(2.5, 2.5, 0.5);241;-0.0004194358089067342
3;4;(-1.0, 0.0, -0.5);303;-0.00017324865607868832
3;4;(-1.0, 0.0, 1.5);185;-3.704573725872025e-05
3;4;(-1.0, 1.0, -0.5);294;-0.00018282496135489141
3;4;(-1.0, 1.0, 1.5);178;-4.968132457201722e-05
3;4;(0.0, 0.0, -0.5);318;-0.00012624263719762216
3;4;(0.0, 0.0, 1.5);187;-3.6320847743056314e-05
3;4;(0.0, 1.0, -0.5);313;-0.0001616520549979777
3;4;(0.0, 1.0, 1.5);188;-3.366369284832382e-05
3;5;(-2.5, 0.5, 1.0);236;-3.9227773253762814e-05
3;5;(0.5, -2.5, 1.0);228;0.0012025525721534164
3;5;(0.5, 3.5, 1.0);199;0.0008493999626133307
3;5;(3.5, 0.5, 1.0);193;-1.5156856688457297e-05
3;5;(-2.5, 0.5, 0.0);308;0.00022224021380230606
3;5;(0.5, -2.5, 0.0);292;9.609012528772942e-05
3;5;(0.5, 3.5, 0.0);253;7.986961086001461e-05
3;5;(3.5, 0.5, 0.0);241;8.916613066123726e-05
3;3;(-1.0, 0.0, -1.0);184;4.2298717000016916e-05
3;3;(-1.0, 0.0, 1.0);293;-3.9179453169154e-05
3;3;(0.0, -1.0, -1.0);181;0.00015017053818741505
3;3;(0.0, -1.0, 1.0);286;-0.0006835301700731398
3;3;(0.0, 1.0, -1.0);187;0.0005935967007396608
3;3;(0.0, 1.0, 1.0);305;-0.0005711458021957197
3;3;(1.0, 0.0, -1.0);184;1.0458914755255636e-05
3;3;(1.0, 0.0, 1.0);294;-4.6321406583123695e-05
3;4;(-4.0, 0.0, 0.5);203;-0.0012062432375183289
3;4;(-4.0, 1.0, 0.5);198;-0.0010887259573741377
3;4;(-3.0, -2.0, 0.5);218;-0.002496715007213251
3;4;(-3.0, 3.0, 0.5);194;-0.0030611420243943153
3;4;(-1.0, -3.0, 0.5);239;-0.0025626496165285064
3;4;(-1.0, 4.0, 0.5);207;-0.0011865265557259694
3;4;(0.0, -3.0, 0.5);251;-0.002691371001324953
3;4;(0.0, 4.0, 0.5);217;-0.0012976133279755072
3;4;(2.0, -2.0, 0.5);263;-0.009673430788632193
3;4;(2.0, 3.0, 0.5);237;-0.0026636140699013893
3;4;(3.0, 0.0, 0.5);263;-0.003474335815120174
3;4;(3.0, 1.0, 0.5);256;-0.0035634927969582816
3;5;(-2.5, -0.5, 1.0);234;0.0013830110947401471
3;5;(-2.5, 1.5, 1.0);223;0.0011826021030785117
3;5;(-0.5, -2.5, 1.0);228;-0.00037694198799616713
3;5;(-0.5, 3.5, 1.0);199;-0.00024968380919474485
3;5;(1.5, -2.5, 1.0);213;-0.00025227448453221814
3;5;(1.5, 3.5, 1.0);187;-0.00019097095911788672
3;5;(3.5, -0.5, 1.0);190;0.0008769144441964961
3;5;(3.5, 1.5, 1.0);183;0.001009602828289985
3;5;(-2.5, -0.5, 0.0);301;0.00016098493603821913
3;5;(-2.5, 1.5, 0.0);285;0.00020367362072942316
3;5;(-0.5, -2.5, 0.0);290;-0.0017074061055836298
3;5;(-0.5, 3.5, 0.0);252;-0.0013421348810481108
3;5;(1.5, -2.5, 0.0);268;-0.0007955922767622527
3;5;(1.5, 3.5, 0.0);234;-0.00047096313683046734
3;5;(3.5, -0.5, 0.0);238;0.00023398227891478868
3;5;(3.5, 1.5, 0.0);227;9.343691724425962e-05
3;3;(-1.0, -1.0, -1.0);177;0.0001471804981967959
3;3;(-1.0, -1.0, 1.0);278;-0.0006038401583003135
3;3;(-1.0, 1.0, -1.0);184;0.0005997109619950288
3;3;(-1.0, 1.0, 1.0);290;-0.0005324749371365099
3;3;(1.0, -1.0, -1.0);177;0.00017476321957671467
3;3;(1.0, -1.0, 1.0);281;-0.0006162396710760841
3;3;(1.0, 1.0, -1.0);184;0.00014548357117865672
3;3;(1.0, 1.0, 1.0);292;-0.0006215539473381311
3;3;(-3.0, -2.0, 0.0);226;-0.0003242639547699564
3;3;(-3.0, 2.0, 0.0);240;-0.0006802507009176409
3;3;(-2.0, -3.0, 0.0);221;0.0001266269400207742
3;3;(-2.0, 3.0, 0.0);244;0.00024091248798127824
3;3;(2.0, -3.0, 0.0);220;0.00025590740730887916
3;3;(2.0, 3.0, 0.0);243;0.00014858901093537874
3;3;(3.0, -2.0, 0.0);226;-0.000520160841640548
3;3;(3.0, 2.0, 0.0);240;-0.00026929756675344294
3;4;(-2.0, 0.0, -0.5);263;0.00011510350676707787
3;4;(-2.0, 0.0, 1.5);158;-3.3304572502750447e-07
