i    j    dx   dy   dz        Jij             χ⁰↑             χ⁰↓
3    4   -1    0    0         NaN             NaN   -0.343377E+00
3    4   -1    1    0         NaN             NaN   -0.343377E+00
3    4    0    0    0         NaN             NaN   -0.343377E+00
3    4    0    1    0         NaN             NaN   -0.343377E+00
3    3   -1    0    0         NaN             NaN    0.485082E-01
3    3    0   -1    0         NaN             NaN   -0.113654E+00
3    3    1    0    0         NaN             NaN    0.485082E-01
3    3    0    1    0         NaN             NaN   -0.113654E+00
3    3   -1   -1    0         NaN             NaN    0.354290E+00
3    3   -1    1    0         NaN             NaN    0.354290E+00
3    3    1   -1    0         NaN             NaN    0.354290E+00
3    3    1    1    0         NaN             NaN    0.354290E+00
3    4   -2    0    0         NaN             NaN    0.110501E+00
3    4   -2    1    0         NaN             NaN    0.110501E+00
3    4   -1   -1    0         NaN             NaN    0.110501E+00
3    4   -1    2    0         NaN             NaN    0.110501E+00
3    4    0   -1    0         NaN             NaN    0.110501E+00
3    4    0    2    0         NaN             NaN    0.110501E+00
3    4    1    0    0         NaN             NaN    0.110501E+00
3    4    1    1    0         NaN             NaN    0.110501E+00
3    5    0    0    1         NaN             NaN   -0.441177E-01
3    5    0    0    0         NaN             NaN   -0.290396E-01
3    6   -1    0    1         NaN             NaN    0.124515E-01
3    6   -1    1    1         NaN             NaN    0.124515E-01
3    6    0    0    1         NaN             NaN    0.124515E-01
3    6    0    1    1         NaN             NaN    0.124515E-01
3    6   -1    0    0         NaN             NaN    0.634129E-03
3    6   -1    1    0         NaN             NaN    0.634129E-03
3    6    0    0    0         NaN             NaN    0.634129E-03
3    6    0    1    0         NaN             NaN    0.634129E-03
3    5   -1    0    1         NaN             NaN    0.966114E-02
3    5    0   -1    1         NaN             NaN    0.127044E-01
3    5    0    1    1         NaN             NaN    0.127044E-01
3    5    1    0    1         NaN             NaN    0.966114E-02
3    5   -1    0    0         NaN             NaN    0.358474E-02
3    5    0   -1    0         NaN             NaN    0.940021E-03
3    5    0    1    0         NaN             NaN    0.940021E-03
3    5    1    0    0         NaN             NaN    0.358474E-02
3    3   -2    0    0         NaN             NaN    0.434634E-01
3    3    0   -2    0         NaN             NaN    0.896927E-01
3    3    2    0    0         NaN             NaN    0.434634E-01
3    3    0    2    0         NaN             NaN    0.896927E-01
3    4   -2   -1    0         NaN             NaN   -0.330022E-01
3    4   -2    2    0         NaN             NaN   -0.330022E-01
3    4    1   -1    0         NaN             NaN   -0.330022E-01
3    4    1    2    0         NaN             NaN   -0.330022E-01
3    5   -1   -1    1         NaN             NaN    0.212553E-02
3    5   -1    1    1         NaN             NaN    0.212553E-02
3    5    1   -1    1         NaN             NaN    0.212553E-02
3    5    1    1    1         NaN             NaN    0.212553E-02
3    5   -1   -1    0         NaN             NaN    0.309885E-02
3    5   -1    1    0         NaN             NaN    0.309885E-02
3    5    1   -1    0         NaN             NaN    0.309885E-02
3    5    1    1    0         NaN             NaN    0.309885E-02
3    3   -2   -1    0         NaN             NaN   -0.108173E+00
3    3   -2    1    0         NaN             NaN   -0.108173E+00
3    3   -1   -2    0         NaN             NaN   -0.840115E-01
3    3    1   -2    0         NaN             NaN   -0.840115E-01
3    3    2   -1    0         NaN             NaN   -0.108173E+00
3    3    2    1    0         NaN             NaN   -0.108173E+00
3    3   -1    2    0         NaN             NaN   -0.840115E-01
3    3    1    2    0         NaN             NaN   -0.840115E-01
3    6   -2    0    1         NaN             NaN   -0.703863E-03
3    6   -2    1    1         NaN             NaN   -0.703863E-03
3    6   -1   -1    1         NaN             NaN   -0.703863E-03
3    6   -1    2    1         NaN             NaN   -0.703863E-03
3    6    0   -1    1         NaN             NaN   -0.703863E-03
3    6    0    2    1         NaN             NaN   -0.703863E-03
3    6    1    0    1         NaN             NaN   -0.703863E-03
3    6    1    1    1         NaN             NaN   -0.703863E-03
3    6   -2    0    0         NaN             NaN   -0.380853E-03
3    6   -2    1    0         NaN             NaN   -0.380853E-03
3    6   -1   -1    0         NaN             NaN   -0.380853E-03
3    6   -1    2    0         NaN             NaN   -0.380853E-03
3    6    0   -1    0         NaN             NaN   -0.380853E-03
3    6    0    2    0         NaN             NaN   -0.380853E-03
3    6    1    0    0         NaN             NaN   -0.380853E-03
3    6    1    1    0         NaN             NaN   -0.380853E-03
3    4   -3    0    0         NaN             NaN   -0.216982E-01
3    4   -3    1    0         NaN             NaN   -0.216982E-01
3    4   -1   -2    0         NaN             NaN   -0.216983E-01
3    4   -1    3    0         NaN             NaN   -0.216983E-01
3    4    0   -2    0         NaN             NaN   -0.216983E-01
3    4    0    3    0         NaN             NaN   -0.216983E-01
3    4    2    0    0         NaN             NaN   -0.216982E-01
3    4    2    1    0         NaN             NaN   -0.216982E-01
3    5   -2    0    1         NaN             NaN   -0.152907E-02
3    5    0   -2    1         NaN             NaN    0.987882E-04
3    5    0    2    1         NaN             NaN    0.987882E-04
3    5    2    0    1         NaN             NaN   -0.152907E-02
3    5   -2    0    0         NaN             NaN    0.175906E-02
3    5    0   -2    0         NaN             NaN    0.326009E-02
3    5    2    0    0         NaN             NaN    0.175906E-02
3    5    0    2    0         NaN             NaN    0.326009E-02
3    6   -2   -1    1         NaN             NaN    0.334714E-02
3    6   -2    2    1         NaN             NaN    0.334714E-02
3    6    1   -1    1         NaN             NaN    0.334714E-02
3    6    1    2    1         NaN             NaN    0.334714E-02
3    6   -2   -1    0         NaN             NaN   -0.510113E-03
3    6   -2    2    0         NaN             NaN   -0.510113E-03
3    6    1   -1    0         NaN             NaN   -0.510113E-03
3    6    1    2    0         NaN             NaN   -0.510113E-03
3    5   -2   -1    1         NaN             NaN   -0.111922E-02
3    5   -2    1    1         NaN             NaN   -0.111922E-02
3    5   -1   -2    1         NaN             NaN    0.234943E-02
3    5   -1    2    1         NaN             NaN    0.234943E-02
3    5    1   -2    1         NaN             NaN    0.234943E-02
3    5    1    2    1         NaN             NaN    0.234943E-02
3    5    2   -1    1         NaN             NaN   -0.111922E-02
3    5    2    1    1         NaN             NaN   -0.111922E-02
3    5   -2   -1    0         NaN             NaN    0.495810E-03
3    5   -2    1    0         NaN             NaN    0.495810E-03
3    5   -1   -2    0         NaN             NaN   -0.193298E-02
3    5   -1    2    0         NaN             NaN   -0.193298E-02
3    5    1   -2    0         NaN             NaN   -0.193298E-02
3    5    1    2    0         NaN             NaN   -0.193298E-02
3    5    2   -1    0         NaN             NaN    0.495810E-03
3    5    2    1    0         NaN             NaN    0.495810E-03
3    3   -2   -2    0         NaN             NaN    0.613560E-02
3    3   -2    2    0         NaN             NaN    0.613560E-02
3    3    2   -2    0         NaN             NaN    0.613560E-02
3    3    2    2    0         NaN             NaN    0.613560E-02
3    4   -3   -1    0         NaN             NaN    0.921022E-02
3    4   -3    2    0         NaN             NaN    0.921022E-02
3    4   -2   -2    0         NaN             NaN    0.921023E-02
3    4   -2    3    0         NaN             NaN    0.921023E-02
3    4    1   -2    0         NaN             NaN    0.921023E-02
3    4    1    3    0         NaN             NaN    0.921023E-02
3    4    2   -1    0         NaN             NaN    0.921022E-02
3    4    2    2    0         NaN             NaN    0.921022E-02
3    3   -3    0    0         NaN             NaN   -0.493136E-01
3    3    0   -3    0         NaN             NaN   -0.714520E-01
3    3    0    3    0         NaN             NaN   -0.714520E-01
3    3    3    0    0         NaN             NaN   -0.493136E-01
3    6   -3    0    1         NaN             NaN    0.164091E-02
3    6   -3    1    1         NaN             NaN    0.164091E-02
3    6   -1   -2    1         NaN             NaN    0.164091E-02
3    6   -1    3    1         NaN             NaN    0.164091E-02
3    6    0   -2    1         NaN             NaN    0.164091E-02
3    6    0    3    1         NaN             NaN    0.164091E-02
3    6    2    0    1         NaN             NaN    0.164091E-02
3    6    2    1    1         NaN             NaN    0.164091E-02
