i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
3;4;-1.0;0.0;0.5;0.0;-0.343377;-0.343377
3;4;-1.0;1.0;0.5;0.0;-0.343377;-0.343377
3;4;0.0;0.0;0.5;0.0;-0.343377;-0.343377
3;4;0.0;1.0;0.5;0.0;-0.343377;-0.343377
3;3;-1.0;0.0;0.0;0.0;0.0485082;0.0485082
3;3;0.0;-1.0;0.0;0.0;-0.113654;-0.113654
3;3;1.0;0.0;0.0;0.0;0.0485082;0.0485082
3;3;0.0;1.0;0.0;0.0;-0.113654;-0.113654
3;3;-1.0;-1.0;0.0;0.0;0.35429;0.35429
3;3;-1.0;1.0;0.0;0.0;0.35429;0.35429
3;3;1.0;-1.0;0.0;0.0;0.35429;0.35429
3;3;1.0;1.0;0.0;0.0;0.35429;0.35429
3;4;-2.0;0.0;0.5;0.0;0.110501;0.110501
3;4;-2.0;1.0;0.5;0.0;0.110501;0.110501
3;4;-1.0;-1.0;0.5;0.0;0.110501;0.110501
3;4;-1.0;2.0;0.5;0.0;0.110501;0.110501
3;4;0.0;-1.0;0.5;0.0;0.110501;0.110501
3;4;0.0;2.0;0.5;0.0;0.110501;0.110501
3;4;1.0;0.0;0.5;0.0;0.110501;0.110501
3;4;1.0;1.0;0.5;0.0;0.110501;0.110501
3;5;0.5;0.5;1.0;0.0;-0.0441177;-0.0441177
3;5;0.5;0.5;0.0;0.0;-0.0290396;-0.0290396
3;6;-0.5;0.5;1.5;0.0;0.0124515;0.0124515
3;6;-0.5;1.5;1.5;0.0;0.0124515;0.0124515
3;6;0.5;0.5;1.5;0.0;0.0124515;0.0124515
3;6;0.5;1.5;1.5;0.0;0.0124515;0.0124515
3;6;-0.5;0.5;0.5;0.0;0.000634129;0.000634129
3;6;-0.5;1.5;0.5;0.0;0.000634129;0.000634129
3;6;0.5;0.5;0.5;0.0;0.000634129;0.000634129
3;6;0.5;1.5;0.5;0.0;0.000634129;0.000634129
3;5;-0.5;0.5;1.0;0.0;0.00966114;0.00966114
3;5;0.5;-0.5;1.0;0.0;0.0127044;0.0127044
3;5;0.5;1.5;1.0;0.0;0.0127044;0.0127044
3;5;1.5;0.5;1.0;0.0;0.00966114;0.00966114
