i   j        dx     dy     dz         Jij            χ⁰↑            χ⁰↓            Xzz
3   4    -1.000  0.000  0.500    0.000000  -3.433770E-01  -3.433770E-01  -3.746454E-06
3   4    -1.000  1.000  0.500    0.000000  -3.433770E-01  -3.433770E-01   4.590163E-05
3   4     0.000  0.000  0.500    0.000000  -3.433770E-01  -3.433770E-01  -3.748071E-05
3   4     0.000  1.000  0.500    0.000000  -3.433770E-01  -3.433770E-01   8.570309E-05
3   3    -1.000  0.000  0.000    0.000000   4.850820E-02   4.850820E-02  -3.843467E-02
3   3     0.000 -1.000  0.000    0.000000  -1.136540E-01  -1.136540E-01   1.611412E-02
3   3     1.000  0.000  0.000    0.000000   4.850820E-02   4.850820E-02  -3.857776E-02
3   3     0.000  1.000  0.000    0.000000  -1.136540E-01  -1.136540E-01   1.573003E-02
3   3    -1.000 -1.000  0.000    0.000000   3.542900E-01   3.542900E-01   1.149160E-01
3   3    -1.000  1.000  0.000    0.000000   3.542900E-01   3.542900E-01   1.061769E-01
3   3     1.000 -1.000  0.000    0.000000   3.542900E-01   3.542900E-01   1.075485E-01
3   3     1.000  1.000  0.000    0.000000   3.542900E-01   3.542900E-01   1.133099E-01
3   4    -2.000  0.000  0.500    0.000000   1.105010E-01   1.105010E-01  -1.567043E-05
3   4    -2.000  1.000  0.500    0.000000   1.105010E-01   1.105010E-01  -7.301904E-06
3   4    -1.000 -1.000  0.500    0.000000   1.105010E-01   1.105010E-01  -3.993480E-06
3   4    -1.000  2.000  0.500    0.000000   1.105010E-01   1.105010E-01  -6.304402E-06
3   4     0.000 -1.000  0.500    0.000000   1.105010E-01   1.105010E-01  -3.356913E-05
3   4     0.000  2.000  0.500    0.000000   1.105010E-01   1.105010E-01   3.807618E-05
3   4     1.000  0.000  0.500    0.000000   1.105010E-01   1.105010E-01  -3.475073E-05
3   4     1.000  1.000  0.500    0.000000   1.105010E-01   1.105010E-01   9.553624E-05
3   5     0.500  0.500  1.000    0.000000  -4.411770E-02  -4.411770E-02  -4.163348E-04
3   5     0.500  0.500  0.000    0.000000  -2.903960E-02  -2.903960E-02  -1.393277E-04
3   6    -0.500  0.500  1.500    0.000000   1.245150E-02   1.245150E-02   3.069030E-03
3   6    -0.500  1.500  1.500    0.000000   1.245150E-02   1.245150E-02  -2.170766E-03
3   6     0.500  0.500  1.500    0.000000   1.245150E-02   1.245150E-02   1.355441E-02
3   6     0.500  1.500  1.500    0.000000   1.245150E-02   1.245150E-02  -2.979743E-03
