i;j;j-coordinate;N_k;Xzz
3;4;(-1.0, 0.0, 0.5);376;-0.10611418903942625
3;4;(-1.0, 1.0, 0.5);362;-0.11456535859286063
3;4;(0.0, 0.0, 0.5);394;-0.1219648651096373
3;4;(0.0, 1.0, 0.5);386;-0.1101189868010101
3;3;(-1.0, 0.0, 0.0);403;0.015930887129335023
3;3;(0.0, -1.0, 0.0);394;-0.04022279253070483
3;3;(1.0, 0.0, 0.0);404;0.01697192023063782
3;3;(0.0, 1.0, 0.0);415;-0.03937661493843515
3;3;(-1.0, -1.0, 0.0);369;0.1131894243671362
3;3;(-1.0, 1.0, 0.0);382;0.10878434568430259
3;3;(1.0, -1.0, 0.0);368;0.11339460513304275
3;3;(1.0, 1.0, 0.0);385;0.11603664768429207
3;4;(-2.0, 0.0, 0.5);323;0.04170187207296274
3;4;(-2.0, 1.0, 0.5);313;0.03935761847238326
3;4;(-1.0, -1.0, 0.5);345;0.037950521664718684
3;4;(-1.0, 2.0, 0.5);319;0.04103574387535532
3;4;(0.0, -1.0, 0.5);367;0.036423218447302
3;4;(0.0, 2.0, 0.5);336;0.04495284033153247
3;4;(1.0, 0.0, 0.5);377;0.03520512893583219
3;4;(1.0, 1.0, 0.5);362;0.03794629867925943
3;5;(0.5, 0.5, 1.0);305;-0.01430781081065815
3;5;(0.5, 0.5, 0.0);425;-0.00995381534866543
3;6;(-0.5, 0.5, 1.5);187;0.0032299855336895334
3;6;(-0.5, 1.5, 1.5);174;0.003068230437976051
3;6;(0.5, 0.5, 1.5);187;0.003114201436676075
3;6;(0.5, 1.5, 1.5);174;0.003280309043844735
3;6;(-0.5, 0.5, 0.5);396;0.00020992389010716909
3;6;(-0.5, 1.5, 0.5);358;0.00021395108220604813
3;6;(0.5, 0.5, 0.5);394;0.00020750962158306606
3;6;(0.5, 1.5, 0.5);357;0.00022044104770152753
3;5;(-0.5, 0.5, 1.0);306;0.003060366948704127
3;5;(0.5, -0.5, 1.0);299;0.004257318912189786
3;5;(0.5, 1.5, 1.0);290;0.005881854150332012
