i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
1;1;-1.0;-1.0;-1.0;0.803823;-0.00870175;-0.000620515
1;1;-1.0;0.0;0.0;0.803823;-0.00870175;-0.000620515
1;1;0.0;-1.0;0.0;0.803823;-0.00870175;-0.000620515
1;1;0.0;0.0;-1.0;0.803823;-0.00870175;-0.000620515
1;1;0.0;0.0;1.0;0.803823;-0.00870175;-0.000620515
1;1;0.0;1.0;0.0;0.803823;-0.00870175;-0.000620515
1;1;1.0;0.0;0.0;0.803823;-0.00870175;-0.000620515
1;1;1.0;1.0;1.0;0.803823;-0.00870175;-0.000620515
1;1;-1.0;-1.0;0.0;0.575587;-0.0537775;-0.0149016
1;1;-1.0;0.0;-1.0;0.575587;-0.0537775;-0.0149016
1;1;0.0;-1.0;-1.0;0.575587;-0.0537775;-0.0149016
1;1;0.0;1.0;1.0;0.575587;-0.0537775;-0.0149016
1;1;1.0;0.0;1.0;0.575587;-0.0537775;-0.0149016
1;1;1.0;1.0;0.0;0.575587;-0.0537775;-0.0149016
1;1;-2.0;-1.0;-1.0;-0.015219;0.00416255;0.00069119
1;1;-1.0;-2.0;-1.0;-0.015219;0.00416255;0.00069119
1;1;1.0;2.0;1.0;-0.015219;0.00416255;0.00069119
1;1;2.0;1.0;1.0;-0.015219;0.00416255;0.00069119
1;1;-1.0;-1.0;-2.0;-0.015219;0.00416255;0.00069119
1;1;-1.0;0.0;1.0;-0.015219;0.00416255;0.00069119
1;1;-1.0;1.0;0.0;-0.015219;0.00416255;0.00069119
1;1;0.0;-1.0;1.0;-0.015219;0.00416255;0.00069119
1;1;0.0;1.0;-1.0;-0.015219;0.00416255;0.00069119
1;1;1.0;-1.0;0.0;-0.015219;0.00416255;0.00069119
1;1;1.0;0.0;-1.0;-0.015219;0.00416255;0.00069119
1;1;1.0;1.0;2.0;-0.015219;0.00416255;0.00069119
1;1;-2.0;-2.0;-1.0;-0.105579;-0.0046333;-0.00100755
1;1;-2.0;-1.0;-2.0;-0.105579;-0.0046333;-0.00100755
1;1;-2.0;-1.0;0.0;-0.105579;-0.0046333;-0.00100755
1;1;-2.0;0.0;-1.0;-0.105579;-0.0046333;-0.00100755
1;1;-1.0;-2.0;-2.0;-0.105579;-0.0046333;-0.00100755
1;1;-1.0;-2.0;0.0;-0.105579;-0.0046333;-0.00100755
1;1;-1.0;-1.0;1.0;-0.105579;-0.0046333;-0.00100755
1;1;-1.0;0.0;-2.0;-0.105579;-0.0046333;-0.00100755
1;1;-1.0;1.0;-1.0;-0.105579;-0.0046333;-0.00100755
1;1;-1.0;1.0;1.0;-0.105579;-0.0046333;-0.00100755
1;1;0.0;-2.0;-1.0;-0.105579;-0.0046333;-0.00100755
1;1;0.0;-1.0;-2.0;-0.105579;-0.0046333;-0.00100755
1;1;0.0;1.0;2.0;-0.105579;-0.0046333;-0.00100755
1;1;0.0;2.0;1.0;-0.105579;-0.0046333;-0.00100755
1;1;1.0;-1.0;-1.0;-0.105579;-0.0046333;-0.00100755
1;1;1.0;-1.0;1.0;-0.105579;-0.0046333;-0.00100755
1;1;1.0;0.0;2.0;-0.105579;-0.0046333;-0.00100755
1;1;1.0;1.0;-1.0;-0.105579;-0.0046333;-0.00100755
1;1;1.0;2.0;0.0;-0.105579;-0.0046333;-0.00100755
1;1;1.0;2.0;2.0;-0.105579;-0.0046333;-0.00100755
1;1;2.0;0.0;1.0;-0.105579;-0.0046333;-0.00100755
1;1;2.0;1.0;0.0;-0.105579;-0.0046333;-0.00100755
1;1;2.0;1.0;2.0;-0.105579;-0.0046333;-0.00100755
1;1;2.0;2.0;1.0;-0.105579;-0.0046333;-0.00100755
1;1;-2.0;-2.0;-2.0;-0.031006;5.80174e-05;-0.00266302
1;1;-2.0;0.0;0.0;-0.031006;5.80174e-05;-0.00266302
1;1;0.0;-2.0;0.0;-0.031006;5.80174e-05;-0.00266302
1;1;0.0;0.0;-2.0;-0.031006;5.80174e-05;-0.00266302
1;1;0.0;0.0;2.0;-0.031006;5.80174e-05;-0.00266302
1;1;0.0;2.0;0.0;-0.031006;5.80174e-05;-0.00266302
1;1;2.0;0.0;0.0;-0.031006;5.80174e-05;-0.00266302
1;1;2.0;2.0;2.0;-0.031006;5.80174e-05;-0.00266302
