j-coordinate,Xzz
"(-1.0, -1.0, -1.0)",0.011208971953709998
"(-1.0, 0.0, 0.0)",0.009831632282905615
"(0.0, -1.0, 0.0)",0.009831632282905631
"(0.0, 0.0, -1.0)",0.009831632282905628
"(0.0, 0.0, 1.0)",0.009831632282905636
"(0.0, 1.0, 0.0)",0.009831632282905631
"(1.0, 0.0, 0.0)",0.009831632282905636
"(1.0, 1.0, 1.0)",0.011208971953710003
"(-1.0, -1.0, 0.0)",0.05187747080296009
"(-1.0, 0.0, -1.0)",0.05187747080296009
"(0.0, -1.0, -1.0)",0.05187747080296004
"(0.0, 1.0, 1.0)",0.05187747080296006
"(1.0, 0.0, 1.0)",0.05187747080296007
"(1.0, 1.0, 0.0)",0.05187747080296007
"(-2.0, -1.0, -1.0)",-0.004737878856028915
"(-1.0, -2.0, -1.0)",-0.004737878856028915
"(1.0, 2.0, 1.0)",-0.004737878856028922
"(2.0, 1.0, 1.0)",-0.004737878856028918
"(-1.0, -1.0, -2.0)",-0.00473787885602892
"(-1.0, 0.0, 1.0)",-0.005614120172434681
"(-1.0, 1.0, 0.0)",-0.005614120172434678
"(0.0, -1.0, 1.0)",-0.005614120172434678
"(0.0, 1.0, -1.0)",-0.005614120172434676
"(1.0, -1.0, 0.0)",-0.005614120172434679
"(1.0, 0.0, -1.0)",-0.005614120172434676
"(1.0, 1.0, 2.0)",-0.0047378788560289205
"(-2.0, -2.0, -1.0)",0.005166442020720274
"(-2.0, -1.0, -2.0)",0.005166442020720279
"(-2.0, -1.0, 0.0)",0.006968591136115794
"(-2.0, 0.0, -1.0)",0.006968591136115794
"(-1.0, -2.0, -2.0)",0.005166442020720279
"(-1.0, -2.0, 0.0)",0.006968591136115798
"(-1.0, -1.0, 1.0)",0.006721350318938786
"(-1.0, 0.0, -2.0)",0.006968591136115798
"(-1.0, 1.0, -1.0)",0.006721350318938786
"(-1.0, 1.0, 1.0)",0.00672135031893879
"(0.0, -2.0, -1.0)",0.006968591136115794
"(0.0, -1.0, -2.0)",0.0069685911361157945
"(0.0, 1.0, 2.0)",0.0069685911361158075
"(0.0, 2.0, 1.0)",0.0069685911361158075
"(1.0, -1.0, -1.0)",0.006721350318938776
"(1.0, -1.0, 1.0)",0.006721350318938783
"(1.0, 0.0, 2.0)",0.006968591136115802
"(1.0, 1.0, -1.0)",0.006721350318938779
"(1.0, 2.0, 0.0)",0.006968591136115802
"(1.0, 2.0, 2.0)",0.005166442020720286
"(2.0, 0.0, 1.0)",0.0069685911361157945
"(2.0, 1.0, 0.0)",0.006968591136115799
"(2.0, 1.0, 2.0)",0.005166442020720282
"(2.0, 2.0, 1.0)",0.005166442020720287
"(-2.0, -2.0, -2.0)",0.0009264465370344961
"(-2.0, 0.0, 0.0)",0.0010019743959033868
"(0.0, -2.0, 0.0)",0.0010019743959033883
"(0.0, 0.0, -2.0)",0.0010019743959033883
"(0.0, 0.0, 2.0)",0.0010019743959033876
"(0.0, 2.0, 0.0)",0.0010019743959033879
"(2.0, 0.0, 0.0)",0.0010019743959033898
"(2.0, 2.0, 2.0)",0.0009264465370344971
"(-2.0, -2.0, 0.0)",0.016997383172691817
"(-2.0, 0.0, -2.0)",0.01699738317269181
"(0.0, -2.0, -2.0)",0.016997383172691834
"(0.0, 2.0, 2.0)",0.016997383172691834
"(2.0, 0.0, 2.0)",0.016997383172691827
"(2.0, 2.0, 0.0)",0.016997383172691827
"(-3.0, -2.0, -2.0)",-0.0007119119733871289
"(-3.0, -1.0, -1.0)",-0.00197119235254612
"(-2.0, -2.0, -3.0)",-0.0007119119733871291
"(-2.0, 0.0, 1.0)",-0.003144914559897404
"(-2.0, 1.0, 0.0)",-0.0031449145598974014
"(-1.0, -3.0, -1.0)",-0.00197119235254612
"(-1.0, -1.0, -3.0)",-0.001971192352546121
"(-1.0, 0.0, 2.0)",-0.003144914559897406
"(-1.0, 2.0, 0.0)",-0.003144914559897404
"(0.0, -2.0, 1.0)",-0.0031449145598973936
"(0.0, -1.0, 2.0)",-0.003144914559897399
"(0.0, 1.0, -2.0)",-0.003144914559897396
"(0.0, 2.0, -1.0)",-0.003144914559897399
"(1.0, -2.0, 0.0)",-0.0031449145598973884
"(1.0, 0.0, -2.0)",-0.003144914559897391
"(1.0, 1.0, 3.0)",-0.001971192352546125
"(1.0, 3.0, 1.0)",-0.0019711923525461226
"(2.0, -1.0, 0.0)",-0.003144914559897391
"(2.0, 0.0, -1.0)",-0.003144914559897391
"(2.0, 2.0, 3.0)",-0.000711911973387128
"(3.0, 1.0, 1.0)",-0.0019711923525461226
"(3.0, 2.0, 2.0)",-0.0007119119733871282
"(-2.0, -3.0, -2.0)",-0.0007119119733871291
"(2.0, 3.0, 2.0)",-0.0007119119733871282
"(-3.0, -2.0, -1.0)",0.0005489483278548327
"(-3.0, -1.0, -2.0)",0.0005489483278548331
"(-2.0, -3.0, -1.0)",0.0005489483278548325
"(-2.0, -1.0, -3.0)",0.000548948327854833
"(-2.0, -1.0, 1.0)",0.0011849222872156989
"(-2.0, 1.0, -1.0)",0.0011849222872156989
"(-1.0, -3.0, -2.0)",0.0005489483278548336
"(-1.0, -2.0, -3.0)",0.0005489483278548334
"(-1.0, -2.0, 1.0)",0.0011849222872157006
"(-1.0, 1.0, -2.0)",0.0011849222872157012
"(-1.0, 1.0, 2.0)",0.0011849222872157006
"(-1.0, 2.0, 1.0)",0.0011849222872157012
"(1.0, -2.0, -1.0)",0.0011849222872156967
"(1.0, -1.0, -2.0)",0.0011849222872156982
"(1.0, -1.0, 2.0)",0.0011849222872156973
"(1.0, 2.0, -1.0)",0.0011849222872156982
"(1.0, 2.0, 3.0)",0.000548948327854833
"(1.0, 3.0, 2.0)",0.000548948327854833
"(2.0, -1.0, 1.0)",0.0011849222872156982
"(2.0, 1.0, -1.0)",0.0011849222872156982
"(2.0, 1.0, 3.0)",0.000548948327854833
"(2.0, 3.0, 1.0)",0.0005489483278548327
"(3.0, 1.0, 2.0)",0.0005489483278548327
"(3.0, 2.0, 1.0)",0.0005489483278548327
"(-3.0, -3.0, -2.0)",0.00041298393490157034
"(-3.0, -1.0, 0.0)",0.0013207862797054157
"(-3.0, 0.0, -1.0)",0.0013207862797054157
"(-2.0, 1.0, 1.0)",0.0018318609225830315
"(-1.0, 2.0, -1.0)",0.0018318609225830315
"(0.0, -3.0, -1.0)",0.001320786279705414
"(0.0, 3.0, 1.0)",0.0013207862797054177
"(1.0, -2.0, 1.0)",0.0018318609225830259
"(2.0, -1.0, -1.0)",0.0018318609225830272
"(3.0, 0.0, 1.0)",0.0013207862797054149
"(3.0, 1.0, 0.0)",0.001320786279705414
"(3.0, 3.0, 2.0)",0.00041298393490157
"(-3.0, -2.0, -3.0)",0.00041298393490157045
"(-1.0, -3.0, 0.0)",0.0013207862797054155
"(-1.0, -1.0, 2.0)",0.0018318609225830315
"(-1.0, 0.0, -3.0)",0.0013207862797054162
"(0.0, -1.0, -3.0)",0.0013207862797054155
"(0.0, 1.0, 3.0)",0.001320786279705417
"(1.0, 0.0, 3.0)",0.0013207862797054162
"(1.0, 1.0, -2.0)",0.0018318609225830287
"(1.0, 3.0, 0.0)",0.0013207862797054162
"(3.0, 2.0, 3.0)",0.00041298393490157
"(-2.0, -3.0, -3.0)",0.00041298393490157034
"(2.0, 3.0, 3.0)",0.00041298393490157013
"(-3.0, -3.0, -1.0)",-0.0001953489358169929
"(3.0, 3.0, 1.0)",-0.00019534893581699266
"(-3.0, -3.0, -3.0)",-0.0014711987750048515
"(-3.0, -2.0, 0.0)",-0.0006347990427155254
"(-3.0, -1.0, -3.0)",-0.00019534893581699296
"(-3.0, 0.0, -2.0)",-0.0006347990427155254
"(-3.0, 0.0, 0.0)",-0.004814315010273699
"(-2.0, 1.0, -2.0)",-0.0008323553239442661
"(-1.0, 2.0, 2.0)",-0.0008323553239442664
"(0.0, -3.0, -2.0)",-0.0006347990427155253
"(0.0, -3.0, 0.0)",-0.004814315010273685
"(0.0, 0.0, -3.0)",-0.004814315010273689
"(0.0, 0.0, 3.0)",-0.004814315010273701
"(0.0, 3.0, 0.0)",-0.004814315010273701
"(0.0, 3.0, 2.0)",-0.0006347990427155257
"(1.0, -2.0, -2.0)",-0.0008323553239442652
"(2.0, -1.0, 2.0)",-0.0008323553239442652
"(3.0, 0.0, 0.0)",-0.0048143150102736825
"(3.0, 0.0, 2.0)",-0.0006347990427155251
"(3.0, 1.0, 3.0)",-0.0001953489358169926
"(3.0, 2.0, 0.0)",-0.0006347990427155245
"(3.0, 3.0, 3.0)",-0.0014711987750048502
"(-2.0, -3.0, 0.0)",-0.000634799042715525
"(-2.0, -2.0, 1.0)",-0.0008323553239442661
"(-2.0, 0.0, -3.0)",-0.0006347990427155253
"(-1.0, -3.0, -3.0)",-0.00019534893581699296
"(0.0, -2.0, -3.0)",-0.0006347990427155253
"(0.0, 2.0, 3.0)",-0.0006347990427155259
"(1.0, 3.0, 3.0)",-0.0001953489358169926
"(2.0, 0.0, 3.0)",-0.0006347990427155259
"(2.0, 2.0, -1.0)",-0.0008323553239442652
"(2.0, 3.0, 0.0)",-0.0006347990427155251
"(-4.0, -2.0, -2.0)",-0.0008128173828853759
"(-2.0, -4.0, -2.0)",-0.0008128173828853758
"(2.0, 4.0, 2.0)",-0.0008128173828853755
"(4.0, 2.0, 2.0)",-0.0008128173828853753
"(-2.0, -2.0, -4.0)",-0.0008128173828853759
"(-2.0, 0.0, 2.0)",-0.00401412294147298
"(-2.0, 2.0, 0.0)",-0.00401412294147298
"(0.0, -2.0, 2.0)",-0.004014122941472969
"(0.0, 2.0, -2.0)",-0.004014122941472969
"(2.0, -2.0, 0.0)",-0.004014122941472955
"(2.0, 0.0, -2.0)",-0.004014122941472959
"(2.0, 2.0, 4.0)",-0.0008128173828853753
"(-4.0, -3.0, -2.0)",-0.00012119981924351239
"(-4.0, -2.0, -1.0)",-0.00011833433864105958
"(-3.0, -2.0, -4.0)",-0.00012119981924351241
"(-2.0, -4.0, -1.0)",-0.00011833433864105966
"(-2.0, -1.0, 2.0)",-0.000989766503489591
"(-2.0, 1.0, 2.0)",-0.000989766503489593
"(-1.0, -2.0, 2.0)",-0.000989766503489591
"(-1.0, 2.0, -2.0)",-0.000989766503489592
"(1.0, -2.0, 2.0)",-0.0009897665034895899
"(1.0, 2.0, -2.0)",-0.0009897665034895907
"(2.0, -1.0, -2.0)",-0.0009897665034895899
"(2.0, 1.0, -2.0)",-0.0009897665034895907
"(2.0, 4.0, 1.0)",-0.00011833433864105953
"(3.0, 2.0, 4.0)",-0.0001211998192435122
"(4.0, 2.0, 1.0)",-0.00011833433864105953
"(4.0, 3.0, 2.0)",-0.00012119981924351225
"(-4.0, -2.0, -3.0)",-0.00012119981924351239
"(-4.0, -1.0, -2.0)",-0.00011833433864105963
"(-3.0, -4.0, -2.0)",-0.00012119981924351241
"(-3.0, -1.0, 1.0)",-0.000689252733216676
"(-3.0, 1.0, -1.0)",-0.0006892527332166759
"(-2.0, -4.0, -3.0)",-0.00012119981924351252
"(-2.0, -3.0, -4.0)",-0.00012119981924351247
"(-2.0, -1.0, -4.0)",-0.00011833433864105972
"(-2.0, 2.0, -1.0)",-0.000989766503489592
"(-2.0, 2.0, 1.0)",-0.000989766503489593
"(-1.0, -4.0, -2.0)",-0.00011833433864105972
"(-1.0, -3.0, 1.0)",-0.0006892527332166736
"(-1.0, -2.0, -4.0)",-0.00011833433864105972
"(-1.0, 1.0, -3.0)",-0.0006892527332166747
"(-1.0, 1.0, 3.0)",-0.0006892527332166757
"(-1.0, 3.0, 1.0)",-0.0006892527332166753
"(1.0, -3.0, -1.0)",-0.0006892527332166729
"(1.0, -1.0, -3.0)",-0.000689252733216674
"(1.0, -1.0, 3.0)",-0.0006892527332166752
"(1.0, 2.0, 4.0)",-0.00011833433864105939
"(1.0, 3.0, -1.0)",-0.0006892527332166751
"(1.0, 4.0, 2.0)",-0.00011833433864105944
"(2.0, -2.0, -1.0)",-0.000989766503489588
"(2.0, -2.0, 1.0)",-0.0009897665034895899
"(2.0, 1.0, 4.0)",-0.00011833433864105939
"(2.0, 3.0, 4.0)",-0.0001211998192435122
"(2.0, 4.0, 3.0)",-0.0001211998192435122
"(3.0, -1.0, 1.0)",-0.0006892527332166729
"(3.0, 1.0, -1.0)",-0.000689252733216674
"(3.0, 4.0, 2.0)",-0.00012119981924351225
"(4.0, 1.0, 2.0)",-0.00011833433864105947
"(4.0, 2.0, 3.0)",-0.0001211998192435122
"(-4.0, -1.0, -1.0)",0.0002363892796996572
"(-3.0, -4.0, -3.0)",0.0001671836810432111
"(-3.0, -3.0, -4.0)",0.00016718368104321114
"(-3.0, -3.0, 0.0)",-0.001012429752476168
"(-3.0, 0.0, -3.0)",-0.0010124297524761682
"(-3.0, 0.0, 1.0)",0.0007013611532976614
"(-3.0, 1.0, 0.0)",0.0007013611532976607
"(-1.0, -4.0, -1.0)",0.00023638927969965739
"(0.0, -3.0, -3.0)",-0.0010124297524761686
"(0.0, -3.0, 1.0)",0.0007013611532976591
"(0.0, 3.0, -1.0)",0.00070136115329766
"(0.0, 3.0, 3.0)",-0.001012429752476167
"(1.0, 4.0, 1.0)",0.0002363892796996574
"(3.0, -1.0, 0.0)",0.0007013611532976585
"(3.0, 0.0, -1.0)",0.0007013611532976585
"(3.0, 0.0, 3.0)",-0.0010124297524761673
"(3.0, 3.0, 0.0)",-0.0010124297524761678
"(3.0, 3.0, 4.0)",0.00016718368104321098
"(3.0, 4.0, 3.0)",0.00016718368104321098
"(4.0, 1.0, 1.0)",0.00023638927969965725
"(-4.0, -3.0, -3.0)",0.00016718368104321109
"(-1.0, -1.0, -4.0)",0.00023638927969965739
"(-1.0, 0.0, 3.0)",0.000701361153297661
"(-1.0, 3.0, 0.0)",0.000701361153297661
"(0.0, -1.0, 3.0)",0.000701361153297661
"(0.0, 1.0, -3.0)",0.0007013611532976596
"(1.0, -3.0, 0.0)",0.0007013611532976573
"(1.0, 0.0, -3.0)",0.0007013611532976585
"(1.0, 1.0, 4.0)",0.00023638927969965736
"(4.0, 3.0, 3.0)",0.000167183681043211
"(-4.0, -3.0, -1.0)",7.688068826816204e-05
"(-4.0, -1.0, -3.0)",7.688068826816204e-05
"(-3.0, -4.0, -1.0)",7.688068826816204e-05
"(-3.0, -2.0, 1.0)",0.00017478978956209605
"(-3.0, -1.0, -4.0)",7.688068826816204e-05
"(-3.0, 1.0, -2.0)",0.00017478978956209605
"(-2.0, 1.0, -3.0)",0.00017478978956209594
"(-1.0, -4.0, -3.0)",7.688068826816204e-05
"(-1.0, -3.0, -4.0)",7.688068826816204e-05
"(-1.0, 2.0, 3.0)",0.00017478978956209622
"(-1.0, 3.0, 2.0)",0.00017478978956209613
"(1.0, -3.0, -2.0)",0.00017478978956209594
"(1.0, -2.0, -3.0)",0.00017478978956209594
"(1.0, 3.0, 4.0)",7.688068826816193e-05
"(1.0, 4.0, 3.0)",7.688068826816196e-05
"(2.0, -1.0, 3.0)",0.0001747897895620961
"(3.0, -1.0, 2.0)",0.00017478978956209603
"(3.0, 1.0, 4.0)",7.688068826816193e-05
"(3.0, 2.0, -1.0)",0.00017478978956209578
"(3.0, 4.0, 1.0)",7.688068826816196e-05
"(4.0, 1.0, 3.0)",7.688068826816193e-05
"(4.0, 3.0, 1.0)",7.688068826816196e-05
"(-2.0, -3.0, 1.0)",0.0001747897895620959
"(2.0, 3.0, -1.0)",0.00017478978956209586
"(-4.0, -4.0, -3.0)",-0.00039731840139528124
"(-4.0, -3.0, -4.0)",-0.00039731840139528124
"(-4.0, -1.0, 0.0)",-0.0008818836785780831
"(-4.0, 0.0, -1.0)",-0.0008818836785780833
"(-3.0, -4.0, -4.0)",-0.00039731840139528124
"(-3.0, 1.0, 1.0)",-0.002370425281258251
"(-1.0, -4.0, 0.0)",-0.0008818836785780831
"(-1.0, -1.0, 3.0)",-0.002370425281258248
"(-1.0, 0.0, -4.0)",-0.0008818836785780829
"(-1.0, 3.0, -1.0)",-0.002370425281258248
"(0.0, -4.0, -1.0)",-0.0008818836785780831
"(0.0, -1.0, -4.0)",-0.0008818836785780833
"(0.0, 1.0, 4.0)",-0.0008818836785780827
"(0.0, 4.0, 1.0)",-0.000881883678578083
"(1.0, -3.0, 1.0)",-0.0023704252812582448
"(1.0, 0.0, 4.0)",-0.0008818836785780837
"(1.0, 1.0, -3.0)",-0.002370425281258248
"(1.0, 4.0, 0.0)",-0.0008818836785780835
"(3.0, -1.0, -1.0)",-0.0023704252812582417
"(3.0, 4.0, 4.0)",-0.00039731840139528124
"(4.0, 0.0, 1.0)",-0.0008818836785780828
"(4.0, 1.0, 0.0)",-0.0008818836785780826
"(4.0, 3.0, 4.0)",-0.00039731840139528124
"(4.0, 4.0, 3.0)",-0.00039731840139528124
"(-4.0, -4.0, -2.0)",-2.8024269188399227e-05
"(-4.0, -2.0, -4.0)",-2.8024269188399227e-05
"(-4.0, -2.0, 0.0)",-4.245063948671378e-05
"(-4.0, 0.0, -2.0)",-4.2450639486713774e-05
"(-2.0, -4.0, -4.0)",-2.8024269188399227e-05
"(-2.0, -4.0, 0.0)",-4.245063948671378e-05
"(-2.0, -2.0, 2.0)",-0.00018399664277519268
"(-2.0, 0.0, -4.0)",-4.245063948671379e-05
"(-2.0, 2.0, -2.0)",-0.00018399664277519282
"(-2.0, 2.0, 2.0)",-0.00018399664277519312
"(0.0, -4.0, -2.0)",-4.245063948671378e-05
"(0.0, -2.0, -4.0)",-4.245063948671379e-05
"(0.0, 2.0, 4.0)",-4.245063948671375e-05
"(0.0, 4.0, 2.0)",-4.245063948671376e-05
"(2.0, -2.0, -2.0)",-0.00018399664277519222
"(2.0, -2.0, 2.0)",-0.00018399664277519252
"(2.0, 0.0, 4.0)",-4.245063948671375e-05
