i    j    dx   dy   dz        Jij             χ⁰↑             χ⁰↓
1    1   -1    0    0   -0.000000   -0.466113E-03   -0.466113E-03
1    1   -1    0    1   -0.000000   -0.466113E-03   -0.466113E-03
1    1   -1    1    0   -0.000000   -0.466113E-03   -0.466113E-03
1    1    0   -1    0   -0.000000   -0.466113E-03   -0.466113E-03
1    1    0   -1    1   -0.000000   -0.466113E-03   -0.466113E-03
1    1    0    0   -1   -0.000000   -0.466113E-03   -0.466113E-03
1    1    0    0    1   -0.000000   -0.466113E-03   -0.466113E-03
1    1    0    1   -1   -0.000000   -0.466113E-03   -0.466113E-03
1    1    0    1    0   -0.000000   -0.466113E-03   -0.466113E-03
1    1    1   -1    0   -0.000000   -0.466113E-03   -0.466113E-03
1    1    1    0   -1   -0.000000   -0.466113E-03   -0.466113E-03
1    1    1    0    0   -0.000000   -0.466113E-03   -0.466113E-03
1    1   -1   -1    1    0.000000    0.365074E-04    0.365074E-04
1    1   -1    1   -1    0.000000    0.365074E-04    0.365074E-04
1    1   -1    1    1    0.000000    0.365074E-04    0.365074E-04
1    1    1   -1   -1    0.000000    0.365074E-04    0.365074E-04
1    1    1   -1    1    0.000000    0.365074E-04    0.365074E-04
1    1    1    1   -1    0.000000    0.365074E-04    0.365074E-04
1    1   -2    0    1   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -2    1    0   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -2    1    1   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -1   -1    0   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -1   -1    2   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -1    0   -1   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -1    0    2   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -1    2   -1   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -1    2    0   -0.000000   -0.562227E-04   -0.562227E-04
1    1    0   -2    1   -0.000000   -0.562227E-04   -0.562227E-04
1    1    0   -1   -1   -0.000000   -0.562227E-04   -0.562227E-04
1    1    0   -1    2   -0.000000   -0.562227E-04   -0.562227E-04
1    1    0    1   -2   -0.000000   -0.562227E-04   -0.562227E-04
1    1    0    1    1   -0.000000   -0.562227E-04   -0.562227E-04
1    1    0    2   -1   -0.000000   -0.562227E-04   -0.562227E-04
1    1    1   -2    0   -0.000000   -0.562227E-04   -0.562227E-04
1    1    1   -2    1   -0.000000   -0.562227E-04   -0.562227E-04
1    1    1    0   -2   -0.000000   -0.562227E-04   -0.562227E-04
1    1    1    0    1   -0.000000   -0.562227E-04   -0.562227E-04
1    1    1    1   -2   -0.000000   -0.562227E-04   -0.562227E-04
1    1    1    1    0   -0.000000   -0.562227E-04   -0.562227E-04
1    1    2   -1   -1   -0.000000   -0.562227E-04   -0.562227E-04
1    1    2   -1    0   -0.000000   -0.562227E-04   -0.562227E-04
1    1    2    0   -1   -0.000000   -0.562227E-04   -0.562227E-04
1    1   -2    0    0   -0.000000   -0.861437E-05   -0.861437E-05
1    1   -2    0    2   -0.000000   -0.861437E-05   -0.861437E-05
1    1   -2    2    0   -0.000000   -0.861437E-05   -0.861437E-05
1    1    0   -2    0   -0.000000   -0.861437E-05   -0.861437E-05
1    1    0   -2    2   -0.000000   -0.861437E-05   -0.861437E-05
1    1    0    0   -2   -0.000000   -0.861437E-05   -0.861437E-05
1    1    0    0    2   -0.000000   -0.861437E-05   -0.861437E-05
1    1    0    2   -2   -0.000000   -0.861437E-05   -0.861437E-05
1    1    0    2    0   -0.000000   -0.861437E-05   -0.861437E-05
1    1    2   -2    0   -0.000000   -0.861437E-05   -0.861437E-05
1    1    2    0   -2   -0.000000   -0.861437E-05   -0.861437E-05
1    1    2    0    0   -0.000000   -0.861437E-05   -0.861437E-05
1    1   -2   -1    1    0.000000    0.150860E-04    0.150860E-04
1    1   -2   -1    2    0.000000    0.150860E-04    0.150860E-04
1    1   -2    1   -1    0.000000    0.150860E-04    0.150860E-04
1    1   -2    1    2    0.000000    0.150860E-04    0.150860E-04
1    1   -2    2   -1    0.000000    0.150860E-04    0.150860E-04
1    1   -2    2    1    0.000000    0.150860E-04    0.150860E-04
1    1   -1   -2    1    0.000000    0.150860E-04    0.150860E-04
1    1   -1   -2    2    0.000000    0.150860E-04    0.150860E-04
1    1   -1    1   -2    0.000000    0.150860E-04    0.150860E-04
1    1   -1    1    2    0.000000    0.150860E-04    0.150860E-04
1    1   -1    2   -2    0.000000    0.150860E-04    0.150860E-04
1    1   -1    2    1    0.000000    0.150860E-04    0.150860E-04
1    1    1   -2   -1    0.000000    0.150860E-04    0.150860E-04
1    1    1   -2    2    0.000000    0.150860E-04    0.150860E-04
1    1    1   -1   -2    0.000000    0.150860E-04    0.150860E-04
1    1    1   -1    2    0.000000    0.150860E-04    0.150860E-04
1    1    1    2   -2    0.000000    0.150860E-04    0.150860E-04
1    1    1    2   -1    0.000000    0.150860E-04    0.150860E-04
1    1    2   -2   -1    0.000000    0.150860E-04    0.150860E-04
1    1    2   -2    1    0.000000    0.150860E-04    0.150860E-04
1    1    2   -1   -2    0.000000    0.150860E-04    0.150860E-04
1    1    2   -1    1    0.000000    0.150860E-04    0.150860E-04
1    1    2    1   -2    0.000000    0.150860E-04    0.150860E-04
1    1    2    1   -1    0.000000    0.150860E-04    0.150860E-04
1    1   -3    1    1    0.000000    0.391949E-04    0.391949E-04
1    1   -1   -1   -1    0.000000    0.391949E-04    0.391949E-04
1    1   -1   -1    3    0.000000    0.391949E-04    0.391949E-04
1    1   -1    3   -1    0.000000    0.391949E-04    0.391949E-04
1    1    1   -3    1    0.000000    0.391949E-04    0.391949E-04
1    1    1    1   -3    0.000000    0.391949E-04    0.391949E-04
1    1    1    1    1    0.000000    0.391949E-04    0.391949E-04
1    1    3   -1   -1    0.000000    0.391949E-04    0.391949E-04
1    1   -3    0    1   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -3    0    2   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -3    1    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -3    1    2   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -3    2    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -3    2    1   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -2   -1    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -2   -1    3   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -2    0   -1   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -2    0    3   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -2    3   -1   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -2    3    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -1   -2    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -1   -2    3   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -1    0   -2   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -1    0    3   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -1    3   -2   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -1    3    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0   -3    1   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0   -3    2   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0   -2   -1   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0   -2    3   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0   -1   -2   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0   -1    3   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0    1   -3   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0    1    2   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0    2   -3   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0    2    1   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0    3   -2   -0.000000   -0.643500E-05   -0.643500E-05
1    1    0    3   -1   -0.000000   -0.643500E-05   -0.643500E-05
1    1    1   -3    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1    1   -3    2   -0.000000   -0.643500E-05   -0.643500E-05
1    1    1    0   -3   -0.000000   -0.643500E-05   -0.643500E-05
1    1    1    0    2   -0.000000   -0.643500E-05   -0.643500E-05
1    1    1    2   -3   -0.000000   -0.643500E-05   -0.643500E-05
1    1    1    2    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1    2   -3    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1    2   -3    1   -0.000000   -0.643500E-05   -0.643500E-05
1    1    2    0   -3   -0.000000   -0.643500E-05   -0.643500E-05
1    1    2    0    1   -0.000000   -0.643500E-05   -0.643500E-05
1    1    2    1   -3   -0.000000   -0.643500E-05   -0.643500E-05
1    1    2    1    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1    3   -2   -1   -0.000000   -0.643500E-05   -0.643500E-05
1    1    3   -2    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1    3   -1   -2   -0.000000   -0.643500E-05   -0.643500E-05
1    1    3   -1    0   -0.000000   -0.643500E-05   -0.643500E-05
1    1    3    0   -2   -0.000000   -0.643500E-05   -0.643500E-05
1    1    3    0   -1   -0.000000   -0.643500E-05   -0.643500E-05
1    1   -2   -2    2   -0.000000   -0.308844E-05   -0.308844E-05
1    1   -2    2   -2   -0.000000   -0.308844E-05   -0.308844E-05
1    1   -2    2    2   -0.000000   -0.308844E-05   -0.308844E-05
1    1    2   -2   -2   -0.000000   -0.308844E-05   -0.308844E-05
1    1    2   -2    2   -0.000000   -0.308844E-05   -0.308844E-05
1    1    2    2   -2   -0.000000   -0.308844E-05   -0.308844E-05
1    1   -3   -1    2    0.000000    0.312738E-05    0.312738E-05
1    1   -3    0    0    0.000000    0.595171E-05    0.595171E-05
1    1   -3    0    3    0.000000    0.595171E-05    0.595171E-05
1    1   -3    2   -1    0.000000    0.312738E-05    0.312738E-05
1    1   -3    2    2    0.000000    0.312738E-05    0.312738E-05
1    1   -3    3    0    0.000000    0.595171E-05    0.595171E-05
1    1   -2   -2    1    0.000000    0.312738E-05    0.312738E-05
1    1   -2   -2    3    0.000000    0.312738E-05    0.312738E-05
1    1   -2    1   -2    0.000000    0.312738E-05    0.312738E-05
1    1   -2    1    3    0.000000    0.312738E-05    0.312738E-05
1    1   -2    3   -2    0.000000    0.312738E-05    0.312738E-05
1    1   -2    3    1    0.000000    0.312738E-05    0.312738E-05
1    1   -1   -3    2    0.000000    0.312738E-05    0.312738E-05
1    1   -1    2   -3    0.000000    0.312738E-05    0.312738E-05
1    1   -1    2    2    0.000000    0.312738E-05    0.312738E-05
1    1    0   -3    0    0.000000    0.595171E-05    0.595171E-05
1    1    0   -3    3    0.000000    0.595171E-05    0.595171E-05
1    1    0    0   -3    0.000000    0.595171E-05    0.595171E-05
1    1    0    0    3    0.000000    0.595171E-05    0.595171E-05
1    1    0    3   -3    0.000000    0.595171E-05    0.595171E-05
1    1    0    3    0    0.000000    0.595171E-05    0.595171E-05
1    1    1   -2   -2    0.000000    0.312738E-05    0.312738E-05
1    1    1   -2    3    0.000000    0.312738E-05    0.312738E-05
1    1    1    3   -2    0.000000    0.312738E-05    0.312738E-05
1    1    2   -3   -1    0.000000    0.312738E-05    0.312738E-05
1    1    2   -3    2    0.000000    0.312738E-05    0.312738E-05
1    1    2   -1   -3    0.000000    0.312738E-05    0.312738E-05
1    1    2   -1    2    0.000000    0.312738E-05    0.312738E-05
1    1    2    2   -3    0.000000    0.312738E-05    0.312738E-05
1    1    2    2   -1    0.000000    0.312738E-05    0.312738E-05
1    1    3   -3    0    0.000000    0.595171E-05    0.595171E-05
1    1    3   -2   -2    0.000000    0.312738E-05    0.312738E-05
1    1    3   -2    1    0.000000    0.312738E-05    0.312738E-05
1    1    3    0   -3    0.000000    0.595171E-05    0.595171E-05
1    1    3    0    0    0.000000    0.595171E-05    0.595171E-05
1    1    3    1   -2    0.000000    0.312738E-05    0.312738E-05
1    1   -3   -1    1    0.000000    0.433699E-05    0.433699E-05
1    1   -3   -1    3    0.000000    0.433699E-05    0.433699E-05
1    1   -3    1   -1    0.000000    0.433699E-05    0.433699E-05
1    1   -3    1    3    0.000000    0.433699E-05    0.433699E-05
1    1   -3    3   -1    0.000000    0.433699E-05    0.433699E-05
1    1   -3    3    1    0.000000    0.433699E-05    0.433699E-05
1    1   -1   -3    1    0.000000    0.433699E-05    0.433699E-05
1    1   -1   -3    3    0.000000    0.433699E-05    0.433699E-05
1    1   -1    1   -3    0.000000    0.433699E-05    0.433699E-05
1    1   -1    1    3    0.000000    0.433699E-05    0.433699E-05
1    1   -1    3   -3    0.000000    0.433699E-05    0.433699E-05
1    1   -1    3    1    0.000000    0.433699E-05    0.433699E-05
1    1    1   -3   -1    0.000000    0.433699E-05    0.433699E-05
1    1    1   -3    3    0.000000    0.433699E-05    0.433699E-05
1    1    1   -1   -3    0.000000    0.433699E-05    0.433699E-05
1    1    1   -1    3    0.000000    0.433699E-05    0.433699E-05
1    1    1    3   -3    0.000000    0.433699E-05    0.433699E-05
1    1    1    3   -1    0.000000    0.433699E-05    0.433699E-05
1    1    3   -3   -1    0.000000    0.433699E-05    0.433699E-05
1    1    3   -3    1    0.000000    0.433699E-05    0.433699E-05
1    1    3   -1   -3    0.000000    0.433699E-05    0.433699E-05
1    1    3   -1    1    0.000000    0.433699E-05    0.433699E-05
1    1    3    1   -3    0.000000    0.433699E-05    0.433699E-05
1    1    3    1   -1    0.000000    0.433699E-05    0.433699E-05
1    1   -4    1    1    0.000000    0.301802E-05    0.301802E-05
1    1   -4    1    2    0.000000    0.301802E-05    0.301802E-05
1    1   -4    2    1    0.000000    0.301802E-05    0.301802E-05
1    1   -2   -1   -1    0.000000    0.301802E-05    0.301802E-05
1    1   -2   -1    4    0.000000    0.301802E-05    0.301802E-05
1    1   -2    4   -1    0.000000    0.301802E-05    0.301802E-05
1    1   -1   -2   -1    0.000000    0.301802E-05    0.301802E-05
1    1   -1   -2    4    0.000000    0.301802E-05    0.301802E-05
1    1   -1   -1   -2    0.000000    0.301802E-05    0.301802E-05
1    1   -1   -1    4    0.000000    0.301802E-05    0.301802E-05
1    1   -1    4   -2    0.000000    0.301802E-05    0.301802E-05
1    1   -1    4   -1    0.000000    0.301802E-05    0.301802E-05
1    1    1   -4    1    0.000000    0.301802E-05    0.301802E-05
1    1    1   -4    2    0.000000    0.301802E-05    0.301802E-05
1    1    1    1   -4    0.000000    0.301802E-05    0.301802E-05
1    1    1    1    2    0.000000    0.301802E-05    0.301802E-05
1    1    1    2   -4    0.000000    0.301802E-05    0.301802E-05
1    1    1    2    1    0.000000    0.301802E-05    0.301802E-05
1    1    2   -4    1    0.000000    0.301802E-05    0.301802E-05
1    1    2    1   -4    0.000000    0.301802E-05    0.301802E-05
1    1    2    1    1    0.000000    0.301802E-05    0.301802E-05
1    1    4   -2   -1    0.000000    0.301802E-05    0.301802E-05
1    1    4   -1   -2    0.000000    0.301802E-05    0.301802E-05
1    1    4   -1   -1    0.000000    0.301802E-05    0.301802E-05
1    1   -4    0    2    0.000000    0.214980E-05    0.214980E-05
1    1   -4    2    0    0.000000    0.214980E-05    0.214980E-05
1    1   -4    2    2    0.000000    0.214980E-05    0.214980E-05
1    1   -2   -2    0    0.000000    0.214980E-05    0.214980E-05
1    1   -2   -2    4    0.000000    0.214980E-05    0.214980E-05
1    1   -2    0   -2    0.000000    0.214980E-05    0.214980E-05
1    1   -2    0    4    0.000000    0.214980E-05    0.214980E-05
1    1   -2    4   -2    0.000000    0.214980E-05    0.214980E-05
1    1   -2    4    0    0.000000    0.214980E-05    0.214980E-05
1    1    0   -4    2    0.000000    0.214980E-05    0.214980E-05
1    1    0   -2   -2    0.000000    0.214980E-05    0.214980E-05
1    1    0   -2    4    0.000000    0.214980E-05    0.214980E-05
1    1    0    2   -4    0.000000    0.214980E-05    0.214980E-05
1    1    0    2    2    0.000000    0.214980E-05    0.214980E-05
1    1    0    4   -2    0.000000    0.214980E-05    0.214980E-05
1    1    2   -4    0    0.000000    0.214980E-05    0.214980E-05
1    1    2   -4    2    0.000000    0.214980E-05    0.214980E-05
1    1    2    0   -4    0.000000    0.214980E-05    0.214980E-05
1    1    2    0    2    0.000000    0.214980E-05    0.214980E-05
1    1    2    2   -4    0.000000    0.214980E-05    0.214980E-05
1    1    2    2    0    0.000000    0.214980E-05    0.214980E-05
1    1    4   -2   -2    0.000000    0.214980E-05    0.214980E-05
1    1    4   -2    0    0.000000    0.214980E-05    0.214980E-05
1    1    4    0   -2    0.000000    0.214980E-05    0.214980E-05
1    1   -4    0    1   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -4    0    3   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -4    1    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -4    1    3   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -4    3    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -4    3    1   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -3   -2    2   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -3   -2    3   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -3   -1    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -3   -1    4   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -3    0   -1   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -3    0    4   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -3    2   -2   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -3    2    3   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -3    3   -2   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -3    3    2   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -3    4   -1   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -3    4    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -2   -3    2   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -2   -3    3   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -2    2   -3   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -2    2    3   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -2    3   -3   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -2    3    2   -0.000000   -0.198212E-05   -0.198212E-05
1    1   -1   -3    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -1   -3    4   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -1    0   -3   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -1    0    4   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -1    4   -3   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -1    4    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0   -4    1   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0   -4    3   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0   -3   -1   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0   -3    4   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0   -1   -3   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0   -1    4   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0    1   -4   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0    1    3   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0    3   -4   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0    3    1   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0    4   -3   -0.000000   -0.425232E-05   -0.425232E-05
1    1    0    4   -1   -0.000000   -0.425232E-05   -0.425232E-05
1    1    1   -4    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1    1   -4    3   -0.000000   -0.425232E-05   -0.425232E-05
1    1    1    0   -4   -0.000000   -0.425232E-05   -0.425232E-05
1    1    1    0    3   -0.000000   -0.425232E-05   -0.425232E-05
1    1    1    3   -4   -0.000000   -0.425232E-05   -0.425232E-05
1    1    1    3    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1    2   -3   -2   -0.000000   -0.198212E-05   -0.198212E-05
1    1    2   -3    3   -0.000000   -0.198212E-05   -0.198212E-05
1    1    2   -2   -3   -0.000000   -0.198212E-05   -0.198212E-05
1    1    2   -2    3   -0.000000   -0.198212E-05   -0.198212E-05
1    1    2    3   -3   -0.000000   -0.198212E-05   -0.198212E-05
1    1    2    3   -2   -0.000000   -0.198212E-05   -0.198212E-05
1    1    3   -4    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1    3   -4    1   -0.000000   -0.425232E-05   -0.425232E-05
1    1    3   -3   -2   -0.000000   -0.198212E-05   -0.198212E-05
1    1    3   -3    2   -0.000000   -0.198212E-05   -0.198212E-05
1    1    3   -2   -3   -0.000000   -0.198212E-05   -0.198212E-05
1    1    3   -2    2   -0.000000   -0.198212E-05   -0.198212E-05
1    1    3    0   -4   -0.000000   -0.425232E-05   -0.425232E-05
1    1    3    0    1   -0.000000   -0.425232E-05   -0.425232E-05
1    1    3    1   -4   -0.000000   -0.425232E-05   -0.425232E-05
1    1    3    1    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1    3    2   -3   -0.000000   -0.198212E-05   -0.198212E-05
1    1    3    2   -2   -0.000000   -0.198212E-05   -0.198212E-05
1    1    4   -3   -1   -0.000000   -0.425232E-05   -0.425232E-05
1    1    4   -3    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1    4   -1   -3   -0.000000   -0.425232E-05   -0.425232E-05
1    1    4   -1    0   -0.000000   -0.425232E-05   -0.425232E-05
1    1    4    0   -3   -0.000000   -0.425232E-05   -0.425232E-05
1    1    4    0   -1   -0.000000   -0.425232E-05   -0.425232E-05
1    1   -4   -1    2    0.000000    0.131825E-05    0.131825E-05
1    1   -4   -1    3    0.000000    0.131825E-05    0.131825E-05
1    1   -4    2   -1    0.000000    0.131825E-05    0.131825E-05
1    1   -4    2    3    0.000000    0.131825E-05    0.131825E-05
1    1   -4    3   -1    0.000000    0.131825E-05    0.131825E-05
1    1   -4    3    2    0.000000    0.131825E-05    0.131825E-05
1    1   -3   -2    1    0.000000    0.131825E-05    0.131825E-05
1    1   -3   -2    4    0.000000    0.131825E-05    0.131825E-05
1    1   -3    1   -2    0.000000    0.131825E-05    0.131825E-05
1    1   -3    1    4    0.000000    0.131825E-05    0.131825E-05
1    1   -3    4   -2    0.000000    0.131825E-05    0.131825E-05
1    1   -3    4    1    0.000000    0.131825E-05    0.131825E-05
1    1   -2   -3    1    0.000000    0.131825E-05    0.131825E-05
1    1   -2   -3    4    0.000000    0.131825E-05    0.131825E-05
