i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
1;1;-1.0;0.0;0.0;-0.0;0.000466113;0.000466113
1;1;-1.0;0.0;1.0;-0.0;0.000466113;0.000466113
1;1;-1.0;1.0;0.0;-0.0;0.000466113;0.000466113
1;1;0.0;-1.0;0.0;-0.0;0.000466113;0.000466113
1;1;0.0;-1.0;1.0;-0.0;0.000466113;0.000466113
1;1;0.0;0.0;-1.0;-0.0;0.000466113;0.000466113
1;1;0.0;0.0;1.0;-0.0;0.000466113;0.000466113
1;1;0.0;1.0;-1.0;-0.0;0.000466113;0.000466113
1;1;0.0;1.0;0.0;-0.0;0.000466113;0.000466113
1;1;1.0;-1.0;0.0;-0.0;0.000466113;0.000466113
1;1;1.0;0.0;-1.0;-0.0;0.000466113;0.000466113
1;1;1.0;0.0;0.0;-0.0;0.000466113;0.000466113
1;1;-1.0;-1.0;1.0;0.0;-3.65074e-05;-3.65074e-05
1;1;-1.0;1.0;-1.0;0.0;-3.65074e-05;-3.65074e-05
1;1;-1.0;1.0;1.0;0.0;-3.65074e-05;-3.65074e-05
1;1;1.0;-1.0;-1.0;0.0;-3.65074e-05;-3.65074e-05
1;1;1.0;-1.0;1.0;0.0;-3.65074e-05;-3.65074e-05
1;1;1.0;1.0;-1.0;0.0;-3.65074e-05;-3.65074e-05
1;1;-2.0;0.0;1.0;-0.0;5.62227e-05;5.62227e-05
1;1;-2.0;1.0;0.0;-0.0;5.62227e-05;5.62227e-05
1;1;-2.0;1.0;1.0;-0.0;5.62227e-05;5.62227e-05
1;1;-1.0;-1.0;0.0;-0.0;5.62227e-05;5.62227e-05
1;1;-1.0;-1.0;2.0;-0.0;5.62227e-05;5.62227e-05
1;1;-1.0;0.0;-1.0;-0.0;5.62227e-05;5.62227e-05
1;1;-1.0;0.0;2.0;-0.0;5.62227e-05;5.62227e-05
1;1;-1.0;2.0;-1.0;-0.0;5.62227e-05;5.62227e-05
1;1;-1.0;2.0;0.0;-0.0;5.62227e-05;5.62227e-05
1;1;0.0;-2.0;1.0;-0.0;5.62227e-05;5.62227e-05
1;1;0.0;-1.0;-1.0;-0.0;5.62227e-05;5.62227e-05
1;1;0.0;-1.0;2.0;-0.0;5.62227e-05;5.62227e-05
1;1;0.0;1.0;-2.0;-0.0;5.62227e-05;5.62227e-05
1;1;0.0;1.0;1.0;-0.0;5.62227e-05;5.62227e-05
1;1;0.0;2.0;-1.0;-0.0;5.62227e-05;5.62227e-05
1;1;1.0;-2.0;0.0;-0.0;5.62227e-05;5.62227e-05
1;1;1.0;-2.0;1.0;-0.0;5.62227e-05;5.62227e-05
1;1;1.0;0.0;-2.0;-0.0;5.62227e-05;5.62227e-05
1;1;1.0;0.0;1.0;-0.0;5.62227e-05;5.62227e-05
1;1;1.0;1.0;-2.0;-0.0;5.62227e-05;5.62227e-05
1;1;1.0;1.0;0.0;-0.0;5.62227e-05;5.62227e-05
1;1;2.0;-1.0;-1.0;-0.0;5.62227e-05;5.62227e-05
1;1;2.0;-1.0;0.0;-0.0;5.62227e-05;5.62227e-05
1;1;2.0;0.0;-1.0;-0.0;5.62227e-05;5.62227e-05
1;1;-2.0;0.0;0.0;-0.0;8.61437e-06;8.61437e-06
1;1;-2.0;0.0;2.0;-0.0;8.61437e-06;8.61437e-06
1;1;-2.0;2.0;0.0;-0.0;8.61437e-06;8.61437e-06
1;1;0.0;-2.0;0.0;-0.0;8.61437e-06;8.61437e-06
1;1;0.0;-2.0;2.0;-0.0;8.61437e-06;8.61437e-06
1;1;0.0;0.0;-2.0;-0.0;8.61437e-06;8.61437e-06
1;1;0.0;0.0;2.0;-0.0;8.61437e-06;8.61437e-06
1;1;0.0;2.0;-2.0;-0.0;8.61437e-06;8.61437e-06
1;1;0.0;2.0;0.0;-0.0;8.61437e-06;8.61437e-06
1;1;2.0;-2.0;0.0;-0.0;8.61437e-06;8.61437e-06
1;1;2.0;0.0;-2.0;-0.0;8.61437e-06;8.61437e-06
1;1;2.0;0.0;0.0;-0.0;8.61437e-06;8.61437e-06
1;1;-2.0;-1.0;1.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-2.0;-1.0;2.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-2.0;1.0;-1.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-2.0;1.0;2.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-2.0;2.0;-1.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-2.0;2.0;1.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-1.0;-2.0;1.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-1.0;-2.0;2.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-1.0;1.0;-2.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-1.0;1.0;2.0;0.0;-1.5086e-05;-1.5086e-05
1;1;-1.0;2.0;-2.0;0.0;-1.5086e-05;-1.5086e-05
