i   j      dx   dy   dz        Jij               χ⁰↑               χ⁰↓            Xzz
1   1    -1.0  0.0  0.0  -0.000000      4.661130E-04      4.661130E-04   2.357750E-04
1   1    -1.0  0.0  1.0  -0.000000      4.661130E-04      4.661130E-04   2.357746E-04
1   1    -1.0  1.0  0.0  -0.000000      4.661130E-04      4.661130E-04   2.357746E-04
1   1     0.0 -1.0  0.0  -0.000000      4.661130E-04      4.661130E-04   2.357750E-04
1   1     0.0 -1.0  1.0  -0.000000      4.661130E-04      4.661130E-04   2.357746E-04
1   1     0.0  0.0 -1.0  -0.000000      4.661130E-04      4.661130E-04   2.357750E-04
1   1     0.0  0.0  1.0  -0.000000      4.661130E-04      4.661130E-04   2.357750E-04
1   1     0.0  1.0 -1.0  -0.000000      4.661130E-04      4.661130E-04   2.357746E-04
1   1     0.0  1.0  0.0  -0.000000      4.661130E-04      4.661130E-04   2.357750E-04
1   1     1.0 -1.0  0.0  -0.000000      4.661130E-04      4.661130E-04   2.357746E-04
1   1     1.0  0.0 -1.0  -0.000000      4.661130E-04      4.661130E-04   2.357746E-04
1   1     1.0  0.0  0.0  -0.000000      4.661130E-04      4.661130E-04   2.357750E-04
1   1    -1.0 -1.0  1.0   0.000000     -3.650740E-05     -3.650740E-05  -1.848545E-05
1   1    -1.0  1.0 -1.0   0.000000     -3.650740E-05     -3.650740E-05  -1.848545E-05
1   1    -1.0  1.0  1.0   0.000000     -3.650740E-05     -3.650740E-05  -1.848545E-05
1   1     1.0 -1.0 -1.0   0.000000     -3.650740E-05     -3.650740E-05  -1.848545E-05
1   1     1.0 -1.0  1.0   0.000000     -3.650740E-05     -3.650740E-05  -1.848545E-05
1   1     1.0  1.0 -1.0   0.000000     -3.650740E-05     -3.650740E-05  -1.848545E-05
1   1    -2.0  0.0  1.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1    -2.0  1.0  0.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1    -2.0  1.0  1.0  -0.000000      5.622270E-05      5.622270E-05   2.846283E-05
1   1    -1.0 -1.0  0.0  -0.000000      5.622270E-05      5.622270E-05   2.846291E-05
1   1    -1.0 -1.0  2.0  -0.000000      5.622270E-05      5.622270E-05   2.846283E-05
1   1    -1.0  0.0 -1.0  -0.000000      5.622270E-05      5.622270E-05   2.846291E-05
1   1    -1.0  0.0  2.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1    -1.0  2.0 -1.0  -0.000000      5.622270E-05      5.622270E-05   2.846283E-05
1   1    -1.0  2.0  0.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1     0.0 -2.0  1.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1     0.0 -1.0 -1.0  -0.000000      5.622270E-05      5.622270E-05   2.846291E-05
1   1     0.0 -1.0  2.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1     0.0  1.0 -2.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1     0.0  1.0  1.0  -0.000000      5.622270E-05      5.622270E-05   2.846291E-05
1   1     0.0  2.0 -1.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1     1.0 -2.0  0.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1     1.0 -2.0  1.0  -0.000000      5.622270E-05      5.622270E-05   2.846283E-05
1   1     1.0  0.0 -2.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1     1.0  0.0  1.0  -0.000000      5.622270E-05      5.622270E-05   2.846291E-05
1   1     1.0  1.0 -2.0  -0.000000      5.622270E-05      5.622270E-05   2.846283E-05
1   1     1.0  1.0  0.0  -0.000000      5.622270E-05      5.622270E-05   2.846291E-05
1   1     2.0 -1.0 -1.0  -0.000000      5.622270E-05      5.622270E-05   2.846283E-05
1   1     2.0 -1.0  0.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1     2.0  0.0 -1.0  -0.000000      5.622270E-05      5.622270E-05   2.846289E-05
1   1    -2.0  0.0  0.0  -0.000000      8.614370E-06      8.614370E-06   4.361487E-06
1   1    -2.0  0.0  2.0  -0.000000      8.614370E-06      8.614370E-06   4.361461E-06
1   1    -2.0  2.0  0.0  -0.000000      8.614370E-06      8.614370E-06   4.361461E-06
1   1     0.0 -2.0  0.0  -0.000000      8.614370E-06      8.614370E-06   4.361487E-06
1   1     0.0 -2.0  2.0  -0.000000      8.614370E-06      8.614370E-06   4.361461E-06
1   1     0.0  0.0 -2.0  -0.000000      8.614370E-06      8.614370E-06   4.361487E-06
1   1     0.0  0.0  2.0  -0.000000      8.614370E-06      8.614370E-06   4.361487E-06
1   1     0.0  2.0 -2.0  -0.000000      8.614370E-06      8.614370E-06   4.361461E-06
1   1     0.0  2.0  0.0  -0.000000      8.614370E-06      8.614370E-06   4.361487E-06
1   1     2.0 -2.0  0.0  -0.000000      8.614370E-06      8.614370E-06   4.361461E-06
1   1     2.0  0.0 -2.0  -0.000000      8.614370E-06      8.614370E-06   4.361461E-06
1   1     2.0  0.0  0.0  -0.000000      8.614370E-06      8.614370E-06   4.361487E-06
1   1    -2.0 -1.0  1.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1    -2.0 -1.0  2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638428E-06
1   1    -2.0  1.0 -1.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1    -2.0  1.0  2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638428E-06
1   1    -2.0  2.0 -1.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638428E-06
1   1    -2.0  2.0  1.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638428E-06
1   1    -1.0 -2.0  1.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1    -1.0 -2.0  2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638428E-06
1   1    -1.0  1.0 -2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1    -1.0  1.0  2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1    -1.0  2.0 -2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638428E-06
1   1    -1.0  2.0  1.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1     1.0 -2.0 -1.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1     1.0 -2.0  2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638428E-06
1   1     1.0 -1.0 -2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1     1.0 -1.0  2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638472E-06
1   1     1.0  2.0 -2.0   0.000000     -1.508600E-05     -1.508600E-05  -7.638428E-06
