j-coordinate,Xzz
"(-1.0, 0.0, 0.0)",0.00023577495291270527
"(-1.0, 0.0, 1.0)",0.00023577459886029554
"(-1.0, 1.0, 0.0)",0.00023577459886029554
"(0.0, -1.0, 0.0)",0.00023577495291270527
"(0.0, -1.0, 1.0)",0.00023577459886029554
"(0.0, 0.0, -1.0)",0.00023577495291270527
"(0.0, 0.0, 1.0)",0.00023577495291270527
"(0.0, 1.0, -1.0)",0.00023577459886029554
"(0.0, 1.0, 0.0)",0.00023577495291270527
"(1.0, -1.0, 0.0)",0.00023577459886029554
"(1.0, 0.0, -1.0)",0.00023577459886029554
"(1.0, 0.0, 0.0)",0.00023577495291270527
"(-1.0, -1.0, 1.0)",-1.8485448435173533e-05
"(-1.0, 1.0, -1.0)",-1.8485448435173533e-05
"(-1.0, 1.0, 1.0)",-1.8485448435173533e-05
"(1.0, -1.0, -1.0)",-1.8485448435173533e-05
"(1.0, -1.0, 1.0)",-1.8485448435173533e-05
"(1.0, 1.0, -1.0)",-1.8485448435173533e-05
"(-2.0, 0.0, 1.0)",2.8462893692798448e-05
"(-2.0, 1.0, 0.0)",2.8462893692798448e-05
"(-2.0, 1.0, 1.0)",2.8462829130273414e-05
"(-1.0, -1.0, 0.0)",2.846291299821386e-05
"(-1.0, -1.0, 2.0)",2.8462829130273414e-05
"(-1.0, 0.0, -1.0)",2.846291299821386e-05
"(-1.0, 0.0, 2.0)",2.8462893692798448e-05
"(-1.0, 2.0, -1.0)",2.8462829130273414e-05
"(-1.0, 2.0, 0.0)",2.8462893692798448e-05
"(0.0, -2.0, 1.0)",2.8462893692798448e-05
"(0.0, -1.0, -1.0)",2.846291299821386e-05
"(0.0, -1.0, 2.0)",2.8462893692798448e-05
"(0.0, 1.0, -2.0)",2.8462893692798448e-05
"(0.0, 1.0, 1.0)",2.846291299821386e-05
"(0.0, 2.0, -1.0)",2.8462893692798448e-05
"(1.0, -2.0, 0.0)",2.8462893692798448e-05
"(1.0, -2.0, 1.0)",2.8462829130273414e-05
"(1.0, 0.0, -2.0)",2.8462893692798448e-05
"(1.0, 0.0, 1.0)",2.846291299821386e-05
"(1.0, 1.0, -2.0)",2.8462829130273414e-05
"(1.0, 1.0, 0.0)",2.846291299821386e-05
"(2.0, -1.0, -1.0)",2.8462829130273414e-05
"(2.0, -1.0, 0.0)",2.8462893692798448e-05
"(2.0, 0.0, -1.0)",2.8462893692798448e-05
"(-2.0, 0.0, 0.0)",4.361487273833857e-06
"(-2.0, 0.0, 2.0)",4.361461075339335e-06
"(-2.0, 2.0, 0.0)",4.361461075339335e-06
"(0.0, -2.0, 0.0)",4.361487273833857e-06
"(0.0, -2.0, 2.0)",4.361461075339335e-06
"(0.0, 0.0, -2.0)",4.361487273833857e-06
"(0.0, 0.0, 2.0)",4.361487273833857e-06
"(0.0, 2.0, -2.0)",4.361461075339335e-06
"(0.0, 2.0, 0.0)",4.361487273833857e-06
"(2.0, -2.0, 0.0)",4.361461075339335e-06
"(2.0, 0.0, -2.0)",4.361461075339335e-06
"(2.0, 0.0, 0.0)",4.361487273833857e-06
"(-2.0, -1.0, 1.0)",-7.638472425307298e-06
"(-2.0, -1.0, 2.0)",-7.6384276285995e-06
"(-2.0, 1.0, -1.0)",-7.638472425307298e-06
"(-2.0, 1.0, 2.0)",-7.6384276285995e-06
"(-2.0, 2.0, -1.0)",-7.6384276285995e-06
"(-2.0, 2.0, 1.0)",-7.6384276285995e-06
"(-1.0, -2.0, 1.0)",-7.638472425307298e-06
"(-1.0, -2.0, 2.0)",-7.6384276285995e-06
"(-1.0, 1.0, -2.0)",-7.638472425307298e-06
"(-1.0, 1.0, 2.0)",-7.638472425307298e-06
"(-1.0, 2.0, -2.0)",-7.6384276285995e-06
"(-1.0, 2.0, 1.0)",-7.638472425307298e-06
"(1.0, -2.0, -1.0)",-7.638472425307298e-06
"(1.0, -2.0, 2.0)",-7.6384276285995e-06
"(1.0, -1.0, -2.0)",-7.638472425307298e-06
"(1.0, -1.0, 2.0)",-7.638472425307298e-06
"(1.0, 2.0, -2.0)",-7.6384276285995e-06
"(1.0, 2.0, -1.0)",-7.638472425307298e-06
"(2.0, -2.0, -1.0)",-7.6384276285995e-06
"(2.0, -2.0, 1.0)",-7.6384276285995e-06
"(2.0, -1.0, -2.0)",-7.6384276285995e-06
"(2.0, -1.0, 1.0)",-7.638472425307298e-06
"(2.0, 1.0, -2.0)",-7.6384276285995e-06
"(2.0, 1.0, -1.0)",-7.638472425307298e-06
"(-3.0, 1.0, 1.0)",-1.9846469954558402e-05
"(-1.0, -1.0, -1.0)",-1.9846876218417907e-05
"(-1.0, -1.0, 3.0)",-1.9846469954558402e-05
"(-1.0, 3.0, -1.0)",-1.9846469954558402e-05
"(1.0, -3.0, 1.0)",-1.9846469954558402e-05
"(1.0, 1.0, -3.0)",-1.9846469954558402e-05
"(1.0, 1.0, 1.0)",-1.9846876218417907e-05
"(3.0, -1.0, -1.0)",-1.9846469954558402e-05
"(-3.0, 0.0, 1.0)",3.258101051364202e-06
"(-3.0, 0.0, 2.0)",3.258082399672268e-06
"(-3.0, 1.0, 0.0)",3.258101051364202e-06
"(-3.0, 1.0, 2.0)",3.2580687176864593e-06
"(-3.0, 2.0, 0.0)",3.258082399672268e-06
"(-3.0, 2.0, 1.0)",3.2580687176864593e-06
"(-2.0, -1.0, 0.0)",3.2581137048772897e-06
