i    j    dx   dy   dz   Jij         χ⁰↑             χ⁰↓
1    1   -1    0    0         NaN             NaN   -0.107564E-01
1    1   -1    0    1         NaN             NaN   -0.107564E-01
1    1   -1    1    0         NaN             NaN   -0.107564E-01
1    1    0   -1    0         NaN             NaN   -0.107564E-01
1    1    0   -1    1         NaN             NaN   -0.107564E-01
1    1    0    0   -1         NaN             NaN   -0.107564E-01
1    1    0    0    1         NaN             NaN   -0.107564E-01
1    1    0    1   -1         NaN             NaN   -0.107564E-01
1    1    0    1    0         NaN             NaN   -0.107564E-01
1    1    1   -1    0         NaN             NaN   -0.107564E-01
1    1    1    0   -1         NaN             NaN   -0.107564E-01
1    1    1    0    0         NaN             NaN   -0.107564E-01
1    1   -1   -1    1         NaN             NaN    0.876495E-03
1    1   -1    1   -1         NaN             NaN    0.876495E-03
1    1   -1    1    1         NaN             NaN    0.876495E-03
1    1    1   -1   -1         NaN             NaN    0.876495E-03
1    1    1   -1    1         NaN             NaN    0.876495E-03
1    1    1    1   -1         NaN             NaN    0.876495E-03
1    1   -2    0    1         NaN             NaN    0.105582E-04
1    1   -2    1    0         NaN             NaN    0.105582E-04
1    1   -2    1    1         NaN             NaN    0.105582E-04
1    1   -1   -1    0         NaN             NaN    0.105582E-04
1    1   -1   -1    2         NaN             NaN    0.105582E-04
1    1   -1    0   -1         NaN             NaN    0.105582E-04
1    1   -1    0    2         NaN             NaN    0.105582E-04
1    1   -1    2   -1         NaN             NaN    0.105582E-04
1    1   -1    2    0         NaN             NaN    0.105582E-04
1    1    0   -2    1         NaN             NaN    0.105582E-04
1    1    0   -1   -1         NaN             NaN    0.105582E-04
1    1    0   -1    2         NaN             NaN    0.105582E-04
1    1    0    1   -2         NaN             NaN    0.105582E-04
1    1    0    1    1         NaN             NaN    0.105582E-04
1    1    0    2   -1         NaN             NaN    0.105582E-04
1    1    1   -2    0         NaN             NaN    0.105582E-04
1    1    1   -2    1         NaN             NaN    0.105582E-04
1    1    1    0   -2         NaN             NaN    0.105582E-04
1    1    1    0    1         NaN             NaN    0.105582E-04
1    1    1    1   -2         NaN             NaN    0.105582E-04
1    1    1    1    0         NaN             NaN    0.105582E-04
1    1    2   -1   -1         NaN             NaN    0.105582E-04
1    1    2   -1    0         NaN             NaN    0.105582E-04
