i    j    dx   dy   dz   Jij         χ⁰↑             χ⁰↓
1    1   -1   -1   -1         NaN             NaN   -0.131616E-02
1    1   -1    0    0         NaN             NaN   -0.131616E-02
1    1    0   -1    0         NaN             NaN   -0.131616E-02
1    1    0    0   -1         NaN             NaN   -0.131616E-02
1    1    0    0    1         NaN             NaN   -0.131616E-02
1    1    0    1    0         NaN             NaN   -0.131616E-02
1    1    1    0    0         NaN             NaN   -0.131616E-02
1    1    1    1    1         NaN             NaN   -0.131616E-02
1    1   -1   -1    0         NaN             NaN   -0.629954E-03
1    1   -1    0   -1         NaN             NaN   -0.629954E-03
1    1    0   -1   -1         NaN             NaN   -0.629954E-03
1    1    0    1    1         NaN             NaN   -0.629954E-03
1    1    1    0    1         NaN             NaN   -0.629954E-03
1    1    1    1    0         NaN             NaN   -0.629954E-03
1    1   -2   -1   -1         NaN             NaN    0.765560E-04
1    1   -1   -2   -1         NaN             NaN    0.765560E-04
1    1   -1   -1   -2         NaN             NaN    0.765560E-04
1    1   -1    0    1         NaN             NaN    0.765560E-04
1    1   -1    1    0         NaN             NaN    0.765560E-04
1    1    0   -1    1         NaN             NaN    0.765560E-04
1    1    0    1   -1         NaN             NaN    0.765560E-04
1    1    1   -1    0         NaN             NaN    0.765560E-04
1    1    1    0   -1         NaN             NaN    0.765560E-04
1    1    1    1    2         NaN             NaN    0.765560E-04
1    1    1    2    1         NaN             NaN    0.765560E-04
1    1    2    1    1         NaN             NaN    0.765560E-04
1    1   -2   -2   -1         NaN             NaN   -0.104315E-03
1    1   -2   -1   -2         NaN             NaN   -0.104315E-03
1    1   -2   -1    0         NaN             NaN   -0.104315E-03
1    1   -2    0   -1         NaN             NaN   -0.104315E-03
1    1   -1   -2   -2         NaN             NaN   -0.104315E-03
1    1   -1   -2    0         NaN             NaN   -0.104315E-03
1    1   -1   -1    1         NaN             NaN   -0.104315E-03
1    1   -1    0   -2         NaN             NaN   -0.104315E-03
1    1   -1    1   -1         NaN             NaN   -0.104315E-03
1    1   -1    1    1         NaN             NaN   -0.104315E-03
1    1    0   -2   -1         NaN             NaN   -0.104315E-03
1    1    0   -1   -2         NaN             NaN   -0.104315E-03
1    1    0    1    2         NaN             NaN   -0.104315E-03
1    1    0    2    1         NaN             NaN   -0.104315E-03
1    1    1   -1   -1         NaN             NaN   -0.104315E-03
1    1    1   -1    1         NaN             NaN   -0.104315E-03
1    1    1    0    2         NaN             NaN   -0.104315E-03
1    1    1    1   -1         NaN             NaN   -0.104315E-03
1    1    1    2    0         NaN             NaN   -0.104315E-03
1    1    1    2    2         NaN             NaN   -0.104315E-03
1    1    2    0    1         NaN             NaN   -0.104315E-03
1    1    2    1    0         NaN             NaN   -0.104315E-03
1    1    2    1    2         NaN             NaN   -0.104315E-03
1    1    2    2    1         NaN             NaN   -0.104315E-03
1    1   -2   -2   -2         NaN             NaN   -0.758800E-04
1    1   -2    0    0         NaN             NaN   -0.758800E-04
1    1    0   -2    0         NaN             NaN   -0.758800E-04
1    1    0    0   -2         NaN             NaN   -0.758800E-04
1    1    0    0    2         NaN             NaN   -0.758800E-04
1    1    0    2    0         NaN             NaN   -0.758800E-04
1    1    2    0    0         NaN             NaN   -0.758800E-04
1    1    2    2    2         NaN             NaN   -0.758800E-04
1    1   -2   -2    0         NaN             NaN    0.358539E-04
1    1   -2    0   -2         NaN             NaN    0.358539E-04
1    1    0   -2   -2         NaN             NaN    0.358539E-04
1    1    0    2    2         NaN             NaN    0.358539E-04
1    1    2    0    2         NaN             NaN    0.358539E-04
1    1    2    2    0         NaN             NaN    0.358539E-04
1    1   -3   -2   -2         NaN             NaN    0.399599E-04
1    1   -3   -1   -1         NaN             NaN    0.399599E-04
1    1   -2   -3   -2         NaN             NaN    0.399599E-04
1    1   -2   -2   -3         NaN             NaN    0.399599E-04
1    1   -2    0    1         NaN             NaN    0.399599E-04
1    1   -2    1    0         NaN             NaN    0.399599E-04
1    1   -1   -3   -1         NaN             NaN    0.399599E-04
1    1   -1   -1   -3         NaN             NaN    0.399599E-04
1    1   -1    0    2         NaN             NaN    0.399599E-04
1    1   -1    2    0         NaN             NaN    0.399599E-04
1    1    0   -2    1         NaN             NaN    0.399599E-04
1    1    0   -1    2         NaN             NaN    0.399599E-04
1    1    0    1   -2         NaN             NaN    0.399599E-04
1    1    0    2   -1         NaN             NaN    0.399599E-04
