i    j    dx   dy   dz   Jij         χ⁰↑             χ⁰↓
1    1   -1   -1   -1         NaN             NaN    0.941169E-02
1    1   -1    0    0         NaN             NaN    0.941169E-02
1    1    0   -1    0         NaN             NaN    0.941169E-02
1    1    0    0   -1         NaN             NaN    0.941169E-02
1    1    0    0    1         NaN             NaN    0.941169E-02
1    1    0    1    0         NaN             NaN    0.941169E-02
1    1    1    0    0         NaN             NaN    0.941169E-02
1    1    1    1    1         NaN             NaN    0.941169E-02
1    1   -1   -1    0         NaN             NaN    0.542296E-03
1    1   -1    0   -1         NaN             NaN    0.542296E-03
1    1    0   -1   -1         NaN             NaN    0.542296E-03
1    1    0    1    1         NaN             NaN    0.542296E-03
1    1    1    0    1         NaN             NaN    0.542296E-03
1    1    1    1    0         NaN             NaN    0.542296E-03
1    1   -2   -1   -1         NaN             NaN   -0.123405E-02
1    1   -1   -2   -1         NaN             NaN   -0.123405E-02
1    1   -1   -1   -2         NaN             NaN   -0.123405E-02
1    1   -1    0    1         NaN             NaN   -0.123405E-02
1    1   -1    1    0         NaN             NaN   -0.123405E-02
1    1    0   -1    1         NaN             NaN   -0.123405E-02
1    1    0    1   -1         NaN             NaN   -0.123405E-02
1    1    1   -1    0         NaN             NaN   -0.123405E-02
1    1    1    0   -1         NaN             NaN   -0.123405E-02
1    1    1    1    2         NaN             NaN   -0.123405E-02
1    1    1    2    1         NaN             NaN   -0.123405E-02
1    1    2    1    1         NaN             NaN   -0.123405E-02
1    1   -2   -2   -1         NaN             NaN   -0.567904E-03
1    1   -2   -1    0         NaN             NaN   -0.567904E-03
1    1   -2    0   -1         NaN             NaN   -0.567904E-03
1    1   -1   -2    0         NaN             NaN   -0.567904E-03
1    1   -1   -1    1         NaN             NaN   -0.567904E-03
1    1   -1    0   -2         NaN             NaN   -0.567904E-03
1    1   -1    1   -1         NaN             NaN   -0.567904E-03
1    1   -1    1    1         NaN             NaN   -0.567904E-03
1    1    0   -2   -1         NaN             NaN   -0.567904E-03
1    1    0   -1   -2         NaN             NaN   -0.567904E-03
1    1    0    1    2         NaN             NaN   -0.567904E-03
1    1    0    2    1         NaN             NaN   -0.567904E-03
1    1    1   -1   -1         NaN             NaN   -0.567904E-03
1    1    1   -1    1         NaN             NaN   -0.567904E-03
1    1    1    0    2         NaN             NaN   -0.567904E-03
1    1    1    1   -1         NaN             NaN   -0.567904E-03
1    1    1    2    0         NaN             NaN   -0.567904E-03
1    1    2    0    1         NaN             NaN   -0.567904E-03
1    1    2    1    0         NaN             NaN   -0.567904E-03
1    1    2    2    1         NaN             NaN   -0.567904E-03
1    1   -2   -1   -2         NaN             NaN   -0.567904E-03
1    1   -1   -2   -2         NaN             NaN   -0.567904E-03
1    1    1    2    2         NaN             NaN   -0.567904E-03
1    1    2    1    2         NaN             NaN   -0.567904E-03
1    1   -2   -2   -2         NaN             NaN    0.256711E-02
1    1   -2    0    0         NaN             NaN    0.256711E-02
1    1    0   -2    0         NaN             NaN    0.256711E-02
1    1    0    0   -2         NaN             NaN    0.256711E-02
1    1    0    0    2         NaN             NaN    0.256711E-02
1    1    0    2    0         NaN             NaN    0.256711E-02
1    1    2    0    0         NaN             NaN    0.256711E-02
1    1    2    2    2         NaN             NaN    0.256711E-02
1    1   -2   -2    0         NaN             NaN    0.231130E-03
1    1   -2    0   -2         NaN             NaN    0.231130E-03
1    1    0   -2   -2         NaN             NaN    0.231130E-03
1    1    0    2    2         NaN             NaN    0.231130E-03
1    1    2    0    2         NaN             NaN    0.231130E-03
1    1    2    2    0         NaN             NaN    0.231130E-03
1    1   -2   -3   -2         NaN             NaN    0.213893E-02
1    1    2    3    2         NaN             NaN    0.213893E-02
1    1   -3   -2   -2         NaN             NaN    0.213893E-02
1    1   -3   -1   -1         NaN             NaN    0.213893E-02
1    1   -2   -2   -3         NaN             NaN    0.213893E-02
1    1   -2    0    1         NaN             NaN    0.213893E-02
1    1   -2    1    0         NaN             NaN    0.213893E-02
1    1   -1   -3   -1         NaN             NaN    0.213893E-02
1    1   -1   -1   -3         NaN             NaN    0.213893E-02
1    1   -1    0    2         NaN             NaN    0.213893E-02
1    1   -1    2    0         NaN             NaN    0.213893E-02
1    1    0   -2    1         NaN             NaN    0.213893E-02
1    1    0   -1    2         NaN             NaN    0.213893E-02
1    1    0    1   -2         NaN             NaN    0.213893E-02
1    1    0    2   -1         NaN             NaN    0.213893E-02
1    1    1   -2    0         NaN             NaN    0.213893E-02
1    1    1    0   -2         NaN             NaN    0.213893E-02
1    1    1    1    3         NaN             NaN    0.213893E-02
1    1    1    3    1         NaN             NaN    0.213893E-02
1    1    2   -1    0         NaN             NaN    0.213893E-02
1    1    2    0   -1         NaN             NaN    0.213893E-02
1    1    2    2    3         NaN             NaN    0.213893E-02
1    1    3    1    1         NaN             NaN    0.213893E-02
1    1    3    2    2         NaN             NaN    0.213893E-02
1    1   -3   -2   -1         NaN             NaN   -0.257338E-03
1    1   -3   -1   -2         NaN             NaN   -0.257338E-03
1    1   -2   -3   -1         NaN             NaN   -0.257338E-03
1    1   -2   -1   -3         NaN             NaN   -0.257338E-03
1    1   -2   -1    1         NaN             NaN   -0.257338E-03
1    1   -2    1   -1         NaN             NaN   -0.257338E-03
1    1   -1   -3   -2         NaN             NaN   -0.257338E-03
1    1   -1   -2   -3         NaN             NaN   -0.257338E-03
1    1   -1   -2    1         NaN             NaN   -0.257338E-03
1    1   -1    1   -2         NaN             NaN   -0.257338E-03
1    1   -1    1    2         NaN             NaN   -0.257338E-03
1    1   -1    2    1         NaN             NaN   -0.257338E-03
1    1    1   -2   -1         NaN             NaN   -0.257338E-03
1    1    1   -1   -2         NaN             NaN   -0.257338E-03
1    1    1   -1    2         NaN             NaN   -0.257338E-03
1    1    1    2   -1         NaN             NaN   -0.257338E-03
1    1    1    2    3         NaN             NaN   -0.257338E-03
1    1    1    3    2         NaN             NaN   -0.257338E-03
1    1    2   -1    1         NaN             NaN   -0.257338E-03
1    1    2    1   -1         NaN             NaN   -0.257338E-03
1    1    2    1    3         NaN             NaN   -0.257338E-03
1    1    2    3    1         NaN             NaN   -0.257338E-03
1    1    3    1    2         NaN             NaN   -0.257338E-03
1    1    3    2    1         NaN             NaN   -0.257338E-03
1    1   -3   -2   -3         NaN             NaN    0.680551E-03
1    1   -3   -1    0         NaN             NaN    0.680551E-03
1    1   -3    0   -1         NaN             NaN    0.680551E-03
1    1   -2   -3   -3         NaN             NaN    0.680551E-03
1    1   -2    1    1         NaN             NaN    0.680551E-03
1    1   -1   -3    0         NaN             NaN    0.680551E-03
1    1   -1   -1    2         NaN             NaN    0.680551E-03
1    1   -1    0   -3         NaN             NaN    0.680551E-03
1    1   -1    2   -1         NaN             NaN    0.680551E-03
1    1    0   -3   -1         NaN             NaN    0.680551E-03
1    1    0   -1   -3         NaN             NaN    0.680551E-03
1    1    0    1    3         NaN             NaN    0.680551E-03
1    1    0    3    1         NaN             NaN    0.680551E-03
1    1    1   -2    1         NaN             NaN    0.680551E-03
1    1    1    0    3         NaN             NaN    0.680551E-03
1    1    1    1   -2         NaN             NaN    0.680551E-03
1    1    1    3    0         NaN             NaN    0.680551E-03
1    1    2   -1   -1         NaN             NaN    0.680551E-03
1    1    2    3    3         NaN             NaN    0.680551E-03
1    1    3    0    1         NaN             NaN    0.680551E-03
1    1    3    1    0         NaN             NaN    0.680551E-03
1    1    3    2    3         NaN             NaN    0.680551E-03
1    1   -3   -3   -2         NaN             NaN    0.680551E-03
1    1    3    3    2         NaN             NaN    0.680551E-03
1    1   -3   -3   -3         NaN             NaN    0.862181E-04
1    1   -3   -1   -3         NaN             NaN   -0.166753E-03
1    1   -2   -3    0         NaN             NaN   -0.166753E-03
1    1   -2   -2    1         NaN             NaN   -0.166753E-03
1    1   -2    0   -3         NaN             NaN   -0.166753E-03
1    1   -1   -3   -3         NaN             NaN   -0.166753E-03
1    1    0   -2   -3         NaN             NaN   -0.166753E-03
1    1    0    2    3         NaN             NaN   -0.166753E-03
1    1    1    3    3         NaN             NaN   -0.166753E-03
1    1    2    0    3         NaN             NaN   -0.166753E-03
1    1    2    2   -1         NaN             NaN   -0.166753E-03
1    1    2    3    0         NaN             NaN   -0.166753E-03
1    1    3    1    3         NaN             NaN   -0.166753E-03
1    1    3    3    3         NaN             NaN    0.862181E-04
1    1   -3   -2    0         NaN             NaN   -0.166753E-03
1    1   -3    0   -2         NaN             NaN   -0.166753E-03
1    1   -3    0    0         NaN             NaN    0.862181E-04
1    1   -2    1   -2         NaN             NaN   -0.166753E-03
1    1   -1    2    2         NaN             NaN   -0.166753E-03
1    1    0   -3   -2         NaN             NaN   -0.166753E-03
1    1    0   -3    0         NaN             NaN    0.862181E-04
1    1    0    0   -3         NaN             NaN    0.862181E-04
1    1    0    0    3         NaN             NaN    0.862181E-04
1    1    0    3    0         NaN             NaN    0.862181E-04
1    1    0    3    2         NaN             NaN   -0.166753E-03
1    1    1   -2   -2         NaN             NaN   -0.166753E-03
1    1    2   -1    2         NaN             NaN   -0.166753E-03
1    1    3    0    0         NaN             NaN    0.862181E-04
1    1    3    0    2         NaN             NaN   -0.166753E-03
1    1    3    2    0         NaN             NaN   -0.166753E-03
1    1   -3   -3   -1         NaN             NaN   -0.166753E-03
1    1    3    3    1         NaN             NaN   -0.166753E-03
1    1   -4   -2   -2         NaN             NaN   -0.823211E-03
1    1   -2   -4   -2         NaN             NaN   -0.823211E-03
1    1   -2   -2   -4         NaN             NaN   -0.823211E-03
1    1   -2    0    2         NaN             NaN   -0.823211E-03
1    1   -2    2    0         NaN             NaN   -0.823211E-03
