j-coordinate,Xzz
"(-7.0, -4.0, -4.0)",-2.7170111780781787e-05
"(-7.0, -4.0, -3.0)",-2.5501578545537956e-05
"(-7.0, -3.0, -4.0)",-2.5501578545537956e-05
"(-7.0, -3.0, -3.0)",-1.1223303118087356e-05
"(-6.0, -6.0, -4.0)",0.00010480102893067898
"(-6.0, -6.0, -3.0)",0.0001281953412519312
"(-6.0, -5.0, -5.0)",3.489643962002639e-05
"(-6.0, -5.0, -4.0)",-7.4451709783809495e-06
"(-6.0, -5.0, -3.0)",2.431218572728721e-05
"(-6.0, -5.0, -2.0)",4.2359966046626976e-05
"(-6.0, -4.0, -6.0)",0.00010480102893067898
"(-6.0, -4.0, -5.0)",-7.4451709783809495e-06
"(-6.0, -4.0, -4.0)",4.620635856589962e-05
"(-6.0, -4.0, -3.0)",3.882741376840571e-05
"(-6.0, -4.0, -2.0)",0.0002315182682083931
"(-6.0, -4.0, -1.0)",0.00015456687633917204
"(-6.0, -3.0, -6.0)",0.0001281953412519312
"(-6.0, -3.0, -5.0)",2.431218572728721e-05
"(-6.0, -3.0, -4.0)",3.882741376840571e-05
"(-6.0, -3.0, -3.0)",0.00011606445580598412
"(-6.0, -3.0, -2.0)",0.0002523418313552017
"(-6.0, -3.0, -1.0)",0.00019525960758435905
"(-6.0, -3.0, 0.0)",0.0002953037587407134
"(-6.0, -2.0, -5.0)",4.235996604662696e-05
"(-6.0, -2.0, -4.0)",0.0002315182682083931
"(-6.0, -2.0, -3.0)",0.0002523418313552017
"(-6.0, -2.0, -2.0)",0.0003122017263434573
"(-6.0, -2.0, -1.0)",0.0002726498226231109
"(-6.0, -2.0, 0.0)",0.0003964579415621543
"(-6.0, -1.0, -4.0)",0.00015456687633917204
"(-6.0, -1.0, -3.0)",0.00019525960758435905
"(-6.0, -1.0, -2.0)",0.0002726498226231109
"(-6.0, -1.0, -1.0)",0.0003697275464517246
"(-6.0, -1.0, 0.0)",0.0018773918818824004
"(-6.0, 0.0, -3.0)",0.00029530375874071334
"(-6.0, 0.0, -2.0)",0.00039645794156215443
"(-6.0, 0.0, -1.0)",0.0018773918818824004
"(-5.0, -6.0, -5.0)",3.489643962002639e-05
"(-5.0, -6.0, -4.0)",-7.4451709783809495e-06
"(-5.0, -6.0, -3.0)",2.4312185727287215e-05
"(-5.0, -6.0, -2.0)",4.235996604662697e-05
"(-5.0, -5.0, -6.0)",3.489643962002639e-05
"(-5.0, -5.0, -5.0)",-0.0003765518113867628
"(-5.0, -5.0, -4.0)",-0.0001386690288850965
"(-5.0, -5.0, -3.0)",4.874767359410236e-05
"(-5.0, -5.0, -2.0)",8.256913478943818e-05
"(-5.0, -5.0, -1.0)",0.00023190240633567513
"(-5.0, -5.0, 0.0)",0.0005823758305665347
"(-5.0, -4.0, -6.0)",-7.4451709783809495e-06
"(-5.0, -4.0, -5.0)",-0.0001386690288850965
"(-5.0, -4.0, -4.0)",0.00023268532470134787
"(-5.0, -4.0, -3.0)",0.00012524544884637468
"(-5.0, -4.0, -2.0)",0.0002877179170153369
"(-5.0, -4.0, -1.0)",0.0002551340420346546
"(-5.0, -4.0, 0.0)",0.0019805450623610857
"(-5.0, -3.0, -6.0)",2.431218572728721e-05
"(-5.0, -3.0, -5.0)",4.8747673594102364e-05
"(-5.0, -3.0, -4.0)",0.00012524544884637468
"(-5.0, -3.0, -3.0)",0.0001245891758283914
"(-5.0, -3.0, -2.0)",0.0020397600700875185
"(-5.0, -3.0, -1.0)",0.0038457663902821022
"(-5.0, -3.0, 0.0)",0.0021602279837744116
"(-5.0, -3.0, 1.0)",0.0020318740238474036
"(-5.0, -2.0, -6.0)",4.235996604662697e-05
"(-5.0, -2.0, -5.0)",8.256913478943818e-05
"(-5.0, -2.0, -4.0)",0.0002877179170153369
"(-5.0, -2.0, -3.0)",0.002039760070087518
"(-5.0, -2.0, -2.0)",0.0038348307472948944
"(-5.0, -2.0, -1.0)",0.00401527969115863
"(-5.0, -2.0, 0.0)",0.004036212560598913
"(-5.0, -2.0, 1.0)",0.004006538038124413
"(-5.0, -1.0, -5.0)",0.00023190240633567515
"(-5.0, -1.0, -4.0)",0.0002551340420346545
"(-5.0, -1.0, -3.0)",0.0038457663902821022
"(-5.0, -1.0, -2.0)",0.00401527969115863
"(-5.0, -1.0, -1.0)",0.005925691720368777
"(-5.0, -1.0, 0.0)",0.00402894718513353
"(-5.0, -1.0, 1.0)",0.00400685411919684
"(-5.0, 0.0, -5.0)",0.0005823758305665347
"(-5.0, 0.0, -4.0)",0.0019805450623610857
"(-5.0, 0.0, -3.0)",0.0021602279837744116
"(-5.0, 0.0, -2.0)",0.004036212560598913
"(-5.0, 0.0, -1.0)",0.004028947185133529
"(-5.0, 0.0, 0.0)",0.0036992699253215852
"(-5.0, 0.0, 1.0)",0.004165076969452015
