i    j    dx   dy   dz   Jij         χ⁰↑             χ⁰↓
1    1   -1   -1   -1    0.803823    0.870175E-02    0.620515E-03
1    1   -1    0    0    0.803823    0.870175E-02    0.620515E-03
1    1    0   -1    0    0.803823    0.870175E-02    0.620515E-03
1    1    0    0   -1    0.803823    0.870175E-02    0.620515E-03
1    1    0    0    1    0.803823    0.870175E-02    0.620515E-03
1    1    0    1    0    0.803823    0.870175E-02    0.620515E-03
1    1    1    0    0    0.803823    0.870175E-02    0.620515E-03
1    1    1    1    1    0.803823    0.870175E-02    0.620515E-03
1    1   -1   -1    0    0.575587    0.537775E-01    0.149016E-01
1    1   -1    0   -1    0.575587    0.537775E-01    0.149016E-01
1    1    0   -1   -1    0.575587    0.537775E-01    0.149016E-01
1    1    0    1    1    0.575587    0.537775E-01    0.149016E-01
1    1    1    0    1    0.575587    0.537775E-01    0.149016E-01
1    1    1    1    0    0.575587    0.537775E-01    0.149016E-01
1    1   -2   -1   -1   -0.015219   -0.416255E-02   -0.691190E-03
1    1   -1   -2   -1   -0.015219   -0.416255E-02   -0.691190E-03
1    1    1    2    1   -0.015219   -0.416255E-02   -0.691190E-03
1    1    2    1    1   -0.015219   -0.416255E-02   -0.691190E-03
1    1   -1   -1   -2   -0.015219   -0.416255E-02   -0.691190E-03
1    1   -1    0    1   -0.015219   -0.416255E-02   -0.691190E-03
1    1   -1    1    0   -0.015219   -0.416255E-02   -0.691190E-03
1    1    0   -1    1   -0.015219   -0.416255E-02   -0.691190E-03
1    1    0    1   -1   -0.015219   -0.416255E-02   -0.691190E-03
1    1    1   -1    0   -0.015219   -0.416255E-02   -0.691190E-03
1    1    1    0   -1   -0.015219   -0.416255E-02   -0.691190E-03
1    1    1    1    2   -0.015219   -0.416255E-02   -0.691190E-03
1    1   -2   -2   -1   -0.105579    0.463330E-02    0.100755E-02
1    1   -2   -1   -2   -0.105579    0.463330E-02    0.100755E-02
1    1   -2   -1    0   -0.105579    0.463330E-02    0.100755E-02
1    1   -2    0   -1   -0.105579    0.463330E-02    0.100755E-02
1    1   -1   -2   -2   -0.105579    0.463330E-02    0.100755E-02
1    1   -1   -2    0   -0.105579    0.463330E-02    0.100755E-02
1    1   -1   -1    1   -0.105579    0.463330E-02    0.100755E-02
1    1   -1    0   -2   -0.105579    0.463330E-02    0.100755E-02
1    1   -1    1   -1   -0.105579    0.463330E-02    0.100755E-02
1    1   -1    1    1   -0.105579    0.463330E-02    0.100755E-02
1    1    0   -2   -1   -0.105579    0.463330E-02    0.100755E-02
1    1    0   -1   -2   -0.105579    0.463330E-02    0.100755E-02
1    1    0    1    2   -0.105579    0.463330E-02    0.100755E-02
1    1    0    2    1   -0.105579    0.463330E-02    0.100755E-02
1    1    1   -1   -1   -0.105579    0.463330E-02    0.100755E-02
1    1    1   -1    1   -0.105579    0.463330E-02    0.100755E-02
1    1    1    0    2   -0.105579    0.463330E-02    0.100755E-02
1    1    1    1   -1   -0.105579    0.463330E-02    0.100755E-02
1    1    1    2    0   -0.105579    0.463330E-02    0.100755E-02
1    1    1    2    2   -0.105579    0.463330E-02    0.100755E-02
1    1    2    0    1   -0.105579    0.463330E-02    0.100755E-02
1    1    2    1    0   -0.105579    0.463330E-02    0.100755E-02
1    1    2    1    2   -0.105579    0.463330E-02    0.100755E-02
