i   j      dx   dy   dz        Jij               χ⁰↑               χ⁰↓            Xzz
1   1      -1   -1   -1   0.803823      8.701750E-03      6.205150E-04   1.626326E-02
1   1      -1    0    0   0.803823      8.701750E-03      6.205150E-04   1.651596E-02
1   1       0   -1    0   0.803823      8.701750E-03      6.205150E-04   1.651596E-02
1   1       0    0   -1   0.803823      8.701750E-03      6.205150E-04   1.651596E-02
1   1       0    0    1   0.803823      8.701750E-03      6.205150E-04   1.651596E-02
1   1       0    1    0   0.803823      8.701750E-03      6.205150E-04   1.651596E-02
1   1       1    0    0   0.803823      8.701750E-03      6.205150E-04   1.651596E-02
1   1       1    1    1   0.803823      8.701750E-03      6.205150E-04   1.626326E-02
1   1      -1   -1    0   0.575587      5.377750E-02      1.490160E-02   2.939850E-02
1   1      -1    0   -1   0.575587      5.377750E-02      1.490160E-02   2.939850E-02
1   1       0   -1   -1   0.575587      5.377750E-02      1.490160E-02   2.939850E-02
1   1       0    1    1   0.575587      5.377750E-02      1.490160E-02   2.939850E-02
1   1       1    0    1   0.575587      5.377750E-02      1.490160E-02   2.939850E-02
1   1       1    1    0   0.575587      5.377750E-02      1.490160E-02   2.939850E-02
1   1      -2   -1   -1  -0.015219     -4.162550E-03     -6.911900E-04   1.227285E-02
1   1      -1   -2   -1  -0.015219     -4.162550E-03     -6.911900E-04   1.227285E-02
1   1       1    2    1  -0.015219     -4.162550E-03     -6.911900E-04   1.227285E-02
1   1       2    1    1  -0.015219     -4.162550E-03     -6.911900E-04   1.227285E-02
1   1      -1   -1   -2  -0.015219     -4.162550E-03     -6.911900E-04   1.227285E-02
1   1      -1    0    1  -0.015219     -4.162550E-03     -6.911900E-04   1.329235E-02
1   1      -1    1    0  -0.015219     -4.162550E-03     -6.911900E-04   1.329235E-02
1   1       0   -1    1  -0.015219     -4.162550E-03     -6.911900E-04   1.329235E-02
1   1       0    1   -1  -0.015219     -4.162550E-03     -6.911900E-04   1.329235E-02
1   1       1   -1    0  -0.015219     -4.162550E-03     -6.911900E-04   1.329235E-02
1   1       1    0   -1  -0.015219     -4.162550E-03     -6.911900E-04   1.329235E-02
1   1       1    1    2  -0.015219     -4.162550E-03     -6.911900E-04   1.227285E-02
1   1      -2   -2   -1  -0.105579      4.633300E-03      1.007550E-03   1.428853E-02
1   1      -2   -1   -2  -0.105579      4.633300E-03      1.007550E-03   1.428853E-02
1   1      -2   -1    0  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1      -2    0   -1  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1      -1   -2   -2  -0.105579      4.633300E-03      1.007550E-03   1.428853E-02
1   1      -1   -2    0  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1      -1   -1    1  -0.105579      4.633300E-03      1.007550E-03   1.589444E-02
1   1      -1    0   -2  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1      -1    1   -1  -0.105579      4.633300E-03      1.007550E-03   1.589444E-02
1   1      -1    1    1  -0.105579      4.633300E-03      1.007550E-03   1.589444E-02
1   1       0   -2   -1  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1       0   -1   -2  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1       0    1    2  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1       0    2    1  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1       1   -1   -1  -0.105579      4.633300E-03      1.007550E-03   1.589444E-02
1   1       1   -1    1  -0.105579      4.633300E-03      1.007550E-03   1.589444E-02
1   1       1    0    2  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1       1    1   -1  -0.105579      4.633300E-03      1.007550E-03   1.589444E-02
1   1       1    2    0  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1       1    2    2  -0.105579      4.633300E-03      1.007550E-03   1.428853E-02
1   1       2    0    1  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
1   1       2    1    0  -0.105579      4.633300E-03      1.007550E-03   1.557465E-02
