j-coordinate,Xzz
"(-1.5, -1.5, -1.5)",3.851405445495638e-05
"(-1.5, -1.5, -0.5)",5.995473127247374e-06
"(-1.5, -0.5, -1.5)",5.995351986616761e-06
"(-1.5, -0.5, -0.5)",7.166731689085685e-05
"(-0.5, -1.5, -1.5)",5.995351986616761e-06
"(-0.5, -1.5, -0.5)",7.166731689085685e-05
"(-0.5, -0.5, -1.5)",7.166607383938528e-05
"(-0.5, -0.5, -0.5)",-0.00013990570814802775
"(-1.0, 0.0, 0.0)",-0.0002619099539177957
"(0.0, -1.0, 0.0)",-0.0002619099539177955
"(0.0, 0.0, -1.0)",-0.00026203959675831197
"(0.0, 0.0, 1.0)",-0.0002619099539177956
"(0.0, 1.0, 0.0)",-0.00026203959675831197
"(1.0, 0.0, 0.0)",-0.00026203959675831197
"(-1.0, -1.0, 0.0)",0.00026676000313099443
"(-1.0, 0.0, -1.0)",0.0002667520226703598
"(-1.0, 0.0, 1.0)",0.00026676000313099443
"(-1.0, 1.0, 0.0)",0.0002667520226703598
"(0.0, -1.0, -1.0)",0.00026675202267035977
"(0.0, -1.0, 1.0)",0.00026676000313099443
"(0.0, 1.0, -1.0)",0.0002667440495925613
"(0.0, 1.0, 1.0)",0.0002667520226703598
"(1.0, -1.0, 0.0)",0.00026675202267035977
"(1.0, 0.0, -1.0)",0.0002667440495925613
"(1.0, 0.0, 1.0)",0.00026675202267035977
"(1.0, 1.0, 0.0)",0.0002667440495925613
"(-2.5, -1.5, -1.5)",7.15906645088107e-05
"(-2.5, -1.5, -0.5)",-2.1213106187628157e-05
"(-2.5, -0.5, -1.5)",-2.1212963907663946e-05
"(-2.5, -0.5, -0.5)",0.0001679336285094006
"(-1.5, -2.5, -1.5)",7.159066450881069e-05
"(-1.5, -2.5, -0.5)",-2.1213106187628157e-05
"(-1.5, 0.5, -1.5)",8.005525625706845e-06
"(-1.5, 0.5, -0.5)",-7.723525589497348e-05
"(-0.5, -2.5, -1.5)",-2.1212963907663946e-05
"(-0.5, -2.5, -0.5)",0.0001679336285094006
"(-0.5, 0.5, -1.5)",-7.723391836324213e-05
"(-0.5, 0.5, -0.5)",4.1239446197971064e-05
"(0.5, -1.5, -1.5)",8.005525625706845e-06
"(0.5, -1.5, -0.5)",-7.723525589497347e-05
"(0.5, -0.5, -1.5)",-7.723391836324213e-05
"(0.5, -0.5, -0.5)",4.123944619797106e-05
"(-1.5, -1.5, -2.5)",7.159029513751748e-05
"(-1.5, -1.5, 0.5)",8.005686496280002e-06
"(-1.5, -0.5, -2.5)",-2.1212679599199462e-05
"(-1.5, -0.5, 0.5)",-7.723614903164391e-05
"(-0.5, -1.5, -2.5)",-2.1212679599199462e-05
"(-0.5, -1.5, 0.5)",-7.72361490316439e-05
"(-0.5, -0.5, -2.5)",0.0001679299420158179
"(-0.5, -0.5, 0.5)",4.1239446197971064e-05
"(-1.0, -1.0, -1.0)",-0.0005034327666047016
"(-1.0, -1.0, 1.0)",-0.0005035294178323555
"(-1.0, 1.0, -1.0)",-0.0005033361342789357
"(-1.0, 1.0, 1.0)",-0.0005034327666047015
"(1.0, -1.0, -1.0)",-0.0005033361342789359
"(1.0, -1.0, 1.0)",-0.0005034327666047019
"(1.0, 1.0, -1.0)",-0.0005032395208456074
"(1.0, 1.0, 1.0)",-0.0005033361342789359
"(-2.0, 0.0, 0.0)",-0.0010286238261264452
"(0.0, -2.0, 0.0)",-0.0010286238261264452
"(0.0, 0.0, -2.0)",-0.0010284455067140154
"(0.0, 0.0, 2.0)",-0.0010286238261264452
"(0.0, 2.0, 0.0)",-0.0010284455067140154
"(2.0, 0.0, 0.0)",-0.0010284455067140154
"(-2.5, -2.5, -1.5)",4.6698369151192096e-05
"(-2.5, -2.5, -0.5)",4.625395607225177e-05
"(-2.5, -1.5, -2.5)",4.6698369151192096e-05
"(-2.5, -1.5, 0.5)",8.849260249114725e-06
"(-2.5, -0.5, -2.5)",4.625357606394273e-05
"(-2.5, -0.5, 0.5)",0.00011617218636077005
"(-2.5, 0.5, -1.5)",8.849200812752758e-06
"(-2.5, 0.5, -0.5)",0.00011617048608144465
"(-1.5, -2.5, -2.5)",4.6698369151192096e-05
"(-1.5, -2.5, 0.5)",8.849260249114723e-06
"(-1.5, 0.5, -2.5)",8.849082044932838e-06
"(-1.5, 0.5, 0.5)",0.00010140394073391751
"(-0.5, -2.5, -2.5)",4.625357606394273e-05
"(-0.5, -2.5, 0.5)",0.00011617218636077004
"(-0.5, 0.5, -2.5)",0.00011616793902292401
"(-0.5, 0.5, 0.5)",0.0009659363130219271
"(0.5, -2.5, -1.5)",8.849200812752758e-06
"(0.5, -2.5, -0.5)",0.00011617048608144465
"(0.5, -1.5, -2.5)",8.849082044932838e-06
"(0.5, -1.5, 0.5)",0.00010140394073391749
"(0.5, -0.5, -2.5)",0.00011616793902292401
"(0.5, -0.5, 0.5)",0.0009659363130219271
"(0.5, 0.5, -1.5)",0.00010140101676341653
"(0.5, 0.5, -0.5)",0.000965936313021927
"(-2.0, -1.0, 0.0)",-6.037485178428685e-05
"(-2.0, 0.0, -1.0)",-6.044401335272755e-05
"(-2.0, 0.0, 1.0)",-6.037485178428685e-05
"(-2.0, 1.0, 0.0)",-6.044401335272755e-05
"(-1.0, -2.0, 0.0)",-6.037485178428685e-05
"(-1.0, 0.0, -2.0)",-6.047859352558522e-05
"(-1.0, 0.0, 2.0)",-6.0374851784286904e-05
"(-1.0, 2.0, 0.0)",-6.047859352558522e-05
"(0.0, -2.0, -1.0)",-6.044401335272755e-05
"(0.0, -2.0, 1.0)",-6.037485178428685e-05
"(0.0, -1.0, -2.0)",-6.0478593525585165e-05
"(0.0, -1.0, 2.0)",-6.037485178428685e-05
"(0.0, 1.0, -2.0)",-6.0547752652249866e-05
"(0.0, 1.0, 2.0)",-6.044401335272755e-05
"(0.0, 2.0, -1.0)",-6.0547752652249866e-05
"(0.0, 2.0, 1.0)",-6.047859352558522e-05
"(1.0, -2.0, 0.0)",-6.04440133527275e-05
"(1.0, 0.0, -2.0)",-6.0547752652249866e-05
"(1.0, 0.0, 2.0)",-6.044401335272755e-05
"(1.0, 2.0, 0.0)",-6.0547752652249866e-05
"(2.0, -1.0, 0.0)",-6.0478593525585273e-05
"(2.0, 0.0, -1.0)",-6.0547752652249974e-05
"(2.0, 0.0, 1.0)",-6.0478593525585273e-05
"(2.0, 1.0, 0.0)",-6.0547752652249866e-05
"(-2.0, -1.0, -1.0)",-0.00046286544612495183
"(-2.0, -1.0, 1.0)",-0.0004628611933094551
"(-2.0, 1.0, -1.0)",-0.0004628697020807911
"(-2.0, 1.0, 1.0)",-0.0004628654461249519
"(-1.0, -2.0, -1.0)",-0.00046286544612495183
"(-1.0, -2.0, 1.0)",-0.000462861193309455
"(-1.0, -1.0, -2.0)",-0.00046286970208079116
"(-1.0, -1.0, 2.0)",-0.0004628611933094551
"(-1.0, 1.0, -2.0)",-0.0004628739611769431
"(-1.0, 1.0, 2.0)",-0.0004628654461249519
"(-1.0, 2.0, -1.0)",-0.0004628739611769431
"(-1.0, 2.0, 1.0)",-0.00046286970208079116
"(1.0, -2.0, -1.0)",-0.0004628697020807911
"(1.0, -2.0, 1.0)",-0.0004628654461249518
"(1.0, -1.0, -2.0)",-0.0004628739611769431
"(1.0, -1.0, 2.0)",-0.0004628654461249519
"(1.0, 1.0, -2.0)",-0.0004628782234133782
"(1.0, 1.0, 2.0)",-0.0004628697020807911
"(1.0, 2.0, -1.0)",-0.0004628782234133782
"(1.0, 2.0, 1.0)",-0.00046287396117694314
"(2.0, -1.0, -1.0)",-0.0004628739611769431
"(2.0, -1.0, 1.0)",-0.0004628697020807911
"(2.0, 1.0, -1.0)",-0.0004628782234133782
"(2.0, 1.0, 1.0)",-0.0004628739611769431
"(-2.5, -2.5, -2.5)",-0.00016143991505331083
"(-2.5, -2.5, 0.5)",-8.797161769894907e-05
"(-2.5, 0.5, -2.5)",-8.797042876484585e-05
"(-2.5, 0.5, 0.5)",3.1932380079142286e-06
"(-1.5, -1.5, 1.5)",8.03800280955372e-06
"(-1.5, -0.5, 1.5)",-7.789270855308626e-05
"(-1.5, 1.5, -1.5)",8.03776769287704e-06
"(-1.5, 1.5, -0.5)",-7.789113435098656e-05
"(-0.5, -1.5, 1.5)",-7.789270855308627e-05
"(-0.5, -0.5, 1.5)",4.154949071451109e-05
"(-0.5, 1.5, -1.5)",-7.788956283568008e-05
"(-0.5, 1.5, -0.5)",4.154829370636267e-05
