i   j        dx     dy     dz         Jij            χ⁰↑            χ⁰↓            Xzz
1   1    -1.000 -1.000 -1.000    0.000000   3.701760E-02   3.701760E-02   1.850880E-02
1   1     1.000  1.000  1.000    0.000000   3.701760E-02   3.701760E-02   1.850880E-02
1   1     0.000 -1.000  0.000    0.000000   1.786030E-02   1.786030E-02   8.930150E-03
1   1     0.000  0.000 -1.000    0.000000   1.786030E-02   1.786030E-02   8.930150E-03
1   1     0.000  0.000  1.000    0.000000   1.786030E-02   1.786030E-02   8.930150E-03
1   1     0.000  1.000  0.000    0.000000   1.786030E-02   1.786030E-02   8.930150E-03
1   1    -1.000  0.000  0.000    0.000000  -1.117030E-01  -1.117030E-01  -5.585150E-02
1   1     1.000  0.000  0.000    0.000000  -1.117030E-01  -1.117030E-01  -5.585150E-02
1   1     0.000 -1.000 -1.000    0.000000   3.613130E-02   3.613130E-02   1.806565E-02
1   1     0.000  1.000  1.000    0.000000   3.613130E-02   3.613130E-02   1.806565E-02
1   1    -1.000 -1.000  0.000    0.000000   4.946780E-02   4.946780E-02   2.473390E-02
1   1    -1.000  0.000 -1.000    0.000000   4.946780E-02   4.946780E-02   2.473390E-02
1   1     1.000  0.000  1.000    0.000000   4.946780E-02   4.946780E-02   2.473390E-02
1   1     1.000  1.000  0.000    0.000000   4.946780E-02   4.946780E-02   2.473390E-02
1   1    -1.000 -2.000 -1.000    0.000000   1.886230E-03   1.886230E-03   9.431150E-04
1   1    -1.000 -1.000 -2.000    0.000000   1.886230E-03   1.886230E-03   9.431150E-04
1   1     1.000  1.000  2.000    0.000000   1.886230E-03   1.886230E-03   9.431150E-04
1   1     1.000  2.000  1.000    0.000000   1.886230E-03   1.886230E-03   9.431150E-04
1   1    -2.000 -1.000 -1.000    0.000000  -2.101870E-03  -2.101870E-03  -1.050935E-03
1   1     2.000  1.000  1.000    0.000000  -2.101870E-03  -2.101870E-03  -1.050935E-03
1   1    -1.000  0.000  1.000    0.000000  -2.894450E-04  -2.894450E-04  -1.447225E-04
1   1    -1.000  1.000  0.000    0.000000  -2.894450E-04  -2.894450E-04  -1.447225E-04
1   1     1.000 -1.000  0.000    0.000000  -2.894450E-04  -2.894450E-04  -1.447225E-04
1   1     1.000  0.000 -1.000    0.000000  -2.894450E-04  -2.894450E-04  -1.447225E-04
1   1     0.000 -1.000  1.000    0.000000  -4.514040E-03  -4.514040E-03  -2.257020E-03
1   1     0.000  1.000 -1.000    0.000000  -4.514040E-03  -4.514040E-03  -2.257020E-03
1   1    -1.000 -2.000 -2.000    0.000000   6.531660E-03   6.531660E-03   3.265830E-03
1   1     1.000  2.000  2.000    0.000000   6.531660E-03   6.531660E-03   3.265830E-03
1   1     0.000 -2.000 -1.000    0.000000   1.553220E-03   1.553220E-03   7.766100E-04
1   1     0.000 -1.000 -2.000    0.000000   1.553220E-03   1.553220E-03   7.766100E-04
1   1     0.000  1.000  2.000    0.000000   1.553220E-03   1.553220E-03   7.766100E-04
1   1     0.000  2.000  1.000    0.000000   1.553220E-03   1.553220E-03   7.766100E-04
1   1    -2.000 -2.000 -1.000    0.000000  -1.360080E-02  -1.360080E-02  -6.800400E-03
