i;j;j-coordinate;N_k;Xzz
1;1;(-1.0, -1.0, -1.0);583;0.0185088
1;1;(1.0, 1.0, 1.0);583;0.0185088
1;1;(0.0, -1.0, 0.0);577;0.00893015
1;1;(0.0, 0.0, -1.0);577;0.00893015
1;1;(0.0, 0.0, 1.0);577;0.00893015
1;1;(0.0, 1.0, 0.0);577;0.00893015
1;1;(-1.0, 0.0, 0.0);579;-0.0558515
1;1;(1.0, 0.0, 0.0);579;-0.0558515
1;1;(0.0, -1.0, -1.0);567;0.01806565
1;1;(0.0, 1.0, 1.0);567;0.01806565
1;1;(-1.0, -1.0, 0.0);565;0.0247339
1;1;(-1.0, 0.0, -1.0);565;0.0247339
1;1;(1.0, 0.0, 1.0);565;0.0247339
1;1;(1.0, 1.0, 0.0);565;0.0247339
1;1;(-1.0, -2.0, -1.0);515;0.000943115
1;1;(-1.0, -1.0, -2.0);515;0.000943115
1;1;(1.0, 1.0, 2.0);515;0.000943115
1;1;(1.0, 2.0, 1.0);515;0.000943115
1;1;(-2.0, -1.0, -1.0);519;-0.001050935
1;1;(2.0, 1.0, 1.0);519;-0.001050935
1;1;(-1.0, 0.0, 1.0);515;-0.0001447225
1;1;(-1.0, 1.0, 0.0);515;-0.0001447225
1;1;(1.0, -1.0, 0.0);515;-0.0001447225
1;1;(1.0, 0.0, -1.0);515;-0.0001447225
1;1;(0.0, -1.0, 1.0);515;-0.00225702
1;1;(0.0, 1.0, -1.0);515;-0.00225702
1;1;(-1.0, -2.0, -2.0);493;0.00326583
1;1;(1.0, 2.0, 2.0);493;0.00326583
1;1;(0.0, -2.0, -1.0);485;0.00077661
1;1;(0.0, -1.0, -2.0);485;0.00077661
1;1;(0.0, 1.0, 2.0);485;0.00077661
1;1;(0.0, 2.0, 1.0);485;0.00077661
1;1;(-2.0, -2.0, -1.0);489;-0.0068004
1;1;(-2.0, -1.0, -2.0);489;-0.0068004
1;1;(2.0, 1.0, 2.0);489;-0.0068004
1;1;(2.0, 2.0, 1.0);489;-0.0068004
1;1;(-1.0, 1.0, 1.0);493;-0.001292135
1;1;(1.0, -1.0, -1.0);493;-0.001292135
1;1;(-1.0, -2.0, 0.0);485;-0.000439605
1;1;(-1.0, 0.0, -2.0);485;-0.000439605
1;1;(1.0, 0.0, 2.0);485;-0.000439605
1;1;(1.0, 2.0, 0.0);485;-0.000439605
1;1;(-2.0, -1.0, 0.0);485;-0.001171005
1;1;(-2.0, 0.0, -1.0);485;-0.001171005
1;1;(2.0, 0.0, 1.0);485;-0.001171005
1;1;(2.0, 1.0, 0.0);485;-0.001171005
1;1;(-1.0, -1.0, 1.0);489;-0.00100155
1;1;(-1.0, 1.0, -1.0);489;-0.00100155
1;1;(1.0, -1.0, 1.0);489;-0.00100155
1;1;(1.0, 1.0, -1.0);489;-0.00100155
1;1;(-2.0, -2.0, -2.0);488;0.016657
1;1;(2.0, 2.0, 2.0);488;0.016657
1;1;(0.0, -2.0, 0.0);480;0.003327175
1;1;(0.0, 0.0, -2.0);480;0.003327175
1;1;(0.0, 0.0, 2.0);480;0.003327175
1;1;(0.0, 2.0, 0.0);480;0.003327175
1;1;(-2.0, 0.0, 0.0);484;0.00086422
1;1;(2.0, 0.0, 0.0);484;0.00086422
1;1;(0.0, -2.0, -2.0);454;0.003165745
1;1;(0.0, 2.0, 2.0);454;0.003165745
1;1;(-2.0, -2.0, 0.0);450;0.0038176
1;1;(-2.0, 0.0, -2.0);450;0.0038176
1;1;(2.0, 0.0, 2.0);450;0.0038176
1;1;(2.0, 2.0, 0.0);450;0.0038176
1;1;(-2.0, -3.0, -2.0);435;0.0003267465
1;1;(-2.0, -2.0, -3.0);435;0.0003267465
1;1;(2.0, 2.0, 3.0);435;0.0003267465
1;1;(2.0, 3.0, 2.0);435;0.0003267465
1;1;(-3.0, -2.0, -2.0);435;0.000626095
1;1;(3.0, 2.0, 2.0);435;0.000626095
1;1;(-1.0, -1.0, -3.0);431;0.000797585
1;1;(1.0, 1.0, 3.0);431;0.000797585
1;1;(-1.0, -3.0, -1.0);431;0.000797585
1;1;(1.0, 3.0, 1.0);431;0.000797585
1;1;(-3.0, -1.0, -1.0);435;0.0002180905
1;1;(3.0, 1.0, 1.0);435;0.0002180905
1;1;(-1.0, 0.0, 2.0);429;0.002618905
1;1;(-1.0, 2.0, 0.0);429;0.002618905
1;1;(1.0, -2.0, 0.0);429;0.002618905
1;1;(1.0, 0.0, -2.0);429;0.002618905
1;1;(-2.0, 0.0, 1.0);429;0.0002600975
1;1;(-2.0, 1.0, 0.0);429;0.0002600975
1;1;(2.0, -1.0, 0.0);429;0.0002600975
1;1;(2.0, 0.0, -1.0);429;0.0002600975
1;1;(0.0, -1.0, 2.0);427;0.000336898
1;1;(0.0, 1.0, -2.0);427;0.000336898
1;1;(0.0, -2.0, 1.0);427;0.000336898
1;1;(0.0, 2.0, -1.0);427;0.000336898
1;1;(-1.0, -3.0, -2.0);427;-0.0001564295
1;1;(-1.0, -2.0, -3.0);427;-0.0001564295
1;1;(1.0, 2.0, 3.0);427;-0.0001564295
1;1;(1.0, 3.0, 2.0);427;-0.0001564295
1;1;(-2.0, -3.0, -1.0);423;0.000240704
1;1;(-2.0, -1.0, -3.0);423;0.000240704
1;1;(2.0, 1.0, 3.0);423;0.000240704
1;1;(2.0, 3.0, 1.0);423;0.000240704
1;1;(-1.0, 1.0, 2.0);423;-0.000937345
1;1;(-1.0, 2.0, 1.0);423;-0.000937345
1;1;(1.0, -2.0, -1.0);423;-0.000937345
1;1;(1.0, -1.0, -2.0);423;-0.000937345
1;1;(-3.0, -2.0, -1.0);425;-0.000277193
1;1;(-3.0, -1.0, -2.0);425;-0.000277193
1;1;(3.0, 1.0, 2.0);425;-0.000277193
1;1;(3.0, 2.0, 1.0);425;-0.000277193
1;1;(-2.0, -1.0, 1.0);423;-2.41243e-05
1;1;(-2.0, 1.0, -1.0);423;-2.41243e-05
1;1;(2.0, -1.0, 1.0);423;-2.41243e-05
1;1;(2.0, 1.0, -1.0);423;-2.41243e-05
1;1;(-1.0, 1.0, -2.0);421;-0.0006826
1;1;(1.0, -1.0, 2.0);421;-0.0006826
1;1;(-1.0, -2.0, 1.0);421;-0.0006826
1;1;(1.0, 2.0, -1.0);421;-0.0006826
1;1;(-2.0, -3.0, -3.0);413;0.00131241
1;1;(2.0, 3.0, 3.0);413;0.00131241
1;1;(-3.0, -3.0, -2.0);405;0.004889195
1;1;(-3.0, -2.0, -3.0);405;0.004889195
1;1;(3.0, 2.0, 3.0);405;0.004889195
