i    j    dx   dy   dz        Jij             χ⁰↑    χ⁰↓
1    1   -1   -1   -1         NaN             NaN    0.370176E-01
1    1    1    1    1         NaN             NaN    0.370176E-01
1    1    0   -1    0         NaN             NaN    0.178603E-01
1    1    0    0   -1         NaN             NaN    0.178603E-01
1    1    0    0    1         NaN             NaN    0.178603E-01
1    1    0    1    0         NaN             NaN    0.178603E-01
1    1   -1    0    0         NaN             NaN   -0.111703E+00
1    1    1    0    0         NaN             NaN   -0.111703E+00
1    1    0   -1   -1         NaN             NaN    0.361313E-01
1    1    0    1    1         NaN             NaN    0.361313E-01
1    1   -1   -1    0         NaN             NaN    0.494678E-01
1    1   -1    0   -1         NaN             NaN    0.494678E-01
1    1    1    0    1         NaN             NaN    0.494678E-01
1    1    1    1    0         NaN             NaN    0.494678E-01
1    1   -1   -2   -1         NaN             NaN    0.188623E-02
1    1   -1   -1   -2         NaN             NaN    0.188623E-02
1    1    1    1    2         NaN             NaN    0.188623E-02
1    1    1    2    1         NaN             NaN    0.188623E-02
1    1   -2   -1   -1         NaN             NaN   -0.210187E-02
1    1    2    1    1         NaN             NaN   -0.210187E-02
1    1   -1    0    1         NaN             NaN   -0.289445E-03
1    1   -1    1    0         NaN             NaN   -0.289445E-03
1    1    1   -1    0         NaN             NaN   -0.289445E-03
1    1    1    0   -1         NaN             NaN   -0.289445E-03
1    1    0   -1    1         NaN             NaN   -0.451404E-02
1    1    0    1   -1         NaN             NaN   -0.451404E-02
1    1   -1   -2   -2         NaN             NaN    0.653166E-02
1    1    1    2    2         NaN             NaN    0.653166E-02
1    1    0   -2   -1         NaN             NaN    0.155322E-02
1    1    0   -1   -2         NaN             NaN    0.155322E-02
1    1    0    1    2         NaN             NaN    0.155322E-02
1    1    0    2    1         NaN             NaN    0.155322E-02
1    1   -2   -2   -1         NaN             NaN   -0.136008E-01
1    1   -2   -1   -2         NaN             NaN   -0.136008E-01
1    1    2    1    2         NaN             NaN   -0.136008E-01
1    1    2    2    1         NaN             NaN   -0.136008E-01
1    1   -1    1    1         NaN             NaN   -0.258427E-02
1    1    1   -1   -1         NaN             NaN   -0.258427E-02
1    1   -1   -2    0         NaN             NaN   -0.879210E-03
1    1   -1    0   -2         NaN             NaN   -0.879210E-03
1    1    1    0    2         NaN             NaN   -0.879210E-03
1    1    1    2    0         NaN             NaN   -0.879210E-03
1    1   -2   -1    0         NaN             NaN   -0.234201E-02
1    1   -2    0   -1         NaN             NaN   -0.234201E-02
1    1    2    0    1         NaN             NaN   -0.234201E-02
1    1    2    1    0         NaN             NaN   -0.234201E-02
1    1   -1   -1    1         NaN             NaN   -0.200310E-02
1    1   -1    1   -1         NaN             NaN   -0.200310E-02
1    1    1   -1    1         NaN             NaN   -0.200310E-02
1    1    1    1   -1         NaN             NaN   -0.200310E-02
1    1   -2   -2   -2         NaN             NaN    0.333140E-01
1    1    2    2    2         NaN             NaN    0.333140E-01
1    1    0   -2    0         NaN             NaN    0.665435E-02
1    1    0    0   -2         NaN             NaN    0.665435E-02
1    1    0    0    2         NaN             NaN    0.665435E-02
1    1    0    2    0         NaN             NaN    0.665435E-02
1    1   -2    0    0         NaN             NaN    0.172844E-02
1    1    2    0    0         NaN             NaN    0.172844E-02
1    1    0   -2   -2         NaN             NaN    0.633149E-02
1    1    0    2    2         NaN             NaN    0.633149E-02
1    1   -2   -2    0         NaN             NaN    0.763520E-02
1    1   -2    0   -2         NaN             NaN    0.763520E-02
1    1    2    0    2         NaN             NaN    0.763520E-02
1    1    2    2    0         NaN             NaN    0.763520E-02
1    1   -2   -3   -2         NaN             NaN    0.653493E-03
1    1   -2   -2   -3         NaN             NaN    0.653493E-03
1    1    2    2    3         NaN             NaN    0.653493E-03
1    1    2    3    2         NaN             NaN    0.653493E-03
1    1   -3   -2   -2         NaN             NaN    0.125219E-02
1    1    3    2    2         NaN             NaN    0.125219E-02
1    1   -1   -1   -3         NaN             NaN    0.159517E-02
1    1    1    1    3         NaN             NaN    0.159517E-02
1    1   -1   -3   -1         NaN             NaN    0.159517E-02
1    1    1    3    1         NaN             NaN    0.159517E-02
1    1   -3   -1   -1         NaN             NaN    0.436181E-03
1    1    3    1    1         NaN             NaN    0.436181E-03
1    1   -1    0    2         NaN             NaN    0.523781E-02
1    1   -1    2    0         NaN             NaN    0.523781E-02
1    1    1   -2    0         NaN             NaN    0.523781E-02
1    1    1    0   -2         NaN             NaN    0.523781E-02
1    1   -2    0    1         NaN             NaN    0.520195E-03
1    1   -2    1    0         NaN             NaN    0.520195E-03
1    1    2   -1    0         NaN             NaN    0.520195E-03
1    1    2    0   -1         NaN             NaN    0.520195E-03
1    1    0   -1    2         NaN             NaN    0.673796E-03
1    1    0    1   -2         NaN             NaN    0.673796E-03
1    1    0   -2    1         NaN             NaN    0.673796E-03
1    1    0    2   -1         NaN             NaN    0.673796E-03
1    1   -1   -3   -2         NaN             NaN   -0.312859E-03
1    1   -1   -2   -3         NaN             NaN   -0.312859E-03
1    1    1    2    3         NaN             NaN   -0.312859E-03
1    1    1    3    2         NaN             NaN   -0.312859E-03
1    1   -2   -3   -1         NaN             NaN    0.481408E-03
1    1   -2   -1   -3         NaN             NaN    0.481408E-03
1    1    2    1    3         NaN             NaN    0.481408E-03
1    1    2    3    1         NaN             NaN    0.481408E-03
1    1   -1    1    2         NaN             NaN   -0.187469E-02
1    1   -1    2    1         NaN             NaN   -0.187469E-02
1    1    1   -2   -1         NaN             NaN   -0.187469E-02
1    1    1   -1   -2         NaN             NaN   -0.187469E-02
1    1   -3   -2   -1         NaN             NaN   -0.554386E-03
1    1   -3   -1   -2         NaN             NaN   -0.554386E-03
1    1    3    1    2         NaN             NaN   -0.554386E-03
1    1    3    2    1         NaN             NaN   -0.554386E-03
1    1   -2   -1    1         NaN             NaN   -0.482486E-04
1    1   -2    1   -1         NaN             NaN   -0.482486E-04
1    1    2   -1    1         NaN             NaN   -0.482486E-04
1    1    2    1   -1         NaN             NaN   -0.482486E-04
1    1   -1    1   -2         NaN             NaN   -0.136520E-02
1    1    1   -1    2         NaN             NaN   -0.136520E-02
1    1   -1   -2    1         NaN             NaN   -0.136520E-02
1    1    1    2   -1         NaN             NaN   -0.136520E-02
1    1   -2   -3   -3         NaN             NaN    0.262482E-02
1    1    2    3    3         NaN             NaN    0.262482E-02
1    1   -3   -3   -2         NaN             NaN    0.977839E-02
1    1   -3   -2   -3         NaN             NaN    0.977839E-02
1    1    3    2    3         NaN             NaN    0.977839E-02
1    1    3    3    2         NaN             NaN    0.977839E-02
1    1    0   -3   -1         NaN             NaN    0.984669E-03
1    1    0   -1   -3         NaN             NaN    0.984669E-03
1    1    0    1    3         NaN             NaN    0.984669E-03
1    1    0    3    1         NaN             NaN    0.984669E-03
1    1   -1   -3    0         NaN             NaN    0.257472E-02
1    1   -1    0   -3         NaN             NaN    0.257472E-02
1    1    1    0    3         NaN             NaN    0.257472E-02
1    1    1    3    0         NaN             NaN    0.257472E-02
1    1   -2    1    1         NaN             NaN    0.235085E-03
1    1    2   -1   -1         NaN             NaN    0.235085E-03
1    1   -3   -1    0         NaN             NaN    0.161979E-02
1    1   -3    0   -1         NaN             NaN    0.161979E-02
1    1    3    0    1         NaN             NaN    0.161979E-02
1    1    3    1    0         NaN             NaN    0.161979E-02
1    1   -1   -1    2         NaN             NaN    0.188065E-02
1    1    1    1   -2         NaN             NaN    0.188065E-02
1    1   -1    2   -1         NaN             NaN    0.188065E-02
1    1    1   -2    1         NaN             NaN    0.188065E-02
1    1   -1   -3   -3         NaN             NaN   -0.866080E-03
1    1    1    3    3         NaN             NaN   -0.866080E-03
1    1   -3   -3   -3         NaN             NaN   -0.532587E-02
1    1    3    3    3         NaN             NaN   -0.532587E-02
1    1    0   -3   -2         NaN             NaN   -0.290217E-03
1    1    0    3    2         NaN             NaN   -0.290217E-03
1    1    0   -2   -3         NaN             NaN   -0.290217E-03
1    1    0    2    3         NaN             NaN   -0.290217E-03
1    1   -1    2    2         NaN             NaN    0.111061E-02
1    1    1   -2   -2         NaN             NaN    0.111061E-02
1    1   -3   -3   -1         NaN             NaN   -0.122602E-02
1    1   -3   -1   -3         NaN             NaN   -0.122602E-02
1    1    3    1    3         NaN             NaN   -0.122602E-02
1    1    3    3    1         NaN             NaN   -0.122602E-02
1    1    0   -3    0         NaN             NaN   -0.664144E-03
1    1    0    0   -3         NaN             NaN   -0.664144E-03
1    1    0    0    3         NaN             NaN   -0.664144E-03
1    1    0    3    0         NaN             NaN   -0.664144E-03
1    1   -2    0   -3         NaN             NaN   -0.176577E-02
1    1    2    0    3         NaN             NaN   -0.176577E-02
1    1   -2   -3    0         NaN             NaN   -0.176577E-02
1    1    2    3    0         NaN             NaN   -0.176577E-02
1    1   -3    0   -2         NaN             NaN    0.480697E-03
1    1    3    0    2         NaN             NaN    0.480697E-03
1    1   -3   -2    0         NaN             NaN    0.480697E-03
1    1    3    2    0         NaN             NaN    0.480697E-03
1    1   -3    0    0         NaN             NaN    0.147343E-02
1    1    3    0    0         NaN             NaN    0.147343E-02
1    1   -2    1   -2         NaN             NaN   -0.125845E-03
1    1    2   -1    2         NaN             NaN   -0.125845E-03
1    1   -2   -2    1         NaN             NaN   -0.125845E-03
1    1    2    2   -1         NaN             NaN   -0.125845E-03
1    1   -2   -4   -2         NaN             NaN   -0.564959E-03
1    1   -2   -2   -4         NaN             NaN   -0.564959E-03
1    1    2    2    4         NaN             NaN   -0.564959E-03
1    1    2    4    2         NaN             NaN   -0.564959E-03
1    1   -4   -2   -2         NaN             NaN   -0.668735E-03
1    1    4    2    2         NaN             NaN   -0.668735E-03
1    1   -2    0    2         NaN             NaN   -0.171478E-02
1    1   -2    2    0         NaN             NaN   -0.171478E-02
1    1    2   -2    0         NaN             NaN   -0.171478E-02
1    1    2    0   -2         NaN             NaN   -0.171478E-02
1    1    0   -2    2         NaN             NaN   -0.126753E-02
1    1    0    2   -2         NaN             NaN   -0.126753E-02
1    1   -2   -3   -4         NaN             NaN    0.193606E-03
1    1    2    3    4         NaN             NaN    0.193606E-03
1    1   -2   -4   -3         NaN             NaN    0.193606E-03
1    1    2    4    3         NaN             NaN    0.193606E-03
1    1   -1   -2   -4         NaN             NaN    0.645655E-03
1    1    1    2    4         NaN             NaN    0.645655E-03
1    1   -1   -4   -2         NaN             NaN    0.645655E-03
1    1    1    4    2         NaN             NaN    0.645655E-03
1    1   -3   -4   -2         NaN             NaN   -0.490673E-03
1    1   -3   -2   -4         NaN             NaN   -0.490673E-03
1    1    3    2    4         NaN             NaN   -0.490673E-03
1    1    3    4    2         NaN             NaN   -0.490673E-03
1    1   -4   -3   -2         NaN             NaN   -0.261315E-03
1    1   -4   -2   -3         NaN             NaN   -0.261315E-03
1    1    4    2    3         NaN             NaN   -0.261315E-03
1    1    4    3    2         NaN             NaN   -0.261315E-03
1    1   -2   -1   -4         NaN             NaN   -0.785028E-04
1    1    2    1    4         NaN             NaN   -0.785028E-04
1    1   -2   -4   -1         NaN             NaN   -0.785028E-04
1    1    2    4    1         NaN             NaN   -0.785028E-04
