i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
1;1;-1.0;-1.0;-1.0;0.0;0.0370176;0.0370176
1;1;1.0;1.0;1.0;0.0;0.0370176;0.0370176
1;1;0.0;-1.0;0.0;0.0;0.0178603;0.0178603
1;1;0.0;0.0;-1.0;0.0;0.0178603;0.0178603
1;1;0.0;0.0;1.0;0.0;0.0178603;0.0178603
1;1;0.0;1.0;0.0;0.0;0.0178603;0.0178603
1;1;-1.0;0.0;0.0;0.0;-0.111703;-0.111703
1;1;1.0;0.0;0.0;0.0;-0.111703;-0.111703
1;1;0.0;-1.0;-1.0;0.0;0.0361313;0.0361313
1;1;0.0;1.0;1.0;0.0;0.0361313;0.0361313
1;1;-1.0;-1.0;0.0;0.0;0.0494678;0.0494678
1;1;-1.0;0.0;-1.0;0.0;0.0494678;0.0494678
1;1;1.0;0.0;1.0;0.0;0.0494678;0.0494678
1;1;1.0;1.0;0.0;0.0;0.0494678;0.0494678
1;1;-1.0;-2.0;-1.0;0.0;0.00188623;0.00188623
1;1;-1.0;-1.0;-2.0;0.0;0.00188623;0.00188623
1;1;1.0;1.0;2.0;0.0;0.00188623;0.00188623
1;1;1.0;2.0;1.0;0.0;0.00188623;0.00188623
1;1;-2.0;-1.0;-1.0;0.0;-0.00210187;-0.00210187
1;1;2.0;1.0;1.0;0.0;-0.00210187;-0.00210187
1;1;-1.0;0.0;1.0;0.0;-0.000289445;-0.000289445
1;1;-1.0;1.0;0.0;0.0;-0.000289445;-0.000289445
1;1;1.0;-1.0;0.0;0.0;-0.000289445;-0.000289445
1;1;1.0;0.0;-1.0;0.0;-0.000289445;-0.000289445
1;1;0.0;-1.0;1.0;0.0;-0.00451404;-0.00451404
1;1;0.0;1.0;-1.0;0.0;-0.00451404;-0.00451404
1;1;-1.0;-2.0;-2.0;0.0;0.00653166;0.00653166
1;1;1.0;2.0;2.0;0.0;0.00653166;0.00653166
1;1;0.0;-2.0;-1.0;0.0;0.00155322;0.00155322
1;1;0.0;-1.0;-2.0;0.0;0.00155322;0.00155322
1;1;0.0;1.0;2.0;0.0;0.00155322;0.00155322
1;1;0.0;2.0;1.0;0.0;0.00155322;0.00155322
1;1;-2.0;-2.0;-1.0;0.0;-0.0136008;-0.0136008
1;1;-2.0;-1.0;-2.0;0.0;-0.0136008;-0.0136008
1;1;2.0;1.0;2.0;0.0;-0.0136008;-0.0136008
1;1;2.0;2.0;1.0;0.0;-0.0136008;-0.0136008
1;1;-1.0;1.0;1.0;0.0;-0.00258427;-0.00258427
1;1;1.0;-1.0;-1.0;0.0;-0.00258427;-0.00258427
1;1;-1.0;-2.0;0.0;0.0;-0.00087921;-0.00087921
1;1;-1.0;0.0;-2.0;0.0;-0.00087921;-0.00087921
1;1;1.0;0.0;2.0;0.0;-0.00087921;-0.00087921
1;1;1.0;2.0;0.0;0.0;-0.00087921;-0.00087921
1;1;-2.0;-1.0;0.0;0.0;-0.00234201;-0.00234201
1;1;-2.0;0.0;-1.0;0.0;-0.00234201;-0.00234201
1;1;2.0;0.0;1.0;0.0;-0.00234201;-0.00234201
1;1;2.0;1.0;0.0;0.0;-0.00234201;-0.00234201
1;1;-1.0;-1.0;1.0;0.0;-0.0020031;-0.0020031
1;1;-1.0;1.0;-1.0;0.0;-0.0020031;-0.0020031
1;1;1.0;-1.0;1.0;0.0;-0.0020031;-0.0020031
1;1;1.0;1.0;-1.0;0.0;-0.0020031;-0.0020031
1;1;-2.0;-2.0;-2.0;0.0;0.033314;0.033314
1;1;2.0;2.0;2.0;0.0;0.033314;0.033314
1;1;0.0;-2.0;0.0;0.0;0.00665435;0.00665435
1;1;0.0;0.0;-2.0;0.0;0.00665435;0.00665435
1;1;0.0;0.0;2.0;0.0;0.00665435;0.00665435
1;1;0.0;2.0;0.0;0.0;0.00665435;0.00665435
1;1;-2.0;0.0;0.0;0.0;0.00172844;0.00172844
1;1;2.0;0.0;0.0;0.0;0.00172844;0.00172844
1;1;0.0;-2.0;-2.0;0.0;0.00633149;0.00633149
1;1;0.0;2.0;2.0;0.0;0.00633149;0.00633149
1;1;-2.0;-2.0;0.0;0.0;0.0076352;0.0076352
1;1;-2.0;0.0;-2.0;0.0;0.0076352;0.0076352
1;1;2.0;0.0;2.0;0.0;0.0076352;0.0076352
1;1;2.0;2.0;0.0;0.0;0.0076352;0.0076352
1;1;-2.0;-3.0;-2.0;0.0;0.000653493;0.000653493
1;1;-2.0;-2.0;-3.0;0.0;0.000653493;0.000653493
1;1;2.0;2.0;3.0;0.0;0.000653493;0.000653493
1;1;2.0;3.0;2.0;0.0;0.000653493;0.000653493
1;1;-3.0;-2.0;-2.0;0.0;0.00125219;0.00125219
1;1;3.0;2.0;2.0;0.0;0.00125219;0.00125219
1;1;-1.0;-1.0;-3.0;0.0;0.00159517;0.00159517
1;1;1.0;1.0;3.0;0.0;0.00159517;0.00159517
1;1;-1.0;-3.0;-1.0;0.0;0.00159517;0.00159517
1;1;1.0;3.0;1.0;0.0;0.00159517;0.00159517
1;1;-3.0;-1.0;-1.0;0.0;0.000436181;0.000436181
1;1;3.0;1.0;1.0;0.0;0.000436181;0.000436181
1;1;-1.0;0.0;2.0;0.0;0.00523781;0.00523781
1;1;-1.0;2.0;0.0;0.0;0.00523781;0.00523781
1;1;1.0;-2.0;0.0;0.0;0.00523781;0.00523781
1;1;1.0;0.0;-2.0;0.0;0.00523781;0.00523781
1;1;-2.0;0.0;1.0;0.0;0.000520195;0.000520195
1;1;-2.0;1.0;0.0;0.0;0.000520195;0.000520195
1;1;2.0;-1.0;0.0;0.0;0.000520195;0.000520195
1;1;2.0;0.0;-1.0;0.0;0.000520195;0.000520195
1;1;0.0;-1.0;2.0;0.0;0.000673796;0.000673796
1;1;0.0;1.0;-2.0;0.0;0.000673796;0.000673796
1;1;0.0;-2.0;1.0;0.0;0.000673796;0.000673796
1;1;0.0;2.0;-1.0;0.0;0.000673796;0.000673796
1;1;-1.0;-3.0;-2.0;0.0;-0.000312859;-0.000312859
1;1;-1.0;-2.0;-3.0;0.0;-0.000312859;-0.000312859
1;1;1.0;2.0;3.0;0.0;-0.000312859;-0.000312859
1;1;1.0;3.0;2.0;0.0;-0.000312859;-0.000312859
1;1;-2.0;-3.0;-1.0;0.0;0.000481408;0.000481408
1;1;-2.0;-1.0;-3.0;0.0;0.000481408;0.000481408
1;1;2.0;1.0;3.0;0.0;0.000481408;0.000481408
1;1;2.0;3.0;1.0;0.0;0.000481408;0.000481408
1;1;-1.0;1.0;2.0;0.0;-0.00187469;-0.00187469
