j-coordinate,Xzz
"(-1.0, -1.0, -1.0)",0.03499904341098932
"(1.0, 1.0, 1.0)",0.03499904341098931
"(0.0, -1.0, 0.0)",0.020316104425340095
"(0.0, 0.0, -1.0)",0.020316104425340095
"(0.0, 0.0, 1.0)",0.020316104425340126
"(0.0, 1.0, 0.0)",0.020316104425340126
"(-1.0, 0.0, 0.0)",-0.3150768726460089
"(1.0, 0.0, 0.0)",-0.3150768726460091
"(0.0, -1.0, -1.0)",0.03858019479746208
"(0.0, 1.0, 1.0)",0.0385801947974621
"(-1.0, -1.0, 0.0)",0.050098439234240094
"(-1.0, 0.0, -1.0)",0.050098439234240094
"(1.0, 0.0, 1.0)",0.050098439234240115
"(1.0, 1.0, 0.0)",0.05009843923424012
"(-1.0, -2.0, -1.0)",0.0020572749227602562
"(-1.0, -1.0, -2.0)",0.0020572749227602562
"(1.0, 1.0, 2.0)",0.00205727492276026
"(1.0, 2.0, 1.0)",0.0020572749227602597
"(-2.0, -1.0, -1.0)",-0.00228693305658884
"(2.0, 1.0, 1.0)",-0.0022869330565888453
"(-1.0, 0.0, 1.0)",-0.0003828993326517701
"(-1.0, 1.0, 0.0)",-0.00038289933265177
"(1.0, -1.0, 0.0)",-0.0003828993326517704
"(1.0, 0.0, -1.0)",-0.0003828993326517704
"(0.0, -1.0, 1.0)",-0.0059451827152595125
"(0.0, 1.0, -1.0)",-0.005945182715259514
"(-1.0, -2.0, -2.0)",0.006498066047892089
"(1.0, 2.0, 2.0)",0.006498066047892089
"(0.0, -2.0, -1.0)",0.0015955496663313854
"(0.0, -1.0, -2.0)",0.001595549666331385
"(0.0, 1.0, 2.0)",0.0015955496663313867
"(0.0, 2.0, 1.0)",0.0015955496663313865
"(-2.0, -2.0, -1.0)",-0.015061447564073904
"(-2.0, -1.0, -2.0)",-0.015061447564073906
"(2.0, 1.0, 2.0)",-0.015061447564073916
"(2.0, 2.0, 1.0)",-0.015061447564073916
"(-1.0, 1.0, 1.0)",-0.0033225519962442867
"(1.0, -1.0, -1.0)",-0.0033225519962442884
"(-1.0, -2.0, 0.0)",-0.0010125448518335225
"(-1.0, 0.0, -2.0)",-0.0010125448518335228
"(1.0, 0.0, 2.0)",-0.0010125448518335254
"(1.0, 2.0, 0.0)",-0.001012544851833525
"(-2.0, -1.0, 0.0)",-0.002704621726991069
"(-2.0, 0.0, -1.0)",-0.0027046217269910706
"(2.0, 0.0, 1.0)",-0.0027046217269910745
"(2.0, 1.0, 0.0)",-0.0027046217269910745
"(-1.0, -1.0, 1.0)",-0.002584820908500239
"(-1.0, 1.0, -1.0)",-0.00258482090850024
"(1.0, -1.0, 1.0)",-0.002584820908500239
"(1.0, 1.0, -1.0)",-0.0025848209085002397
"(-2.0, -2.0, -2.0)",0.027786970488993767
"(2.0, 2.0, 2.0)",0.027786970488993753
