i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
1;1;-1.0;0.0;0.0;0.0;-0.0107564;-0.0107564
1;1;-1.0;0.0;1.0;0.0;-0.0107564;-0.0107564
1;1;-1.0;1.0;0.0;0.0;-0.0107564;-0.0107564
1;1;0.0;-1.0;0.0;0.0;-0.0107564;-0.0107564
1;1;0.0;-1.0;1.0;0.0;-0.0107564;-0.0107564
1;1;0.0;0.0;-1.0;0.0;-0.0107564;-0.0107564
1;1;0.0;0.0;1.0;0.0;-0.0107564;-0.0107564
1;1;0.0;1.0;-1.0;0.0;-0.0107564;-0.0107564
1;1;0.0;1.0;0.0;0.0;-0.0107564;-0.0107564
1;1;1.0;-1.0;0.0;0.0;-0.0107564;-0.0107564
1;1;1.0;0.0;-1.0;0.0;-0.0107564;-0.0107564
1;1;1.0;0.0;0.0;0.0;-0.0107564;-0.0107564
1;1;-1.0;-1.0;1.0;0.0;0.000876495;0.000876495
1;1;-1.0;1.0;-1.0;0.0;0.000876495;0.000876495
1;1;-1.0;1.0;1.0;0.0;0.000876495;0.000876495
1;1;1.0;-1.0;-1.0;0.0;0.000876495;0.000876495
1;1;1.0;-1.0;1.0;0.0;0.000876495;0.000876495
1;1;1.0;1.0;-1.0;0.0;0.000876495;0.000876495
1;1;-2.0;0.0;1.0;0.0;1.05582e-05;1.05582e-05
1;1;-2.0;1.0;0.0;0.0;1.05582e-05;1.05582e-05
1;1;-2.0;1.0;1.0;0.0;1.05582e-05;1.05582e-05
1;1;-1.0;-1.0;0.0;0.0;1.05582e-05;1.05582e-05
1;1;-1.0;-1.0;2.0;0.0;1.05582e-05;1.05582e-05
1;1;-1.0;0.0;-1.0;0.0;1.05582e-05;1.05582e-05
1;1;-1.0;0.0;2.0;0.0;1.05582e-05;1.05582e-05
1;1;-1.0;2.0;-1.0;0.0;1.05582e-05;1.05582e-05
1;1;-1.0;2.0;0.0;0.0;1.05582e-05;1.05582e-05
1;1;0.0;-2.0;1.0;0.0;1.05582e-05;1.05582e-05
1;1;0.0;-1.0;-1.0;0.0;1.05582e-05;1.05582e-05
1;1;0.0;-1.0;2.0;0.0;1.05582e-05;1.05582e-05
1;1;0.0;1.0;-2.0;0.0;1.05582e-05;1.05582e-05
1;1;0.0;1.0;1.0;0.0;1.05582e-05;1.05582e-05
1;1;0.0;2.0;-1.0;0.0;1.05582e-05;1.05582e-05
1;1;1.0;-2.0;0.0;0.0;1.05582e-05;1.05582e-05
1;1;1.0;-2.0;1.0;0.0;1.05582e-05;1.05582e-05
