i   j        dx     dy     dz         Jij            χ⁰↑            χ⁰↓            Xzz
1   1    -1.000  0.000  0.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1    -1.000  0.000  1.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1    -1.000  1.000  0.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     0.000 -1.000  0.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     0.000 -1.000  1.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     0.000  0.000 -1.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     0.000  0.000  1.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     0.000  1.000 -1.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     0.000  1.000  0.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     1.000 -1.000  0.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     1.000  0.000 -1.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1     1.000  0.000  0.000    0.000000  -1.075640E-02  -1.075640E-02  -4.322035E-03
1   1    -1.000 -1.000  1.000    0.000000   8.764950E-04   8.764950E-04   3.520972E-04
1   1    -1.000  1.000 -1.000    0.000000   8.764950E-04   8.764950E-04   3.520972E-04
1   1    -1.000  1.000  1.000    0.000000   8.764950E-04   8.764950E-04   3.520972E-04
1   1     1.000 -1.000 -1.000    0.000000   8.764950E-04   8.764950E-04   3.520972E-04
1   1     1.000 -1.000  1.000    0.000000   8.764950E-04   8.764950E-04   3.520972E-04
1   1     1.000  1.000 -1.000    0.000000   8.764950E-04   8.764950E-04   3.520972E-04
1   1    -2.000  0.000  1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -2.000  1.000  0.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -2.000  1.000  1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -1.000 -1.000  0.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -1.000 -1.000  2.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -1.000  0.000 -1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -1.000  0.000  2.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -1.000  2.000 -1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -1.000  2.000  0.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     0.000 -2.000  1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     0.000 -1.000 -1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     0.000 -1.000  2.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     0.000  1.000 -2.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     0.000  1.000  1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     0.000  2.000 -1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     1.000 -2.000  0.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     1.000 -2.000  1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     1.000  0.000 -2.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     1.000  0.000  1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     1.000  1.000 -2.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     1.000  1.000  0.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     2.000 -1.000 -1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     2.000 -1.000  0.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1     2.000  0.000 -1.000    0.000000   1.055820E-05   1.055820E-05   4.241825E-06
1   1    -2.000  0.000  0.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1    -2.000  0.000  2.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1    -2.000  2.000  0.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     0.000 -2.000  0.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     0.000 -2.000  2.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     0.000  0.000 -2.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     0.000  0.000  2.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     0.000  2.000 -2.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     0.000  2.000  0.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     2.000 -2.000  0.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     2.000  0.000 -2.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1     2.000  0.000  0.000    0.000000   1.245180E-04   1.245180E-04   5.001527E-05
1   1    -2.000 -1.000  1.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -2.000 -1.000  2.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -2.000  1.000 -1.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -2.000  1.000  2.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -2.000  2.000 -1.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -2.000  2.000  1.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -1.000 -2.000  1.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -1.000 -2.000  2.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -1.000  1.000 -2.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -1.000  1.000  2.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -1.000  2.000 -2.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1    -1.000  2.000  1.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1     1.000 -2.000 -1.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1     1.000 -2.000  2.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
1   1     1.000 -1.000 -2.000    0.000000  -8.875740E-05  -8.875740E-05  -3.567176E-05
