i;j;j-coordinate;N_k;Xzz
1;1;(-1.0, 0.0, 0.0);1901;-0.004322035284894774
1;1;(-1.0, 0.0, 1.0);1901;-0.004322035284894774
1;1;(-1.0, 1.0, 0.0);1901;-0.004322035284894774
1;1;(0.0, -1.0, 0.0);1901;-0.004322035284894774
1;1;(0.0, -1.0, 1.0);1901;-0.004322035284894774
1;1;(0.0, 0.0, -1.0);1901;-0.004322035284894774
1;1;(0.0, 0.0, 1.0);1901;-0.004322035284894774
1;1;(0.0, 1.0, -1.0);1901;-0.004322035284894774
1;1;(0.0, 1.0, 0.0);1901;-0.004322035284894774
1;1;(1.0, -1.0, 0.0);1901;-0.004322035284894774
1;1;(1.0, 0.0, -1.0);1901;-0.004322035284894774
1;1;(1.0, 0.0, 0.0);1901;-0.004322035284894774
1;1;(-1.0, -1.0, 1.0);1805;0.0003520972113609321
1;1;(-1.0, 1.0, -1.0);1805;0.0003520972113609321
1;1;(-1.0, 1.0, 1.0);1805;0.0003520972113609321
1;1;(1.0, -1.0, -1.0);1805;0.0003520972113609321
1;1;(1.0, -1.0, 1.0);1805;0.0003520972113609321
1;1;(1.0, 1.0, -1.0);1805;0.0003520972113609321
1;1;(-2.0, 0.0, 1.0);1733;4.241825022519095e-06
1;1;(-2.0, 1.0, 0.0);1733;4.241825022519095e-06
1;1;(-2.0, 1.0, 1.0);1733;4.241825022519095e-06
1;1;(-1.0, -1.0, 0.0);1733;4.241825022519095e-06
1;1;(-1.0, -1.0, 2.0);1733;4.241825022519095e-06
1;1;(-1.0, 0.0, -1.0);1733;4.241825022519095e-06
1;1;(-1.0, 0.0, 2.0);1733;4.241825022519095e-06
1;1;(-1.0, 2.0, -1.0);1733;4.241825022519095e-06
1;1;(-1.0, 2.0, 0.0);1733;4.241825022519095e-06
1;1;(0.0, -2.0, 1.0);1733;4.241825022519095e-06
1;1;(0.0, -1.0, -1.0);1733;4.241825022519095e-06
1;1;(0.0, -1.0, 2.0);1733;4.241825022519095e-06
1;1;(0.0, 1.0, -2.0);1733;4.241825022519095e-06
1;1;(0.0, 1.0, 1.0);1733;4.241825022519095e-06
1;1;(0.0, 2.0, -1.0);1733;4.241825022519095e-06
1;1;(1.0, -2.0, 0.0);1733;4.241825022519095e-06
1;1;(1.0, -2.0, 1.0);1733;4.241825022519095e-06
1;1;(1.0, 0.0, -2.0);1733;4.241825022519095e-06
1;1;(1.0, 0.0, 1.0);1733;4.241825022519095e-06
1;1;(1.0, 1.0, -2.0);1733;4.241825022519095e-06
1;1;(1.0, 1.0, 0.0);1733;4.241825022519095e-06
1;1;(2.0, -1.0, -1.0);1733;4.241825022519095e-06
1;1;(2.0, -1.0, 0.0);1733;4.241825022519095e-06
1;1;(2.0, 0.0, -1.0);1733;4.241825022519095e-06
1;1;(-2.0, 0.0, 0.0);1682;5.001527172532775e-05
1;1;(-2.0, 0.0, 2.0);1682;5.001527172532775e-05
1;1;(-2.0, 2.0, 0.0);1682;5.001527172532775e-05
1;1;(0.0, -2.0, 0.0);1682;5.001527172532775e-05
1;1;(0.0, -2.0, 2.0);1682;5.001527172532775e-05
1;1;(0.0, 0.0, -2.0);1682;5.001527172532775e-05
1;1;(0.0, 0.0, 2.0);1682;5.001527172532775e-05
1;1;(0.0, 2.0, -2.0);1682;5.001527172532775e-05
1;1;(0.0, 2.0, 0.0);1682;5.001527172532775e-05
1;1;(2.0, -2.0, 0.0);1682;5.001527172532775e-05
1;1;(2.0, 0.0, -2.0);1682;5.001527172532775e-05
1;1;(2.0, 0.0, 0.0);1682;5.001527172532775e-05
1;1;(-2.0, -1.0, 1.0);1629;-3.5671755027095123e-05
1;1;(-2.0, -1.0, 2.0);1629;-3.5671755027095123e-05
1;1;(-2.0, 1.0, -1.0);1629;-3.5671755027095123e-05
1;1;(-2.0, 1.0, 2.0);1629;-3.5671755027095123e-05
