i    j    dx   dy   dz        Jij             χ⁰↑             χ⁰↓ 
1    1   -1   -1   -1         NaN             NaN   -0.271554E-02
1    1   -1    0    0         NaN             NaN   -0.271554E-02
1    1    0   -1    0         NaN             NaN   -0.271554E-02
1    1    0    0   -1         NaN             NaN   -0.271554E-02
1    1    0    0    1         NaN             NaN   -0.271554E-02
1    1    0    1    0         NaN             NaN   -0.271554E-02
1    1    1    0    0         NaN             NaN   -0.271554E-02
1    1    1    1    1         NaN             NaN   -0.271554E-02
1    1   -1   -1    0         NaN             NaN   -0.736689E-03
1    1   -1    0   -1         NaN             NaN   -0.736689E-03
1    1    0   -1   -1         NaN             NaN   -0.736689E-03
1    1    0    1    1         NaN             NaN   -0.736689E-03
1    1    1    0    1         NaN             NaN   -0.736689E-03
1    1    1    1    0         NaN             NaN   -0.736689E-03
1    1   -2   -1   -1         NaN             NaN    0.127503E-03
1    1   -1   -2   -1         NaN             NaN    0.127503E-03
1    1   -1   -1   -2         NaN             NaN    0.127503E-03
1    1   -1    0    1         NaN             NaN    0.127503E-03
1    1   -1    1    0         NaN             NaN    0.127503E-03
1    1    0   -1    1         NaN             NaN    0.127503E-03
1    1    0    1   -1         NaN             NaN    0.127503E-03
1    1    1   -1    0         NaN             NaN    0.127503E-03
1    1    1    0   -1         NaN             NaN    0.127503E-03
1    1    1    1    2         NaN             NaN    0.127503E-03
1    1    1    2    1         NaN             NaN    0.127503E-03
1    1    2    1    1         NaN             NaN    0.127503E-03
1    1   -2   -1   -2         NaN             NaN   -0.326351E-03
1    1   -2    0   -1         NaN             NaN   -0.326351E-03
1    1   -1    0   -2         NaN             NaN   -0.326351E-03
1    1   -1    1   -1         NaN             NaN   -0.326351E-03
1    1    1   -1    1         NaN             NaN   -0.326351E-03
1    1    1    0    2         NaN             NaN   -0.326351E-03
1    1    2    0    1         NaN             NaN   -0.326351E-03
1    1    2    1    2         NaN             NaN   -0.326351E-03
1    1   -2   -2   -1         NaN             NaN   -0.326351E-03
1    1   -2   -1    0         NaN             NaN   -0.326351E-03
1    1   -1   -2   -2         NaN             NaN   -0.326351E-03
1    1   -1   -2    0         NaN             NaN   -0.326351E-03
1    1   -1   -1    1         NaN             NaN   -0.326351E-03
1    1   -1    1    1         NaN             NaN   -0.326351E-03
1    1    0   -2   -1         NaN             NaN   -0.326351E-03
1    1    0   -1   -2         NaN             NaN   -0.326351E-03
1    1    0    1    2         NaN             NaN   -0.326351E-03
1    1    0    2    1         NaN             NaN   -0.326351E-03
1    1    1   -1   -1         NaN             NaN   -0.326351E-03
1    1    1    1   -1         NaN             NaN   -0.326351E-03
1    1    1    2    0         NaN             NaN   -0.326351E-03
1    1    1    2    2         NaN             NaN   -0.326351E-03
1    1    2    1    0         NaN             NaN   -0.326351E-03
1    1    2    2    1         NaN             NaN   -0.326351E-03
1    1   -2   -2   -2         NaN             NaN   -0.238389E-03
1    1   -2    0    0         NaN             NaN   -0.238389E-03
1    1    0   -2    0         NaN             NaN   -0.238389E-03
1    1    0    0   -2         NaN             NaN   -0.238389E-03
1    1    0    0    2         NaN             NaN   -0.238389E-03
1    1    0    2    0         NaN             NaN   -0.238389E-03
1    1    2    0    0         NaN             NaN   -0.238389E-03
1    1    2    2    2         NaN             NaN   -0.238389E-03
1    1   -2   -2    0         NaN             NaN    0.165339E-03
1    1   -2    0   -2         NaN             NaN    0.165339E-03
1    1    0   -2   -2         NaN             NaN    0.165339E-03
1    1    0    2    2         NaN             NaN    0.165339E-03
1    1    2    0    2         NaN             NaN    0.165339E-03
1    1    2    2    0         NaN             NaN    0.165339E-03
1    1   -3   -1   -1         NaN             NaN    0.684190E-04
1    1   -2   -2   -3         NaN             NaN    0.684190E-04
1    1   -2    1    0         NaN             NaN    0.684190E-04
1    1   -1   -1   -3         NaN             NaN    0.684190E-04
1    1   -1    2    0         NaN             NaN    0.684190E-04
1    1    0   -2    1         NaN             NaN    0.684190E-04
1    1    0   -1    2         NaN             NaN    0.684190E-04
1    1    0    1   -2         NaN             NaN    0.684190E-04
1    1    0    2   -1         NaN             NaN    0.684190E-04
1    1    1   -2    0         NaN             NaN    0.684190E-04
1    1    1    1    3         NaN             NaN    0.684190E-04
1    1    2   -1    0         NaN             NaN    0.684190E-04
1    1    2    2    3         NaN             NaN    0.684190E-04
1    1    3    1    1         NaN             NaN    0.684190E-04
1    1   -3   -2   -2         NaN             NaN    0.684190E-04
1    1   -2   -3   -2         NaN             NaN    0.684190E-04
1    1   -2    0    1         NaN             NaN    0.684190E-04
1    1   -1   -3   -1         NaN             NaN    0.684190E-04
1    1   -1    0    2         NaN             NaN    0.684190E-04
1    1    1    0   -2         NaN             NaN    0.684190E-04
1    1    1    3    1         NaN             NaN    0.684190E-04
1    1    2    0   -1         NaN             NaN    0.684190E-04
1    1    2    3    2         NaN             NaN    0.684190E-04
1    1    3    2    2         NaN             NaN    0.684190E-04
1    1   -3   -1   -2         NaN             NaN    0.531305E-05
1    1   -2   -1   -3         NaN             NaN    0.531305E-05
1    1   -2   -1    1         NaN             NaN    0.531305E-05
1    1   -2    1   -1         NaN             NaN    0.531305E-05
1    1   -1   -3   -2         NaN             NaN    0.531305E-05
1    1   -1   -2   -3         NaN             NaN    0.531305E-05
1    1   -1   -2    1         NaN             NaN    0.531305E-05
1    1   -1    1   -2         NaN             NaN    0.531305E-05
1    1   -1    1    2         NaN             NaN    0.531305E-05
1    1   -1    2    1         NaN             NaN    0.531305E-05
1    1    1   -2   -1         NaN             NaN    0.531305E-05
1    1    1   -1   -2         NaN             NaN    0.531305E-05
1    1    1   -1    2         NaN             NaN    0.531305E-05
1    1    1    2   -1         NaN             NaN    0.531305E-05
1    1    1    2    3         NaN             NaN    0.531305E-05
1    1    1    3    2         NaN             NaN    0.531305E-05
1    1    2   -1    1         NaN             NaN    0.531305E-05
1    1    2    1   -1         NaN             NaN    0.531305E-05
