i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
1;1;-1.0;-1.0;-1.0;0.0;0.00271554;0.00271554
1;1;-1.0;0.0;0.0;0.0;0.00271554;0.00271554
1;1;0.0;-1.0;0.0;0.0;0.00271554;0.00271554
1;1;0.0;0.0;-1.0;0.0;0.00271554;0.00271554
1;1;0.0;0.0;1.0;0.0;0.00271554;0.00271554
1;1;0.0;1.0;0.0;0.0;0.00271554;0.00271554
1;1;1.0;0.0;0.0;0.0;0.00271554;0.00271554
1;1;1.0;1.0;1.0;0.0;0.00271554;0.00271554
1;1;-1.0;-1.0;0.0;0.0;0.000736689;0.000736689
1;1;-1.0;0.0;-1.0;0.0;0.000736689;0.000736689
1;1;0.0;-1.0;-1.0;0.0;0.000736689;0.000736689
1;1;0.0;1.0;1.0;0.0;0.000736689;0.000736689
1;1;1.0;0.0;1.0;0.0;0.000736689;0.000736689
1;1;1.0;1.0;0.0;0.0;0.000736689;0.000736689
1;1;-2.0;-1.0;-1.0;0.0;-0.000127503;-0.000127503
1;1;-1.0;-2.0;-1.0;0.0;-0.000127503;-0.000127503
1;1;-1.0;-1.0;-2.0;0.0;-0.000127503;-0.000127503
1;1;-1.0;0.0;1.0;0.0;-0.000127503;-0.000127503
1;1;-1.0;1.0;0.0;0.0;-0.000127503;-0.000127503
1;1;0.0;-1.0;1.0;0.0;-0.000127503;-0.000127503
1;1;0.0;1.0;-1.0;0.0;-0.000127503;-0.000127503
1;1;1.0;-1.0;0.0;0.0;-0.000127503;-0.000127503
1;1;1.0;0.0;-1.0;0.0;-0.000127503;-0.000127503
1;1;1.0;1.0;2.0;0.0;-0.000127503;-0.000127503
1;1;1.0;2.0;1.0;0.0;-0.000127503;-0.000127503
1;1;2.0;1.0;1.0;0.0;-0.000127503;-0.000127503
1;1;-2.0;-1.0;-2.0;0.0;0.000326351;0.000326351
1;1;-2.0;0.0;-1.0;0.0;0.000326351;0.000326351
1;1;-1.0;0.0;-2.0;0.0;0.000326351;0.000326351
1;1;-1.0;1.0;-1.0;0.0;0.000326351;0.000326351
1;1;1.0;-1.0;1.0;0.0;0.000326351;0.000326351
1;1;1.0;0.0;2.0;0.0;0.000326351;0.000326351
1;1;2.0;0.0;1.0;0.0;0.000326351;0.000326351
1;1;2.0;1.0;2.0;0.0;0.000326351;0.000326351
1;1;-2.0;-2.0;-1.0;0.0;0.000326351;0.000326351
1;1;-2.0;-1.0;0.0;0.0;0.000326351;0.000326351
1;1;-1.0;-2.0;-2.0;0.0;0.000326351;0.000326351
1;1;-1.0;-2.0;0.0;0.0;0.000326351;0.000326351
1;1;-1.0;-1.0;1.0;0.0;0.000326351;0.000326351
1;1;-1.0;1.0;1.0;0.0;0.000326351;0.000326351
1;1;0.0;-2.0;-1.0;0.0;0.000326351;0.000326351
1;1;0.0;-1.0;-2.0;0.0;0.000326351;0.000326351
1;1;0.0;1.0;2.0;0.0;0.000326351;0.000326351
