i   j      dx   dy   dz        Jij               χ⁰↑               χ⁰↓            Xzz
1   1    -1.0 -1.0 -1.0   0.000000      2.715540E-03      2.715540E-03   1.441845E-03
1   1    -1.0  0.0  0.0   0.000000      2.715540E-03      2.715540E-03   1.442302E-03
1   1     0.0 -1.0  0.0   0.000000      2.715540E-03      2.715540E-03   1.442302E-03
1   1     0.0  0.0 -1.0   0.000000      2.715540E-03      2.715540E-03   1.442302E-03
1   1     0.0  0.0  1.0   0.000000      2.715540E-03      2.715540E-03   1.442302E-03
1   1     0.0  1.0  0.0   0.000000      2.715540E-03      2.715540E-03   1.442302E-03
1   1     1.0  0.0  0.0   0.000000      2.715540E-03      2.715540E-03   1.442302E-03
1   1     1.0  1.0  1.0   0.000000      2.715540E-03      2.715540E-03   1.441845E-03
1   1    -1.0 -1.0  0.0   0.000000      7.366890E-04      7.366890E-04   3.929160E-04
1   1    -1.0  0.0 -1.0   0.000000      7.366890E-04      7.366890E-04   3.929160E-04
1   1     0.0 -1.0 -1.0   0.000000      7.366890E-04      7.366890E-04   3.929160E-04
1   1     0.0  1.0  1.0   0.000000      7.366890E-04      7.366890E-04   3.929160E-04
1   1     1.0  0.0  1.0   0.000000      7.366890E-04      7.366890E-04   3.929160E-04
1   1     1.0  1.0  0.0   0.000000      7.366890E-04      7.366890E-04   3.929160E-04
1   1    -2.0 -1.0 -1.0   0.000000     -1.275030E-04     -1.275030E-04  -6.813598E-05
1   1    -1.0 -2.0 -1.0   0.000000     -1.275030E-04     -1.275030E-04  -6.813598E-05
1   1    -1.0 -1.0 -2.0   0.000000     -1.275030E-04     -1.275030E-04  -6.813598E-05
1   1    -1.0  0.0  1.0   0.000000     -1.275030E-04     -1.275030E-04  -6.814789E-05
1   1    -1.0  1.0  0.0   0.000000     -1.275030E-04     -1.275030E-04  -6.814789E-05
1   1     0.0 -1.0  1.0   0.000000     -1.275030E-04     -1.275030E-04  -6.814789E-05
1   1     0.0  1.0 -1.0   0.000000     -1.275030E-04     -1.275030E-04  -6.814789E-05
1   1     1.0 -1.0  0.0   0.000000     -1.275030E-04     -1.275030E-04  -6.814789E-05
1   1     1.0  0.0 -1.0   0.000000     -1.275030E-04     -1.275030E-04  -6.814789E-05
1   1     1.0  1.0  2.0   0.000000     -1.275030E-04     -1.275030E-04  -6.813598E-05
1   1     1.0  2.0  1.0   0.000000     -1.275030E-04     -1.275030E-04  -6.813598E-05
1   1     2.0  1.0  1.0   0.000000     -1.275030E-04     -1.275030E-04  -6.813598E-05
1   1    -2.0 -1.0 -2.0   0.000000      3.263510E-04      3.263510E-04   1.742409E-04
1   1    -2.0  0.0 -1.0   0.000000      3.263510E-04      3.263510E-04   1.742972E-04
1   1    -1.0  0.0 -2.0   0.000000      3.263510E-04      3.263510E-04   1.742972E-04
1   1    -1.0  1.0 -1.0   0.000000      3.263510E-04      3.263510E-04   1.743252E-04
1   1     1.0 -1.0  1.0   0.000000      3.263510E-04      3.263510E-04   1.743252E-04
1   1     1.0  0.0  2.0   0.000000      3.263510E-04      3.263510E-04   1.742972E-04
1   1     2.0  0.0  1.0   0.000000      3.263510E-04      3.263510E-04   1.742972E-04
1   1     2.0  1.0  2.0   0.000000      3.263510E-04      3.263510E-04   1.742409E-04
1   1    -2.0 -2.0 -1.0   0.000000      3.263510E-04      3.263510E-04   1.742409E-04
