j-coordinate,Xzz
"(-1.0, -1.0, -1.0)",0.0014418446309642547
"(-1.0, 0.0, 0.0)",0.0014423022745029932
"(0.0, -1.0, 0.0)",0.0014423022745029932
"(0.0, 0.0, -1.0)",0.0014423022745029932
"(0.0, 0.0, 1.0)",0.0014423022745029932
"(0.0, 1.0, 0.0)",0.0014423022745029932
"(1.0, 0.0, 0.0)",0.0014423022745029932
"(1.0, 1.0, 1.0)",0.0014418446309642547
"(-1.0, -1.0, 0.0)",0.00039291601695125273
"(-1.0, 0.0, -1.0)",0.00039291601695125273
"(0.0, -1.0, -1.0)",0.00039291601695125273
"(0.0, 1.0, 1.0)",0.00039291601695125273
"(1.0, 0.0, 1.0)",0.00039291601695125273
"(1.0, 1.0, 0.0)",0.00039291601695125273
"(-2.0, -1.0, -1.0)",-6.813597873399737e-05
"(-1.0, -2.0, -1.0)",-6.813597873399737e-05
"(-1.0, -1.0, -2.0)",-6.813597873399737e-05
"(-1.0, 0.0, 1.0)",-6.814789238755155e-05
"(-1.0, 1.0, 0.0)",-6.814789238755155e-05
"(0.0, -1.0, 1.0)",-6.814789238755155e-05
"(0.0, 1.0, -1.0)",-6.814789238755155e-05
"(1.0, -1.0, 0.0)",-6.814789238755156e-05
"(1.0, 0.0, -1.0)",-6.814789238755156e-05
"(1.0, 1.0, 2.0)",-6.813597873399736e-05
"(1.0, 2.0, 1.0)",-6.813597873399737e-05
"(2.0, 1.0, 1.0)",-6.813597873399737e-05
"(-2.0, -1.0, -2.0)",0.00017424088724444473
"(-2.0, 0.0, -1.0)",0.00017429715219935836
"(-1.0, 0.0, -2.0)",0.00017429715219935836
"(-1.0, 1.0, -1.0)",0.00017432515413317166
"(1.0, -1.0, 1.0)",0.00017432515413317166
"(1.0, 0.0, 2.0)",0.00017429715219935836
"(2.0, 0.0, 1.0)",0.00017429715219935836
"(2.0, 1.0, 2.0)",0.00017424088724444473
"(-2.0, -2.0, -1.0)",0.00017424088724444473
"(-2.0, -1.0, 0.0)",0.00017429715219935836
"(-1.0, -2.0, -2.0)",0.00017424088724444473
"(-1.0, -2.0, 0.0)",0.00017429715219935836
"(-1.0, -1.0, 1.0)",0.00017432515413317166
"(-1.0, 1.0, 1.0)",0.00017432515413317166
"(0.0, -2.0, -1.0)",0.00017429715219935836
"(0.0, -1.0, -2.0)",0.00017429715219935836
"(0.0, 1.0, 2.0)",0.00017429715219935836
"(0.0, 2.0, 1.0)",0.00017429715219935836
"(1.0, -1.0, -1.0)",0.0001743251541331717
"(1.0, 1.0, -1.0)",0.00017432515413317166
"(1.0, 2.0, 0.0)",0.00017429715219935836
"(1.0, 2.0, 2.0)",0.00017424088724444473
"(2.0, 1.0, 0.0)",0.00017429715219935836
"(2.0, 2.0, 1.0)",0.00017424088724444473
"(-2.0, -2.0, -2.0)",0.00012726131418835747
"(-2.0, 0.0, 0.0)",0.00012735676976291345
"(0.0, -2.0, 0.0)",0.00012735676976291348
"(0.0, 0.0, -2.0)",0.00012735676976291345
"(0.0, 0.0, 2.0)",0.00012735676976291345
"(0.0, 2.0, 0.0)",0.00012735676976291345
"(2.0, 0.0, 0.0)",0.00012735676976291348
"(2.0, 2.0, 2.0)",0.00012726131418835747
"(-2.0, -2.0, 0.0)",-8.839938312963516e-05
"(-2.0, 0.0, -2.0)",-8.839938312963516e-05
"(0.0, -2.0, -2.0)",-8.839938312963516e-05
"(0.0, 2.0, 2.0)",-8.839938312963516e-05
"(2.0, 0.0, 2.0)",-8.839938312963516e-05
"(2.0, 2.0, 0.0)",-8.839938312963516e-05
"(-3.0, -1.0, -1.0)",-3.659034712990782e-05
"(-2.0, -2.0, -3.0)",-3.6567318128144546e-05
"(-2.0, 1.0, 0.0)",-3.658288913260032e-05
"(-1.0, -1.0, -3.0)",-3.659034712990782e-05
"(-1.0, 2.0, 0.0)",-3.658288913260032e-05
"(0.0, -2.0, 1.0)",-3.658288913260032e-05
"(0.0, -1.0, 2.0)",-3.658288913260032e-05
"(0.0, 1.0, -2.0)",-3.658288913260032e-05
"(0.0, 2.0, -1.0)",-3.658288913260032e-05
"(1.0, -2.0, 0.0)",-3.658288913260032e-05
"(1.0, 1.0, 3.0)",-3.659034712990782e-05
"(2.0, -1.0, 0.0)",-3.6582889132600326e-05
"(2.0, 2.0, 3.0)",-3.6567318128144546e-05
"(3.0, 1.0, 1.0)",-3.6590347129907827e-05
"(-3.0, -2.0, -2.0)",-3.6567318128144546e-05
"(-2.0, -3.0, -2.0)",-3.6567318128144546e-05
"(-2.0, 0.0, 1.0)",-3.658288913260032e-05
"(-1.0, -3.0, -1.0)",-3.659034712990782e-05
"(-1.0, 0.0, 2.0)",-3.658288913260032e-05
"(1.0, 0.0, -2.0)",-3.658288913260032e-05
"(1.0, 3.0, 1.0)",-3.659034712990782e-05
"(2.0, 0.0, -1.0)",-3.658288913260032e-05
"(2.0, 3.0, 2.0)",-3.6567318128144546e-05
"(3.0, 2.0, 2.0)",-3.6567318128144546e-05
"(-3.0, -1.0, -2.0)",-2.84015456328011e-06
"(-2.0, -1.0, -3.0)",-2.84015456328011e-06
"(-2.0, -1.0, 1.0)",-2.8405442951335784e-06
"(-2.0, 1.0, -1.0)",-2.8405442951335784e-06
"(-1.0, -3.0, -2.0)",-2.84015456328011e-06
"(-1.0, -2.0, -3.0)",-2.84015456328011e-06
"(-1.0, -2.0, 1.0)",-2.8405442951335784e-06
"(-1.0, 1.0, -2.0)",-2.8405442951335784e-06
"(-1.0, 1.0, 2.0)",-2.8405442951335784e-06
"(-1.0, 2.0, 1.0)",-2.8405442951335784e-06
"(1.0, -2.0, -1.0)",-2.8405442951335784e-06
"(1.0, -1.0, -2.0)",-2.8405442951335784e-06
"(1.0, -1.0, 2.0)",-2.8405442951335784e-06
"(1.0, 2.0, -1.0)",-2.8405442951335784e-06
"(1.0, 2.0, 3.0)",-2.84015456328011e-06
"(1.0, 3.0, 2.0)",-2.84015456328011e-06
"(2.0, -1.0, 1.0)",-2.8405442951335784e-06
"(2.0, 1.0, -1.0)",-2.8405442951335784e-06
"(2.0, 1.0, 3.0)",-2.84015456328011e-06
"(3.0, 1.0, 2.0)",-2.84015456328011e-06
"(-3.0, -2.0, -1.0)",-2.84015456328011e-06
"(-2.0, -3.0, -1.0)",-2.84015456328011e-06
"(2.0, 3.0, 1.0)",-2.84015456328011e-06
"(3.0, 2.0, 1.0)",-2.84015456328011e-06
"(-3.0, -3.0, -2.0)",5.026308287978241e-05
"(-3.0, -2.0, -3.0)",5.026308287978241e-05
"(-3.0, -1.0, 0.0)",5.02903677528331e-05
"(-3.0, 0.0, -1.0)",5.02903677528331e-05
"(-2.0, -3.0, -3.0)",5.026308287978241e-05
"(-2.0, 1.0, 1.0)",5.027918599237758e-05
"(-1.0, -3.0, 0.0)",5.02903677528331e-05
"(-1.0, -1.0, 2.0)",5.0279185992377584e-05
"(-1.0, 0.0, -3.0)",5.02903677528331e-05
"(-1.0, 2.0, -1.0)",5.0279185992377584e-05
"(0.0, -3.0, -1.0)",5.02903677528331e-05
"(0.0, -1.0, -3.0)",5.02903677528331e-05
"(0.0, 1.0, 3.0)",5.02903677528331e-05
"(0.0, 3.0, 1.0)",5.02903677528331e-05
"(1.0, -2.0, 1.0)",5.0279185992377584e-05
"(1.0, 0.0, 3.0)",5.02903677528331e-05
"(1.0, 1.0, -2.0)",5.0279185992377584e-05
"(1.0, 3.0, 0.0)",5.02903677528331e-05
"(2.0, -1.0, -1.0)",5.0279185992377584e-05
"(2.0, 3.0, 3.0)",5.026308287978241e-05
"(3.0, 0.0, 1.0)",5.029036775283311e-05
"(3.0, 1.0, 0.0)",5.02903677528331e-05
"(3.0, 2.0, 3.0)",5.026308287978241e-05
"(3.0, 3.0, 2.0)",5.026308287978241e-05
"(-3.0, -3.0, -3.0)",1.5554782820392937e-05
"(-3.0, 0.0, 0.0)",1.5557116921454307e-05
"(0.0, -3.0, 0.0)",1.5557116921454307e-05
"(0.0, 0.0, -3.0)",1.5557116921454307e-05
"(0.0, 0.0, 3.0)",1.5557116921454307e-05
"(0.0, 3.0, 0.0)",1.5557116921454307e-05
"(3.0, 0.0, 0.0)",1.555711692145431e-05
"(3.0, 3.0, 3.0)",1.5554782820392937e-05
"(-3.0, -3.0, -1.0)",1.2514886692033378e-05
"(-3.0, -2.0, 0.0)",1.2516672047298904e-05
"(-3.0, -1.0, -3.0)",1.251488669203338e-05
"(-3.0, 0.0, -2.0)",1.2516672047298904e-05
"(-2.0, -3.0, 0.0)",1.2516672047298904e-05
"(-2.0, -2.0, 1.0)",1.2515599164350165e-05
"(-2.0, 0.0, -3.0)",1.2516672047298904e-05
"(-2.0, 1.0, -2.0)",1.2515599164350165e-05
"(-1.0, -3.0, -3.0)",1.251488669203338e-05
"(-1.0, 2.0, 2.0)",1.2515599164350163e-05
"(0.0, -3.0, -2.0)",1.2516672047298904e-05
"(0.0, -2.0, -3.0)",1.2516672047298904e-05
"(0.0, 2.0, 3.0)",1.2516672047298904e-05
"(0.0, 3.0, 2.0)",1.2516672047298904e-05
"(1.0, -2.0, -2.0)",1.2515599164350165e-05
"(1.0, 3.0, 3.0)",1.251488669203338e-05
"(2.0, -1.0, 2.0)",1.2515599164350165e-05
"(2.0, 0.0, 3.0)",1.2516672047298904e-05
"(2.0, 2.0, -1.0)",1.2515599164350165e-05
"(2.0, 3.0, 0.0)",1.2516672047298904e-05
"(3.0, 0.0, 2.0)",1.2516672047298904e-05
"(3.0, 1.0, 3.0)",1.251488669203338e-05
"(3.0, 2.0, 0.0)",1.2516672047298904e-05
"(3.0, 3.0, 1.0)",1.251488669203338e-05
"(-4.0, -2.0, -2.0)",-3.309142738818061e-05
"(-2.0, -4.0, -2.0)",-3.309142738818061e-05
"(-2.0, -2.0, -4.0)",-3.309142738818061e-05
"(-2.0, 0.0, 2.0)",-3.3100679179902814e-05
"(-2.0, 2.0, 0.0)",-3.310067917990282e-05
"(0.0, -2.0, 2.0)",-3.310067917990282e-05
"(0.0, 2.0, -2.0)",-3.310067917990282e-05
"(2.0, -2.0, 0.0)",-3.310067917990282e-05
"(2.0, 0.0, -2.0)",-3.310067917990282e-05
"(2.0, 2.0, 4.0)",-3.309142738818061e-05
"(2.0, 4.0, 2.0)",-3.309142738818061e-05
"(4.0, 2.0, 2.0)",-3.309142738818061e-05
"(-4.0, -3.0, -2.0)",-1.7943119907121054e-05
"(-3.0, -4.0, -2.0)",-1.7943119907121054e-05
"(3.0, 4.0, 2.0)",-1.7943119907121058e-05
"(4.0, 3.0, 2.0)",-1.7943119907121058e-05
"(-4.0, -2.0, -3.0)",-1.7943119907121054e-05
"(-4.0, -2.0, -1.0)",-1.7947399188485614e-05
"(-2.0, -4.0, -3.0)",-1.7943119907121054e-05
