i;j;dx;dy;dz;Jij;χ⁰↑;χ⁰↓
1;1;0.0;-1.0;0.0;0.000121;0.0042356;0.01837
1;1;0.0;1.0;0.0;0.000121;0.0042356;0.01837
1;1;-1.0;-1.0;0.0;0.000121;0.0042356;0.01837
1;1;-1.0;0.0;0.0;0.000121;0.0042356;0.01837
1;1;1.0;0.0;0.0;0.000121;0.0042356;0.01837
1;1;1.0;1.0;0.0;0.000121;0.0042356;0.01837
1;1;-1.0;-2.0;0.0;-9e-06;0.0306905;0.0306332
1;1;-1.0;1.0;0.0;-9e-06;0.0306905;0.0306332
1;1;1.0;-1.0;0.0;-9e-06;0.0307044;0.0306436
1;1;1.0;2.0;0.0;-9e-06;0.0307044;0.0306436
1;1;-2.0;-1.0;0.0;-9e-06;0.0307044;0.0306436
1;1;2.0;1.0;0.0;-9e-06;0.0306905;0.0306332
1;2;0.0;0.0;0.5;1e-06;-0.000285568;-0.000353387
1;2;0.0;0.0;1.5;1e-06;-0.000285589;-0.0003534
1;1;0.0;-2.0;0.0;-6e-06;-0.0119482;-0.0137448
1;1;0.0;2.0;0.0;-6e-06;-0.0119482;-0.0137448
1;1;-2.0;-2.0;0.0;-6e-06;-0.0119482;-0.0137448
1;1;-2.0;0.0;0.0;-6e-06;-0.0119482;-0.0137448
1;1;2.0;0.0;0.0;-6e-06;-0.0119482;-0.0137448
1;1;2.0;2.0;0.0;-6e-06;-0.0119482;-0.0137448
1;2;0.0;-1.0;0.5;1e-06;-3.71823e-05;-0.000107537
1;2;0.0;1.0;0.5;1e-06;-3.71823e-05;-0.000107537
1;2;-1.0;-1.0;0.5;1e-06;-3.71823e-05;-0.000107537
1;2;-1.0;0.0;0.5;1e-06;-3.71823e-05;-0.000107537
1;2;0.0;-1.0;1.5;1e-06;-3.71628e-05;-0.000107538
1;2;0.0;1.0;1.5;1e-06;-3.71628e-05;-0.000107538
1;2;1.0;0.0;0.5;1e-06;-3.71823e-05;-0.000107537
1;2;1.0;1.0;0.5;1e-06;-3.71823e-05;-0.000107537
1;2;-1.0;-1.0;1.5;1e-06;-3.71628e-05;-0.000107538
1;2;-1.0;0.0;1.5;1e-06;-3.71628e-05;-0.000107538
1;2;1.0;0.0;1.5;1e-06;-3.71628e-05;-0.000107538
1;2;1.0;1.0;1.5;1e-06;-3.71628e-05;-0.000107538
1;2;-1.0;-2.0;0.5;-0.0;0.000273068;0.000133275
1;2;-1.0;1.0;0.5;-0.0;0.000273068;0.000133275
1;2;1.0;-1.0;0.5;0.0;0.000113819;9.59238e-05
1;2;1.0;2.0;0.5;0.0;0.000113819;9.59238e-05
1;2;-2.0;-1.0;0.5;0.0;0.000113819;9.59238e-05
1;2;-1.0;-2.0;1.5;-0.0;0.000273062;0.000133253
1;2;-1.0;1.0;1.5;-0.0;0.000273062;0.000133253
1;2;1.0;-1.0;1.5;0.0;0.000113825;9.5939e-05
1;2;1.0;2.0;1.5;0.0;0.000113825;9.5939e-05
1;2;2.0;1.0;0.5;-0.0;0.000273068;0.000133275
1;2;-2.0;-1.0;1.5;0.0;0.000113825;9.5939e-05
1;2;2.0;1.0;1.5;-0.0;0.000273062;0.000133253
1;1;-1.0;-3.0;0.0;-1.2e-05;0.000638544;-0.000156492
1;1;-1.0;2.0;0.0;-1.2e-05;0.000638544;-0.000156492
1;1;1.0;-2.0;0.0;-1.2e-05;0.000637801;-0.000157006
1;1;1.0;3.0;0.0;-1.2e-05;0.000637801;-0.000157006
1;1;-2.0;-3.0;0.0;-1.2e-05;0.000638544;-0.000156492
1;1;-2.0;1.0;0.0;-1.2e-05;0.000638544;-0.000156492
1;1;2.0;-1.0;0.0;-1.2e-05;0.000637801;-0.000157006
1;1;2.0;3.0;0.0;-1.2e-05;0.000637801;-0.000157006
1;1;-3.0;-2.0;0.0;-1.2e-05;0.000637801;-0.000157006
1;1;-3.0;-1.0;0.0;-1.2e-05;0.000637801;-0.000157006
1;1;3.0;1.0;0.0;-1.2e-05;0.000638544;-0.000156492
1;1;3.0;2.0;0.0;-1.2e-05;0.000638544;-0.000156492
1;2;0.0;-2.0;0.5;-1e-06;-7.96636e-05;-0.000100829
1;2;0.0;-2.0;1.5;-1e-06;-7.96679e-05;-0.000100839
1;2;0.0;2.0;0.5;-1e-06;-7.96636e-05;-0.000100829
1;2;0.0;2.0;1.5;-1e-06;-7.96679e-05;-0.000100839
1;2;-2.0;-2.0;0.5;-1e-06;-7.96636e-05;-0.000100829
1;2;-2.0;-2.0;1.5;-1e-06;-7.96679e-05;-0.000100839
1;2;-2.0;0.0;0.5;-1e-06;-7.96636e-05;-0.000100829
1;2;-2.0;0.0;1.5;-1e-06;-7.96679e-05;-0.000100839
1;2;2.0;0.0;0.5;-1e-06;-7.96636e-05;-0.000100829
1;2;2.0;0.0;1.5;-1e-06;-7.96679e-05;-0.000100839
1;2;2.0;2.0;0.5;-1e-06;-7.96636e-05;-0.000100829
