i   j      dx   dy   dz        Jij               χ⁰↑               χ⁰↓            Xzz
1   1     0.0 -1.0  0.0   0.000121      4.235600E-03      1.837000E-02  -4.631241E-05
1   1     0.0  1.0  0.0   0.000121      4.235600E-03      1.837000E-02  -4.631200E-05
1   1    -1.0 -1.0  0.0   0.000121      4.235600E-03      1.837000E-02  -4.614223E-05
1   1    -1.0  0.0  0.0   0.000121      4.235600E-03      1.837000E-02  -4.631200E-05
1   1     1.0  0.0  0.0   0.000121      4.235600E-03      1.837000E-02  -4.631241E-05
1   1     1.0  1.0  0.0   0.000121      4.235600E-03      1.837000E-02  -4.614223E-05
1   1    -1.0 -2.0  0.0  -0.000009      3.069050E-02      3.063320E-02   6.483454E-05
1   1    -1.0  1.0  0.0  -0.000009      3.069050E-02      3.063320E-02   6.506255E-05
1   1     1.0 -1.0  0.0  -0.000009      3.070440E-02      3.064360E-02   1.230523E-04
1   1     1.0  2.0  0.0  -0.000009      3.070440E-02      3.064360E-02   1.226289E-04
1   1    -2.0 -1.0  0.0  -0.000009      3.070440E-02      3.064360E-02   1.225002E-04
1   1     2.0  1.0  0.0  -0.000009      3.069050E-02      3.063320E-02   6.476377E-05
1   2     0.0  0.0  0.5   0.000001     -2.855680E-04     -3.533870E-04   0.000000E+00
1   2     0.0  0.0  1.5   0.000001     -2.855890E-04     -3.534000E-04   0.000000E+00
1   1     0.0 -2.0  0.0  -0.000006     -1.194820E-02     -1.374480E-02  -5.817845E-05
1   1     0.0  2.0  0.0  -0.000006     -1.194820E-02     -1.374480E-02  -5.817795E-05
1   1    -2.0 -2.0  0.0  -0.000006     -1.194820E-02     -1.374480E-02  -5.817820E-05
1   1    -2.0  0.0  0.0  -0.000006     -1.194820E-02     -1.374480E-02  -5.817795E-05
1   1     2.0  0.0  0.0  -0.000006     -1.194820E-02     -1.374480E-02  -5.817845E-05
1   1     2.0  2.0  0.0  -0.000006     -1.194820E-02     -1.374480E-02  -5.817820E-05
