i;j;j-coordinate;N_k;Xzz
1;1;(0.0, -1.0, 0.0);209;-0.0056514
1;1;(0.0, 1.0, 0.0);209;-0.0056514
1;1;(-1.0, -1.0, 0.0);209;-0.0056514
1;1;(-1.0, 0.0, 0.0);209;-0.0056514
1;1;(1.0, 0.0, 0.0);209;-0.0056514
1;1;(1.0, 1.0, 0.0);209;-0.0056514
1;1;(-1.0, -2.0, 0.0);181;-0.015330924999999999
1;1;(-1.0, 1.0, 0.0);181;-0.015330924999999999
1;1;(1.0, -1.0, 0.0);181;-0.015337
1;1;(1.0, 2.0, 0.0);181;-0.015337
1;1;(-2.0, -1.0, 0.0);179;-0.015337
1;1;(2.0, 1.0, 0.0);179;-0.015330924999999999
1;2;(0.0, 0.0, 0.5);206;0.00015973875
1;2;(0.0, 0.0, 1.5);74;0.00015974725
1;1;(0.0, -2.0, 0.0);173;0.00642325
1;1;(0.0, 2.0, 0.0);173;0.00642325
1;1;(-2.0, -2.0, 0.0);173;0.00642325
1;1;(-2.0, 0.0, 0.0);173;0.00642325
1;1;(2.0, 0.0, 0.0);173;0.00642325
1;1;(2.0, 2.0, 0.0);173;0.00642325
1;2;(0.0, -1.0, 0.5);186;3.6179825e-05
1;2;(0.0, 1.0, 0.5);186;3.6179825e-05
1;2;(-1.0, -1.0, 0.5);186;3.6179825e-05
1;2;(-1.0, 0.0, 0.5);186;3.6179825e-05
1;2;(0.0, -1.0, 1.5);74;3.61752e-05
1;2;(0.0, 1.0, 1.5);74;3.61752e-05
1;2;(1.0, 0.0, 0.5);186;3.6179825e-05
1;2;(1.0, 1.0, 0.5);186;3.6179825e-05
1;2;(-1.0, -1.0, 1.5);74;3.61752e-05
1;2;(-1.0, 0.0, 1.5);74;3.61752e-05
1;2;(1.0, 0.0, 1.5);74;3.61752e-05
1;2;(1.0, 1.0, 1.5);74;3.61752e-05
1;2;(-1.0, -2.0, 0.5);170;-0.00010158575
1;2;(-1.0, 1.0, 0.5);170;-0.00010158575
1;2;(1.0, -1.0, 0.5);170;-5.2435700000000003e-05
1;2;(1.0, 2.0, 0.5);170;-5.2435700000000003e-05
1;2;(-2.0, -1.0, 0.5);168;-5.2435700000000003e-05
1;2;(-1.0, -2.0, 1.5);74;-0.00010157875000000001
1;2;(-1.0, 1.0, 1.5);74;-0.00010157875000000001
1;2;(1.0, -1.0, 1.5);74;-5.2441e-05
1;2;(1.0, 2.0, 1.5);74;-5.2441e-05
1;2;(2.0, 1.0, 0.5);168;-0.00010158575
1;2;(-2.0, -1.0, 1.5);74;-5.2441e-05
1;2;(2.0, 1.0, 1.5);74;-0.00010157875000000001
1;1;(-1.0, -3.0, 0.0);149;-0.000120513
1;1;(-1.0, 2.0, 0.0);149;-0.000120513
1;1;(1.0, -2.0, 0.0);149;-0.00012019875
1;1;(1.0, 3.0, 0.0);149;-0.00012019875
1;1;(-2.0, -3.0, 0.0);149;-0.000120513
1;1;(-2.0, 1.0, 0.0);149;-0.000120513
1;1;(2.0, -1.0, 0.0);149;-0.00012019875
1;1;(2.0, 3.0, 0.0);149;-0.00012019875
1;1;(-3.0, -2.0, 0.0);147;-0.00012019875
1;1;(-3.0, -1.0, 0.0);147;-0.00012019875
1;1;(3.0, 1.0, 0.0);147;-0.000120513
1;1;(3.0, 2.0, 0.0);147;-0.000120513
1;2;(0.0, -2.0, 0.5);163;4.5123150000000005e-05
1;2;(0.0, -2.0, 1.5);72;4.5126725000000005e-05
1;2;(0.0, 2.0, 0.5);163;4.5123150000000005e-05
1;2;(0.0, 2.0, 1.5);72;4.5126725000000005e-05
1;2;(-2.0, -2.0, 0.5);163;4.5123150000000005e-05
1;2;(-2.0, -2.0, 1.5);72;4.5126725000000005e-05
1;2;(-2.0, 0.0, 0.5);163;4.5123150000000005e-05
1;2;(-2.0, 0.0, 1.5);72;4.5126725000000005e-05
1;2;(2.0, 0.0, 0.5);163;4.5123150000000005e-05
1;2;(2.0, 0.0, 1.5);72;4.5126725000000005e-05
1;2;(2.0, 2.0, 0.5);163;4.5123150000000005e-05
1;2;(2.0, 2.0, 1.5);72;4.5126725000000005e-05
1;1;(0.0, -3.0, 0.0);137;0.00612125
1;1;(0.0, 3.0, 0.0);137;0.00612125
1;1;(-3.0, -3.0, 0.0);137;0.00612125
1;1;(-3.0, 0.0, 0.0);137;0.00612125
1;1;(3.0, 0.0, 0.0);137;0.00612125
1;1;(3.0, 3.0, 0.0);137;0.00612125
1;2;(-2.0, -3.0, 0.5);145;-0.00016691725
1;2;(-2.0, -3.0, 1.5);64;-0.0001669195
1;2;(-2.0, 1.0, 0.5);145;-0.00016691725
1;2;(-2.0, 1.0, 1.5);64;-0.0001669195
1;2;(-1.0, -3.0, 0.5);145;-0.00016691725
1;2;(-1.0, -3.0, 1.5);64;-0.0001669195
1;2;(-1.0, 2.0, 0.5);145;-0.00016691725
1;2;(-1.0, 2.0, 1.5);64;-0.0001669195
1;2;(1.0, -2.0, 0.5);145;0.00017088725
1;2;(1.0, -2.0, 1.5);64;0.00017089725000000002
1;2;(1.0, 3.0, 0.5);145;0.00017088725
1;2;(1.0, 3.0, 1.5);64;0.00017089725000000002
1;2;(2.0, -1.0, 0.5);145;0.00017088725
1;2;(2.0, -1.0, 1.5);64;0.00017089725000000002
1;2;(2.0, 3.0, 0.5);145;0.00017088725
1;2;(2.0, 3.0, 1.5);64;0.00017089725000000002
1;2;(-3.0, -2.0, 0.5);143;0.00017088725
1;2;(-3.0, -2.0, 1.5);64;0.00017089725000000002
1;2;(-3.0, -1.0, 0.5);143;0.00017088725
1;2;(-3.0, -1.0, 1.5);64;0.00017089725000000002
1;2;(3.0, 1.0, 0.5);143;-0.00016691725
1;2;(3.0, 1.0, 1.5);64;-0.0001669195
1;2;(3.0, 2.0, 0.5);143;-0.00016691725
1;2;(3.0, 2.0, 1.5);64;-0.0001669195
1;1;(-2.0, -4.0, 0.0);121;-0.0019106425
1;1;(-2.0, 2.0, 0.0);121;-0.0019106425
1;1;(2.0, -2.0, 0.0);121;-0.001909495
