  #i   j            dx          dy          dz              Jij        χ⁰↑         χ⁰↓
   1    1     -2.710000     -2.710000     -2.710000      0.803823  8.701750E-03  6.205150E-04
   1    1      2.710000     -2.710000     -2.710000      0.803823  8.701750E-03  6.205150E-04
   1    1     -2.710000      2.710000     -2.710000      0.803823  8.701750E-03  6.205150E-04
   1    1     -2.710000     -2.710000      2.710000      0.803823  8.701750E-03  6.205150E-04
   1    1      2.710000      2.710000     -2.710000      0.803823  8.701750E-03  6.205150E-04
   1    1      2.710000     -2.710000      2.710000      0.803823  8.701750E-03  6.205150E-04
   1    1     -2.710000      2.710000      2.710000      0.803823  8.701750E-03  6.205150E-04
   1    1      2.710000      2.710000      2.710000      0.803823  8.701750E-03  6.205150E-04
   1    1      0.000000      0.000000     -5.420000      0.575587  5.377750E-02  1.490160E-02
   1    1      0.000000     -5.420000      0.000000      0.575587  5.377750E-02  1.490160E-02
   1    1     -5.420000      0.000000      0.000000      0.575587  5.377750E-02  1.490160E-02
   1    1      5.420000      0.000000      0.000000      0.575587  5.377750E-02  1.490160E-02
   1    1      0.000000      5.420000      0.000000      0.575587  5.377750E-02  1.490160E-02
   1    1      0.000000      0.000000      5.420000      0.575587  5.377750E-02  1.490160E-02
   1    1      0.000000     -5.420000     -5.420000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1     -5.420000      0.000000     -5.420000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1      5.420000      0.000000      5.420000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1      0.000000      5.420000      5.420000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1     -5.420000     -5.420000      0.000000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1      5.420000      0.000000     -5.420000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1      5.420000     -5.420000      0.000000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1      0.000000      5.420000     -5.420000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1      0.000000     -5.420000      5.420000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1     -5.420000      5.420000      0.000000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1     -5.420000      0.000000      5.420000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1      5.420000      5.420000      0.000000     -0.015219 -4.162550E-03 -6.911900E-04
   1    1     -2.710000     -2.710000     -8.130000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -2.710000     -8.130000     -2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1      2.710000     -2.710000     -8.130000     -0.105579  4.633300E-03  1.007550E-03
   1    1      2.710000     -8.130000     -2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -8.130000     -2.710000     -2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -2.710000      2.710000     -8.130000     -0.105579  4.633300E-03  1.007550E-03
   1    1      2.710000      2.710000     -8.130000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -2.710000     -8.130000      2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1      2.710000     -8.130000      2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1      8.130000     -2.710000     -2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -8.130000      2.710000     -2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -8.130000     -2.710000      2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1      8.130000      2.710000     -2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1      8.130000     -2.710000      2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -8.130000      2.710000      2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -2.710000      8.130000     -2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1      2.710000      8.130000     -2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -2.710000     -2.710000      8.130000     -0.105579  4.633300E-03  1.007550E-03
   1    1      2.710000     -2.710000      8.130000     -0.105579  4.633300E-03  1.007550E-03
   1    1      8.130000      2.710000      2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -2.710000      8.130000      2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -2.710000      2.710000      8.130000     -0.105579  4.633300E-03  1.007550E-03
   1    1      2.710000      8.130000      2.710000     -0.105579  4.633300E-03  1.007550E-03
   1    1      2.710000      2.710000      8.130000     -0.105579  4.633300E-03  1.007550E-03
   1    1     -5.420000     -5.420000     -5.420000     -0.031006 -5.801740E-05  2.663020E-03
   1    1      5.420000     -5.420000     -5.420000     -0.031006 -5.801740E-05  2.663020E-03
   1    1     -5.420000      5.420000     -5.420000     -0.031006 -5.801740E-05  2.663020E-03
   1    1     -5.420000     -5.420000      5.420000     -0.031006 -5.801740E-05  2.663020E-03
   1    1      5.420000      5.420000     -5.420000     -0.031006 -5.801740E-05  2.663020E-03
   1    1      5.420000     -5.420000      5.420000     -0.031006 -5.801740E-05  2.663020E-03
   1    1     -5.420000      5.420000      5.420000     -0.031006 -5.801740E-05  2.663020E-03
   1    1      5.420000      5.420000      5.420000     -0.031006 -5.801740E-05  2.663020E-03
   1    1      0.000000      0.000000    -10.840000      0.037985  1.163760E-02  5.581200E-03
